,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99739.6486924
2017-10-28 23:59:00+00:00,102799.187316
2017-10-29 23:59:00+00:00,91062.2910516
2017-10-30 23:59:00+00:00,92868.370242
2017-10-31 23:59:00+00:00,87796.8364295
2017-11-01 23:59:00+00:00,75506.7285613
2017-11-02 23:59:00+00:00,79039.5938408
2017-11-03 23:59:00+00:00,74513.1436049
2017-11-04 23:59:00+00:00,70016.2067879
2017-11-05 23:59:00+00:00,71560.4350923
2017-11-06 23:59:00+00:00,78768.7755816
2017-11-07 23:59:00+00:00,77003.0208753
2017-11-08 23:59:00+00:00,82227.5129668
2017-11-09 23:59:00+00:00,90726.5633579
2017-11-10 23:59:00+00:00,84051.9142942
2017-11-11 23:59:00+00:00,86957.1746415
2017-11-12 23:59:00+00:00,83435.8019475
2017-11-13 23:59:00+00:00,86035.1636714
2017-11-14 23:59:00+00:00,89323.0582484
2017-11-15 23:59:00+00:00,80031.984343
2017-11-16 23:59:00+00:00,76138.1069642
2017-11-17 23:59:00+00:00,82843.6181396
2017-11-18 23:59:00+00:00,80542.3390766
2017-11-19 23:59:00+00:00,77018.2259534
2017-11-20 23:59:00+00:00,74683.4627185
2017-11-21 23:59:00+00:00,76410.862176
2017-11-22 23:59:00+00:00,79420.9833991
2017-11-23 23:59:00+00:00,77254.3835214
2017-11-24 23:59:00+00:00,76152.060197
2017-11-25 23:59:00+00:00,75962.8270997
2017-11-26 23:59:00+00:00,76277.9979869
2017-11-27 23:59:00+00:00,76750.0907323
2017-11-28 23:59:00+00:00,78079.0518613
2017-11-29 23:59:00+00:00,62157.7963028
2017-11-30 23:59:00+00:00,64159.1095567
2017-12-01 23:59:00+00:00,64728.1862372
2017-12-02 23:59:00+00:00,63253.4586624
2017-12-03 23:59:00+00:00,63232.8337039
2017-12-04 23:59:00+00:00,71510.4509538
2017-12-05 23:59:00+00:00,73620.55638
2017-12-06 23:59:00+00:00,60604.4750819
2017-12-07 23:59:00+00:00,39057.351392
2017-12-08 23:59:00+00:00,42724.7057486
2017-12-09 23:59:00+00:00,48226.408043
2017-12-10 23:59:00+00:00,44032.3998553
2017-12-11 23:59:00+00:00,44580.2704915
2017-12-12 23:59:00+00:00,48236.6236746
2017-12-13 23:59:00+00:00,51256.9748771
2017-12-14 23:59:00+00:00,52287.4336723
2017-12-15 23:59:00+00:00,47785.6939301
2017-12-16 23:59:00+00:00,48171.1116325
2017-12-17 23:59:00+00:00,57171.7143835
2017-12-18 23:59:00+00:00,68039.4748975
2017-12-19 23:59:00+00:00,73004.8995758
2017-12-20 23:59:00+00:00,76752.372032
2017-12-21 23:59:00+00:00,84273.2290661
2017-12-22 23:59:00+00:00,79959.8400318
2017-12-23 23:59:00+00:00,85141.9021
2017-12-24 23:59:00+00:00,96975.8934951
2017-12-25 23:59:00+00:00,107747.283442
2017-12-26 23:59:00+00:00,109212.419515
2017-12-27 23:59:00+00:00,111236.12968
2017-12-28 23:59:00+00:00,110416.084918
2017-12-29 23:59:00+00:00,107459.764347
2017-12-30 23:59:00+00:00,109757.252005
2017-12-31 23:59:00+00:00,118098.874778
2018-01-01 23:59:00+00:00,138914.08505
2018-01-02 23:59:00+00:00,135432.800101
2018-01-03 23:59:00+00:00,141460.603837
2018-01-04 23:59:00+00:00,130929.299167
