,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99739.3223792
2017-10-28 23:59:00+00:00,96894.8141923
2017-10-29 23:59:00+00:00,88427.0240644
2017-10-30 23:59:00+00:00,90518.5742018
2017-10-31 23:59:00+00:00,79935.3305064
2017-11-01 23:59:00+00:00,68760.4769149
2017-11-02 23:59:00+00:00,62700.9573738
2017-11-03 23:59:00+00:00,67493.5951174
2017-11-04 23:59:00+00:00,63501.7222836
2017-11-05 23:59:00+00:00,66830.2749309
2017-11-06 23:59:00+00:00,77885.6113717
2017-11-07 23:59:00+00:00,74754.2620231
2017-11-08 23:59:00+00:00,84482.9580909
2017-11-09 23:59:00+00:00,91397.0252596
2017-11-10 23:59:00+00:00,83730.0000415
2017-11-11 23:59:00+00:00,87739.8004478
2017-11-12 23:59:00+00:00,81417.3431752
2017-11-13 23:59:00+00:00,83975.0102004
2017-11-14 23:59:00+00:00,90470.7673416
2017-11-15 23:59:00+00:00,81172.3330162
2017-11-16 23:59:00+00:00,66901.9852213
2017-11-17 23:59:00+00:00,81393.4397451
2017-11-18 23:59:00+00:00,77951.3458046
2017-11-19 23:59:00+00:00,74664.62416
2017-11-20 23:59:00+00:00,73236.394209
2017-11-21 23:59:00+00:00,76971.3051687
2017-11-22 23:59:00+00:00,77909.5148018
2017-11-23 23:59:00+00:00,75537.0993602
2017-11-24 23:59:00+00:00,74132.7728394
2017-11-25 23:59:00+00:00,75555.0269328
2017-11-26 23:59:00+00:00,75985.2886754
2017-11-27 23:59:00+00:00,76929.474166
2017-11-28 23:59:00+00:00,77186.43604
2017-11-29 23:59:00+00:00,62270.6956313
2017-11-30 23:59:00+00:00,65192.8899662
2017-12-01 23:59:00+00:00,64810.4350839
2017-12-02 23:59:00+00:00,64422.0043441
2017-12-03 23:59:00+00:00,66501.6027664
2017-12-04 23:59:00+00:00,77174.484325
2017-12-05 23:59:00+00:00,70750.4374742
2017-12-06 23:59:00+00:00,61685.0615928
2017-12-07 23:59:00+00:00,38038.5933246
2017-12-08 23:59:00+00:00,39891.1091606
2017-12-09 23:59:00+00:00,47773.26525
2017-12-10 23:59:00+00:00,42066.3213036
2017-12-11 23:59:00+00:00,39520.6059934
2017-12-12 23:59:00+00:00,40470.7673416
2017-12-13 23:59:00+00:00,44910.8294905
2017-12-14 23:59:00+00:00,46691.6350361
2017-12-15 23:59:00+00:00,42610.1243393
2017-12-16 23:59:00+00:00,41140.0633855
2017-12-17 23:59:00+00:00,49697.4913765
2017-12-18 23:59:00+00:00,54466.2256898
2017-12-19 23:59:00+00:00,61475.906579
2017-12-20 23:59:00+00:00,61487.8582941
2017-12-21 23:59:00+00:00,74168.6279846
2017-12-22 23:59:00+00:00,70863.9787674
2017-12-23 23:59:00+00:00,79427.3826159
2017-12-24 23:59:00+00:00,86968.9148257
2017-12-25 23:59:00+00:00,104950.27015
2017-12-26 23:59:00+00:00,115963.775588
2017-12-27 23:59:00+00:00,117810.315567
2017-12-28 23:59:00+00:00,114529.56978
2017-12-29 23:59:00+00:00,110537.696946
2017-12-30 23:59:00+00:00,108930.191269
2017-12-31 23:59:00+00:00,117810.315567
2018-01-01 23:59:00+00:00,137231.852557
2018-01-02 23:59:00+00:00,118264.480739
2018-01-03 23:59:00+00:00,114033.573604
2018-01-04 23:59:00+00:00,104615.622128
