,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99739.9750056
2017-10-28 23:59:00+00:00,108703.56044
2017-10-29 23:59:00+00:00,93697.5580388
2017-10-30 23:59:00+00:00,95218.1662821
2017-10-31 23:59:00+00:00,95658.3423525
2017-11-01 23:59:00+00:00,82252.9802077
2017-11-02 23:59:00+00:00,95378.2303077
2017-11-03 23:59:00+00:00,81532.6920924
2017-11-04 23:59:00+00:00,76530.6912921
2017-11-05 23:59:00+00:00,76290.5952537
2017-11-06 23:59:00+00:00,79651.9397915
2017-11-07 23:59:00+00:00,79251.7797275
2017-11-08 23:59:00+00:00,79972.0678427
2017-11-09 23:59:00+00:00,90056.1014562
2017-11-10 23:59:00+00:00,84373.828547
2017-11-11 23:59:00+00:00,86174.5488351
2017-11-12 23:59:00+00:00,85454.2607199
2017-11-13 23:59:00+00:00,88095.3171424
2017-11-14 23:59:00+00:00,88175.3491552
2017-11-15 23:59:00+00:00,78891.6356699
2017-11-16 23:59:00+00:00,85374.2287071
2017-11-17 23:59:00+00:00,84293.7965342
2017-11-18 23:59:00+00:00,83133.3323485
2017-11-19 23:59:00+00:00,79371.8277467
2017-11-20 23:59:00+00:00,76130.5312281
2017-11-21 23:59:00+00:00,75850.4191833
2017-11-22 23:59:00+00:00,80932.4519964
2017-11-23 23:59:00+00:00,78971.6676827
2017-11-24 23:59:00+00:00,78171.3475546
2017-11-25 23:59:00+00:00,76370.6272665
2017-11-26 23:59:00+00:00,76570.7072985
2017-11-27 23:59:00+00:00,76570.7072985
2017-11-28 23:59:00+00:00,78971.6676827
2017-11-29 23:59:00+00:00,62044.8969744
2017-11-30 23:59:00+00:00,63125.3291472
2017-12-01 23:59:00+00:00,64645.9373905
2017-12-02 23:59:00+00:00,62084.9129808
2017-12-03 23:59:00+00:00,59964.0646414
2017-12-04 23:59:00+00:00,65846.4175826
2017-12-05 23:59:00+00:00,76490.6752857
2017-12-06 23:59:00+00:00,59523.888571
2017-12-07 23:59:00+00:00,40076.1094594
2017-12-08 23:59:00+00:00,45558.3023365
2017-12-09 23:59:00+00:00,48679.5508359
2017-12-10 23:59:00+00:00,45998.4784069
2017-12-11 23:59:00+00:00,49639.9349896
2017-12-12 23:59:00+00:00,56002.4800076
2017-12-13 23:59:00+00:00,57603.1202637
2017-12-14 23:59:00+00:00,57883.2323085
2017-12-15 23:59:00+00:00,52961.263521
2017-12-16 23:59:00+00:00,55202.1598795
2017-12-17 23:59:00+00:00,64645.9373905
2017-12-18 23:59:00+00:00,81612.7241052
2017-12-19 23:59:00+00:00,84533.8925726
2017-12-20 23:59:00+00:00,92016.8857699
2017-12-21 23:59:00+00:00,94377.8301476
2017-12-22 23:59:00+00:00,89055.7012961
2017-12-23 23:59:00+00:00,90856.4215842
2017-12-24 23:59:00+00:00,106982.872164
2017-12-25 23:59:00+00:00,110544.296734
2017-12-26 23:59:00+00:00,102461.063441
2017-12-27 23:59:00+00:00,104661.943793
2017-12-28 23:59:00+00:00,106302.600056
2017-12-29 23:59:00+00:00,104381.831748
2017-12-30 23:59:00+00:00,110584.312741
2017-12-31 23:59:00+00:00,118387.433989
2018-01-01 23:59:00+00:00,140596.317543
2018-01-02 23:59:00+00:00,152601.119463
2018-01-03 23:59:00+00:00,168887.634069
2018-01-04 23:59:00+00:00,157242.976206
