,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99739.9750016
2017-10-28 23:59:00+00:00,108703.487682
2017-10-29 23:59:00+00:00,93697.5255654
2017-10-30 23:59:00+00:00,95218.1373265
2017-10-31 23:59:00+00:00,95658.2454783
2017-11-01 23:59:00+00:00,82252.3155483
2017-11-02 23:59:00+00:00,95341.9582352
2017-11-03 23:59:00+00:00,81533.9802866
2017-11-04 23:59:00+00:00,76545.5446105
2017-11-05 23:59:00+00:00,76306.1023651
2017-11-06 23:59:00+00:00,79658.2311456
2017-11-07 23:59:00+00:00,79259.3030645
2017-11-08 23:59:00+00:00,79977.4416467
2017-11-09 23:59:00+00:00,90029.2323196
2017-11-10 23:59:00+00:00,84365.0653566
2017-11-11 23:59:00+00:00,85706.290936
2017-11-12 23:59:00+00:00,79374.7237023
2017-11-13 23:59:00+00:00,81936.1392576
2017-11-14 23:59:00+00:00,88441.2383094
2017-11-15 23:59:00+00:00,79129.1847026
2017-11-16 23:59:00+00:00,64440.3888672
2017-11-17 23:59:00+00:00,63360.5590276
2017-11-18 23:59:00+00:00,62200.3818649
2017-11-19 23:59:00+00:00,58439.9566523
2017-11-20 23:59:00+00:00,55199.6168315
2017-11-21 23:59:00+00:00,54864.8277496
2017-11-22 23:59:00+00:00,58537.0474236
2017-11-23 23:59:00+00:00,57120.1844734
2017-11-24 23:59:00+00:00,56541.8682315
2017-11-25 23:59:00+00:00,55240.7074853
2017-11-26 23:59:00+00:00,55384.9321706
2017-11-27 23:59:00+00:00,55384.9666045
2017-11-28 23:59:00+00:00,57115.6684054
2017-11-29 23:59:00+00:00,44913.7428084
2017-11-30 23:59:00+00:00,45692.6609723
2017-12-01 23:59:00+00:00,46788.7345708
2017-12-02 23:59:00+00:00,44942.7649131
2017-12-03 23:59:00+00:00,43414.2815721
2017-12-04 23:59:00+00:00,47655.0996373
2017-12-05 23:59:00+00:00,55326.7070896
2017-12-06 23:59:00+00:00,42859.0281135
2017-12-07 23:59:00+00:00,24500.5328947
2017-12-08 23:59:00+00:00,25938.9276387
2017-12-09 23:59:00+00:00,32058.2984762
2017-12-10 23:59:00+00:00,27627.6538715
2017-12-11 23:59:00+00:00,25638.1739839
2017-12-12 23:59:00+00:00,26254.7283246
2017-12-13 23:59:00+00:00,29135.7464974
2017-12-14 23:59:00+00:00,30291.2543498
2017-12-15 23:59:00+00:00,27642.8751828
2017-12-16 23:59:00+00:00,26688.160258
2017-12-17 23:59:00+00:00,32173.8207113
2017-12-18 23:59:00+00:00,35230.8775938
2017-12-19 23:59:00+00:00,39724.3263794
2017-12-20 23:59:00+00:00,39732.054062
2017-12-21 23:59:00+00:00,47860.8031412
2017-12-22 23:59:00+00:00,45743.0347278
2017-12-23 23:59:00+00:00,51230.7892755
2017-12-24 23:59:00+00:00,56063.7639282
2017-12-25 23:59:00+00:00,67586.8984891
2017-12-26 23:59:00+00:00,74480.6546088
2017-12-27 23:59:00+00:00,75737.1531955
2017-12-28 23:59:00+00:00,75060.939968
2017-12-29 23:59:00+00:00,73140.0106696
2017-12-30 23:59:00+00:00,74322.1685899
2017-12-31 23:59:00+00:00,79534.3172233
2018-01-01 23:59:00+00:00,93704.5162614
2018-01-02 23:59:00+00:00,92886.9682065
2018-01-03 23:59:00+00:00,97963.7281225
2018-01-04 23:59:00+00:00,90754.1027216
