,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99741.1829139
2017-10-28 23:59:00+00:00,95562.0418269
2017-10-29 23:59:00+00:00,94249.6331996
2017-10-30 23:59:00+00:00,100100.940985
2017-10-31 23:59:00+00:00,87572.7963277
2017-11-01 23:59:00+00:00,81090.3823545
2017-11-02 23:59:00+00:00,73735.6882186
2017-11-03 23:59:00+00:00,74564.5430366
2017-11-04 23:59:00+00:00,81939.2761814
2017-11-05 23:59:00+00:00,79067.2810174
2017-11-06 23:59:00+00:00,91666.7852492
2017-11-07 23:59:00+00:00,86761.7865849
2017-11-08 23:59:00+00:00,86658.9180317
2017-11-09 23:59:00+00:00,96237.3517167
2017-11-10 23:59:00+00:00,91659.013654
2017-11-11 23:59:00+00:00,89412.8864201
2017-11-12 23:59:00+00:00,83586.7466869
2017-11-13 23:59:00+00:00,88008.0078639
2017-11-14 23:59:00+00:00,88954.3485694
2017-11-15 23:59:00+00:00,92122.2824147
2017-11-16 23:59:00+00:00,86704.8984004
2017-11-17 23:59:00+00:00,82920.9752257
2017-11-18 23:59:00+00:00,82932.2123359
2017-11-19 23:59:00+00:00,80742.2972943
2017-11-20 23:59:00+00:00,83195.3382437
2017-11-21 23:59:00+00:00,85374.4205617
2017-11-22 23:59:00+00:00,84105.0150484
2017-11-23 23:59:00+00:00,84945.4933173
2017-11-24 23:59:00+00:00,84332.3562662
2017-11-25 23:59:00+00:00,86594.7877044
2017-11-26 23:59:00+00:00,90055.257869
2017-11-27 23:59:00+00:00,89758.3475086
2017-11-28 23:59:00+00:00,86030.731312
2017-11-29 23:59:00+00:00,81487.9712271
2017-11-30 23:59:00+00:00,80931.8446024
2017-12-01 23:59:00+00:00,89850.5907893
2017-12-02 23:59:00+00:00,143323.473407
2017-12-03 23:59:00+00:00,265583.873278
2017-12-04 23:59:00+00:00,195660.530158
2017-12-05 23:59:00+00:00,163864.137575
2017-12-06 23:59:00+00:00,152324.057846
2017-12-07 23:59:00+00:00,126617.230413
2017-12-08 23:59:00+00:00,209402.547514
2017-12-09 23:59:00+00:00,213720.377943
2017-12-10 23:59:00+00:00,182163.597635
2017-12-11 23:59:00+00:00,173876.52928
2017-12-12 23:59:00+00:00,193327.446651
2017-12-13 23:59:00+00:00,208657.816564
2017-12-14 23:59:00+00:00,217113.013516
2017-12-15 23:59:00+00:00,194326.657218
2017-12-16 23:59:00+00:00,205610.172671
2017-12-17 23:59:00+00:00,197279.557317
2017-12-18 23:59:00+00:00,232533.438784
2017-12-19 23:59:00+00:00,300971.950241
2017-12-20 23:59:00+00:00,341884.14771
2017-12-21 23:59:00+00:00,482348.413874
2017-12-22 23:59:00+00:00,639479.153202
2017-12-23 23:59:00+00:00,535983.446613
2017-12-24 23:59:00+00:00,534706.187776
2017-12-25 23:59:00+00:00,538428.88616
2017-12-26 23:59:00+00:00,440141.894428
2017-12-27 23:59:00+00:00,559814.159602
2017-12-28 23:59:00+00:00,630414.814345
2017-12-29 23:59:00+00:00,685489.179711
2017-12-30 23:59:00+00:00,832713.922819
2017-12-31 23:59:00+00:00,1005197.93892
2018-01-01 23:59:00+00:00,938569.514118
2018-01-02 23:59:00+00:00,847022.451763
2018-01-03 23:59:00+00:00,813582.24583
2018-01-04 23:59:00+00:00,800476.211664
