,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99744.6421209
2017-10-28 23:59:00+00:00,96154.8985311
2017-10-29 23:59:00+00:00,92308.744685
2017-10-30 23:59:00+00:00,95385.6677619
2017-10-31 23:59:00+00:00,85385.6677619
2017-11-01 23:59:00+00:00,81283.1036593
2017-11-02 23:59:00+00:00,66411.3087875
2017-11-03 23:59:00+00:00,65129.2575055
2017-11-04 23:59:00+00:00,77436.9498132
2017-11-05 23:59:00+00:00,71283.1036593
2017-11-06 23:59:00+00:00,77949.770326
2017-11-07 23:59:00+00:00,77180.5395568
2017-11-08 23:59:00+00:00,77949.770326
2017-11-09 23:59:00+00:00,86924.1293004
2017-11-10 23:59:00+00:00,84360.0267363
2017-11-11 23:59:00+00:00,82821.5651978
2017-11-12 23:59:00+00:00,74103.6164798
2017-11-13 23:59:00+00:00,79231.8216081
2017-11-14 23:59:00+00:00,78206.1805824
2017-11-15 23:59:00+00:00,78975.4113516
2017-11-16 23:59:00+00:00,75898.4882747
2017-11-17 23:59:00+00:00,72052.3344286
2017-11-18 23:59:00+00:00,70770.2831465
2017-11-19 23:59:00+00:00,68975.4113516
2017-11-20 23:59:00+00:00,74616.4369927
2017-11-21 23:59:00+00:00,74872.8472491
2017-11-22 23:59:00+00:00,72308.744685
2017-11-23 23:59:00+00:00,71795.9241722
2017-11-24 23:59:00+00:00,70770.2831465
2017-11-25 23:59:00+00:00,70257.4626337
2017-11-26 23:59:00+00:00,70257.4626337
2017-11-27 23:59:00+00:00,75129.2575055
2017-11-28 23:59:00+00:00,71026.6934029
2017-11-29 23:59:00+00:00,65385.6677619
2017-11-30 23:59:00+00:00,63334.3857106
2017-12-01 23:59:00+00:00,67180.5395568
2017-12-02 23:59:00+00:00,78462.5908388
2017-12-03 23:59:00+00:00,150513.87289
2017-12-04 23:59:00+00:00,114360.026736
2017-12-05 23:59:00+00:00,103077.975454
2017-12-06 23:59:00+00:00,105898.488275
2017-12-07 23:59:00+00:00,80513.8728901
2017-12-08 23:59:00+00:00,100770.283147
2017-12-09 23:59:00+00:00,113334.385711
2017-12-10 23:59:00+00:00,92308.744685
2017-12-11 23:59:00+00:00,102821.565198
2017-12-12 23:59:00+00:00,106411.308788
2017-12-13 23:59:00+00:00,116924.1293
2017-12-14 23:59:00+00:00,120257.462634
2017-12-15 23:59:00+00:00,104872.847249
2017-12-16 23:59:00+00:00,116924.1293
2017-12-17 23:59:00+00:00,107949.770326
2017-12-18 23:59:00+00:00,138719.001095
2017-12-19 23:59:00+00:00,150257.462634
2017-12-20 23:59:00+00:00,141539.513916
2017-12-21 23:59:00+00:00,180513.87289
2017-12-22 23:59:00+00:00,239231.821608
2017-12-23 23:59:00+00:00,208462.590839
2017-12-24 23:59:00+00:00,217180.539557
2017-12-25 23:59:00+00:00,220770.283147
2017-12-26 23:59:00+00:00,178462.590839
2017-12-27 23:59:00+00:00,237949.770326
2017-12-28 23:59:00+00:00,244872.847249
2017-12-29 23:59:00+00:00,257436.949813
2017-12-30 23:59:00+00:00,344616.436993
2017-12-31 23:59:00+00:00,430257.462634
2018-01-01 23:59:00+00:00,352821.565198
2018-01-02 23:59:00+00:00,347693.36007
2018-01-03 23:59:00+00:00,331026.693403
2018-01-04 23:59:00+00:00,310001.052377
