,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99737.7237069
2017-10-28 23:59:00+00:00,94975.818945
2017-10-29 23:59:00+00:00,96274.5202437
2017-10-30 23:59:00+00:00,104932.528902
2017-10-31 23:59:00+00:00,89781.0137502
2017-11-01 23:59:00+00:00,80690.1046593
2017-11-02 23:59:00+00:00,81555.9055251
2017-11-03 23:59:00+00:00,84586.2085554
2017-11-04 23:59:00+00:00,85452.0094212
2017-11-05 23:59:00+00:00,87183.6111528
2017-11-06 23:59:00+00:00,106231.2302
2017-11-07 23:59:00+00:00,96274.5202437
2017-11-08 23:59:00+00:00,94975.818945
2017-11-09 23:59:00+00:00,104932.528902
2017-11-10 23:59:00+00:00,98006.1219753
2017-11-11 23:59:00+00:00,94975.818945
2017-11-12 23:59:00+00:00,92811.3167805
2017-11-13 23:59:00+00:00,96274.5202437
2017-11-14 23:59:00+00:00,99737.7237069
2017-11-15 23:59:00+00:00,105798.329768
2017-11-16 23:59:00+00:00,97573.2215424
2017-11-17 23:59:00+00:00,94110.0180792
2017-11-18 23:59:00+00:00,95841.6198108
2017-11-19 23:59:00+00:00,93244.2172134
2017-11-20 23:59:00+00:00,91079.7150489
2017-11-21 23:59:00+00:00,95841.6198108
2017-11-22 23:59:00+00:00,96274.5202437
2017-11-23 23:59:00+00:00,98871.9228411
2017-11-24 23:59:00+00:00,98871.9228411
2017-11-25 23:59:00+00:00,104932.528902
2017-11-26 23:59:00+00:00,113157.637127
2017-11-27 23:59:00+00:00,104932.528902
2017-11-28 23:59:00+00:00,102335.126304
2017-11-29 23:59:00+00:00,99737.7237069
2017-11-30 23:59:00+00:00,101469.325439
2017-12-01 23:59:00+00:00,117486.641456
2017-12-02 23:59:00+00:00,234369.758339
2017-12-03 23:59:00+00:00,427443.351413
2017-12-04 23:59:00+00:00,308395.732365
2017-12-05 23:59:00+00:00,238265.862235
2017-12-06 23:59:00+00:00,194110.018079
2017-12-07 23:59:00+00:00,178958.502928
2017-12-08 23:59:00+00:00,353417.377387
2017-12-09 23:59:00+00:00,337400.061369
2017-12-10 23:59:00+00:00,305798.329768
2017-12-11 23:59:00+00:00,247789.671759
2017-12-12 23:59:00+00:00,301469.325439
2017-12-13 23:59:00+00:00,319651.14362
2017-12-14 23:59:00+00:00,336534.260503
2017-12-15 23:59:00+00:00,309261.533231
2017-12-16 23:59:00+00:00,310127.334097
2017-12-17 23:59:00+00:00,310560.234529
2017-12-18 23:59:00+00:00,334369.758339
2017-12-19 23:59:00+00:00,517053.741023
2017-12-20 23:59:00+00:00,656880.58085
2017-12-21 23:59:00+00:00,1005365.42933
2017-12-22 23:59:00+00:00,1334802.65877
2017-12-23 23:59:00+00:00,1075928.1999
2017-12-24 23:59:00+00:00,1021815.64578
2017-12-25 23:59:00+00:00,1018352.44232
2017-12-26 23:59:00+00:00,843027.766997
2017-12-27 23:59:00+00:00,1019651.14362
2017-12-28 23:59:00+00:00,1257746.38172
2017-12-29 23:59:00+00:00,1404932.5289
2017-12-30 23:59:00+00:00,1542161.96613
2017-12-31 23:59:00+00:00,1780257.20423
2018-01-01 23:59:00+00:00,1881988.80596
2018-01-02 23:59:00+00:00,1579824.30379
2018-01-03 23:59:00+00:00,1535668.45964
2018-01-04 23:59:00+00:00,1582854.60682
