,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99744.6417973
2017-10-28 23:59:00+00:00,96154.8433909
2017-10-29 23:59:00+00:00,92308.9301465
2017-10-30 23:59:00+00:00,95386.1142259
2017-10-31 23:59:00+00:00,85385.8733126
2017-11-01 23:59:00+00:00,81279.2532903
2017-11-02 23:59:00+00:00,66134.5433732
2017-11-03 23:59:00+00:00,64828.9971225
2017-11-04 23:59:00+00:00,77362.5673906
2017-11-05 23:59:00+00:00,71095.8058304
2017-11-06 23:59:00+00:00,77884.8216282
2017-11-07 23:59:00+00:00,77100.3964875
2017-11-08 23:59:00+00:00,77884.4705049
2017-11-09 23:59:00+00:00,87032.7839824
2017-11-10 23:59:00+00:00,84418.8528012
2017-11-11 23:59:00+00:00,82850.5011882
2017-11-12 23:59:00+00:00,73964.7212492
2017-11-13 23:59:00+00:00,79191.7605362
2017-11-14 23:59:00+00:00,78146.5612543
2017-11-15 23:59:00+00:00,78930.8952481
2017-11-16 23:59:00+00:00,75794.352175
2017-11-17 23:59:00+00:00,71873.9962134
2017-11-18 23:59:00+00:00,70567.2932738
2017-11-19 23:59:00+00:00,68737.7658156
2017-11-20 23:59:00+00:00,74487.4144498
2017-11-21 23:59:00+00:00,74479.0298246
2017-11-22 23:59:00+00:00,73874.7737839
2017-11-23 23:59:00+00:00,75129.2578979
2017-11-24 23:59:00+00:00,74792.7047698
2017-11-25 23:59:00+00:00,77944.2031211
2017-11-26 23:59:00+00:00,82142.8297795
2017-11-27 23:59:00+00:00,87668.52605
2017-11-28 23:59:00+00:00,83015.1879273
2017-11-29 23:59:00+00:00,76616.8603029
2017-11-30 23:59:00+00:00,74290.2294904
2017-12-01 23:59:00+00:00,78641.3071246
2017-12-02 23:59:00+00:00,92212.1371695
2017-12-03 23:59:00+00:00,178838.284046
2017-12-04 23:59:00+00:00,135369.384784
2017-12-05 23:59:00+00:00,121802.11233
2017-12-06 23:59:00+00:00,125188.514299
2017-12-07 23:59:00+00:00,94738.4238115
2017-12-08 23:59:00+00:00,119038.570495
2017-12-09 23:59:00+00:00,134109.59717
2017-12-10 23:59:00+00:00,108888.123576
2017-12-11 23:59:00+00:00,121498.126336
2017-12-12 23:59:00+00:00,125804.80935
2017-12-13 23:59:00+00:00,138415.989748
2017-12-14 23:59:00+00:00,142414.756544
2017-12-15 23:59:00+00:00,123959.364623
2017-12-16 23:59:00+00:00,138404.658936
2017-12-17 23:59:00+00:00,127819.260295
2017-12-18 23:59:00+00:00,164278.560588
2017-12-19 23:59:00+00:00,179094.603755
2017-12-20 23:59:00+00:00,169729.335686
2017-12-21 23:59:00+00:00,217580.643894
2017-12-22 23:59:00+00:00,293867.726316
2017-12-23 23:59:00+00:00,245663.960396
2017-12-24 23:59:00+00:00,247161.443129
2017-12-25 23:59:00+00:00,249573.411738
2017-12-26 23:59:00+00:00,200210.911528
2017-12-27 23:59:00+00:00,251856.710371
2017-12-28 23:59:00+00:00,292833.461321
2017-12-29 23:59:00+00:00,321403.288702
2017-12-30 23:59:00+00:00,377543.301666
2017-12-31 23:59:00+00:00,448888.395914
2018-01-01 23:59:00+00:00,416361.962162
2018-01-02 23:59:00+00:00,378045.146966
2018-01-03 23:59:00+00:00,363311.829865
2018-01-04 23:59:00+00:00,356770.443046
