,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99734.476618
2017-10-28 23:59:00+00:00,98754.1255186
2017-10-29 23:59:00+00:00,91780.7066656
2017-10-30 23:59:00+00:00,92428.7169057
2017-10-31 23:59:00+00:00,84594.4090694
2017-11-01 23:59:00+00:00,70143.3017535
2017-11-02 23:59:00+00:00,67805.8269277
2017-11-03 23:59:00+00:00,73991.9123477
2017-11-04 23:59:00+00:00,68684.0204393
2017-11-05 23:59:00+00:00,70836.3002892
2017-11-06 23:59:00+00:00,80159.448009
2017-11-07 23:59:00+00:00,76876.9894094
2017-11-08 23:59:00+00:00,82063.6452702
2017-11-09 23:59:00+00:00,96215.1042419
2017-11-10 23:59:00+00:00,92442.8040092
2017-11-11 23:59:00+00:00,95783.0162549
2017-11-12 23:59:00+00:00,93701.9406263
2017-11-13 23:59:00+00:00,93750.7272223
2017-11-14 23:59:00+00:00,96448.7484191
2017-11-15 23:59:00+00:00,88316.5800834
2017-11-16 23:59:00+00:00,80970.7434312
2017-11-17 23:59:00+00:00,79160.1993212
2017-11-18 23:59:00+00:00,83477.4652404
2017-11-19 23:59:00+00:00,80600.1204334
2017-11-20 23:59:00+00:00,80789.4476264
2017-11-21 23:59:00+00:00,79518.3039275
2017-11-22 23:59:00+00:00,78838.557704
2017-11-23 23:59:00+00:00,78576.9688874
2017-11-24 23:59:00+00:00,79000.7437442
2017-11-25 23:59:00+00:00,77042.1911332
2017-11-26 23:59:00+00:00,75599.3308599
2017-11-27 23:59:00+00:00,77339.2794507
2017-11-28 23:59:00+00:00,75566.4470385
2017-11-29 23:59:00+00:00,64347.8534532
2017-11-30 23:59:00+00:00,66674.2777289
2017-12-01 23:59:00+00:00,67090.4351149
2017-12-02 23:59:00+00:00,71050.7581792
2017-12-03 23:59:00+00:00,76672.6568424
2017-12-04 23:59:00+00:00,76124.7380816
2017-12-05 23:59:00+00:00,81704.0102131
2017-12-06 23:59:00+00:00,61266.8786952
2017-12-07 23:59:00+00:00,41279.7205683
2017-12-08 23:59:00+00:00,86863.5875304
2017-12-09 23:59:00+00:00,71188.5439647
2017-12-10 23:59:00+00:00,62260.6629782
2017-12-11 23:59:00+00:00,67318.858368
2017-12-12 23:59:00+00:00,73081.8019814
2017-12-13 23:59:00+00:00,76570.2070778
2017-12-14 23:59:00+00:00,82901.681841
2017-12-15 23:59:00+00:00,75998.5837217
2017-12-16 23:59:00+00:00,77572.2453599
2017-12-17 23:59:00+00:00,86741.8088684
2017-12-18 23:59:00+00:00,105201.785842
2017-12-19 23:59:00+00:00,118314.97311
2017-12-20 23:59:00+00:00,133711.610292
2017-12-21 23:59:00+00:00,149728.553078
2017-12-22 23:59:00+00:00,133352.448284
2017-12-23 23:59:00+00:00,144047.732061
2017-12-24 23:59:00+00:00,161598.08563
2017-12-25 23:59:00+00:00,164308.207822
2017-12-26 23:59:00+00:00,147939.810934
2017-12-27 23:59:00+00:00,142810.856545
2017-12-28 23:59:00+00:00,147150.828789
2017-12-29 23:59:00+00:00,168277.059671
2017-12-30 23:59:00+00:00,163948.430155
2017-12-31 23:59:00+00:00,164719.415591
2018-01-01 23:59:00+00:00,175030.744057
2018-01-02 23:59:00+00:00,174114.331016
2018-01-03 23:59:00+00:00,229504.369869
2018-01-04 23:59:00+00:00,204787.37804
