,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99735.1877824
2017-10-28 23:59:00+00:00,97565.5303599
2017-10-29 23:59:00+00:00,90245.5583254
2017-10-30 23:59:00+00:00,90466.95194
2017-10-31 23:59:00+00:00,86141.6198496
2017-11-01 23:59:00+00:00,70373.733576
2017-11-02 23:59:00+00:00,67101.7689989
2017-11-03 23:59:00+00:00,79145.58163
2017-11-04 23:59:00+00:00,71305.9172161
2017-11-05 23:59:00+00:00,72655.2530353
2017-11-06 23:59:00+00:00,82883.6380271
2017-11-07 23:59:00+00:00,81005.2879922
2017-11-08 23:59:00+00:00,88751.734042
2017-11-09 23:59:00+00:00,103114.353478
2017-11-10 23:59:00+00:00,100196.618684
2017-11-11 23:59:00+00:00,104309.878997
2017-11-12 23:59:00+00:00,98744.7426647
2017-11-13 23:59:00+00:00,101946.793469
2017-11-14 23:59:00+00:00,110536.865713
2017-11-15 23:59:00+00:00,100362.08128
2017-11-16 23:59:00+00:00,90327.1243939
2017-11-17 23:59:00+00:00,86735.8869202
2017-11-18 23:59:00+00:00,94445.0456244
2017-11-19 23:59:00+00:00,88481.4007864
2017-11-20 23:59:00+00:00,86591.3984559
2017-11-21 23:59:00+00:00,87034.185685
2017-11-22 23:59:00+00:00,86868.7230889
2017-11-23 23:59:00+00:00,85330.6200826
2017-11-24 23:59:00+00:00,84566.2294977
2017-11-25 23:59:00+00:00,82081.9600966
2017-11-26 23:59:00+00:00,85405.1947738
2017-11-27 23:59:00+00:00,88138.8232986
2017-11-28 23:59:00+00:00,78742.4122056
2017-11-29 23:59:00+00:00,66961.9414529
2017-11-30 23:59:00+00:00,69823.7452283
2017-12-01 23:59:00+00:00,70835.1644778
2017-12-02 23:59:00+00:00,75591.6315018
2017-12-03 23:59:00+00:00,81790.652709
2017-12-04 23:59:00+00:00,81441.083844
2017-12-05 23:59:00+00:00,89495.1504951
2017-12-06 23:59:00+00:00,68441.7829817
2017-12-07 23:59:00+00:00,47064.4816533
2017-12-08 23:59:00+00:00,54650.1260253
2017-12-09 23:59:00+00:00,56374.6657596
2017-12-10 23:59:00+00:00,50877.1127417
2017-12-11 23:59:00+00:00,50515.8915811
2017-12-12 23:59:00+00:00,56847.748957
2017-12-13 23:59:00+00:00,60660.3800453
2017-12-14 23:59:00+00:00,61084.5236016
2017-12-15 23:59:00+00:00,54741.0139302
2017-12-16 23:59:00+00:00,57500.2775051
2017-12-17 23:59:00+00:00,70108.0612385
2017-12-18 23:59:00+00:00,80520.5524993
2017-12-19 23:59:00+00:00,82955.8822592
2017-12-20 23:59:00+00:00,104435.723788
2017-12-21 23:59:00+00:00,115335.281001
2017-12-22 23:59:00+00:00,96493.5191737
2017-12-23 23:59:00+00:00,104242.295683
2017-12-24 23:59:00+00:00,104298.226701
2017-12-25 23:59:00+00:00,115628.918847
2017-12-26 23:59:00+00:00,114086.154923
2017-12-27 23:59:00+00:00,108723.768533
2017-12-28 23:59:00+00:00,109523.116004
2017-12-29 23:59:00+00:00,124671.100157
2017-12-30 23:59:00+00:00,117446.676946
2017-12-31 23:59:00+00:00,116122.976177
2018-01-01 23:59:00+00:00,128805.334601
2018-01-02 23:59:00+00:00,122524.747326
2018-01-03 23:59:00+00:00,114200.347419
2018-01-04 23:59:00+00:00,105840.990626
