,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99733.7654535
2017-10-28 23:59:00+00:00,99942.7206774
2017-10-29 23:59:00+00:00,93315.8550057
2017-10-30 23:59:00+00:00,94390.4818714
2017-10-31 23:59:00+00:00,83047.1982893
2017-11-01 23:59:00+00:00,69912.8699311
2017-11-02 23:59:00+00:00,68509.8848565
2017-11-03 23:59:00+00:00,68838.2430654
2017-11-04 23:59:00+00:00,66062.1236624
2017-11-05 23:59:00+00:00,69017.347543
2017-11-06 23:59:00+00:00,77435.2579908
2017-11-07 23:59:00+00:00,72748.6908266
2017-11-08 23:59:00+00:00,75375.5564983
2017-11-09 23:59:00+00:00,89315.8550057
2017-11-10 23:59:00+00:00,84688.9893341
2017-11-11 23:59:00+00:00,87256.1535132
2017-11-12 23:59:00+00:00,88659.1385878
2017-11-13 23:59:00+00:00,85554.6609759
2017-11-14 23:59:00+00:00,82360.6311251
2017-11-15 23:59:00+00:00,76271.0788863
2017-11-16 23:59:00+00:00,71614.3624684
2017-11-17 23:59:00+00:00,71584.5117221
2017-11-18 23:59:00+00:00,72509.8848565
2017-11-19 23:59:00+00:00,72718.8400803
2017-11-20 23:59:00+00:00,74987.4967968
2017-11-21 23:59:00+00:00,72002.4221699
2017-11-22 23:59:00+00:00,70808.3923192
2017-11-23 23:59:00+00:00,71823.3176923
2017-11-24 23:59:00+00:00,73435.2579908
2017-11-25 23:59:00+00:00,72002.4221699
2017-11-26 23:59:00+00:00,65793.466946
2017-11-27 23:59:00+00:00,66539.7356027
2017-11-28 23:59:00+00:00,72390.4818714
2017-11-29 23:59:00+00:00,61733.7654535
2017-11-30 23:59:00+00:00,63524.8102296
2017-12-01 23:59:00+00:00,63345.705752
2017-12-02 23:59:00+00:00,66509.8848565
2017-12-03 23:59:00+00:00,71554.6609759
2017-12-04 23:59:00+00:00,70808.3923192
2017-12-05 23:59:00+00:00,73912.8699311
2017-12-06 23:59:00+00:00,54091.9744087
2017-12-07 23:59:00+00:00,35494.9594833
2017-12-08 23:59:00+00:00,119077.049036
2017-12-09 23:59:00+00:00,86002.4221699
2017-12-10 23:59:00+00:00,73644.2132147
2017-12-11 23:59:00+00:00,84121.825155
2017-12-12 23:59:00+00:00,89315.8550057
2017-12-13 23:59:00+00:00,92480.0341102
2017-12-14 23:59:00+00:00,104718.84008
2017-12-15 23:59:00+00:00,97256.1535132
2017-12-16 23:59:00+00:00,97644.2132147
2017-12-17 23:59:00+00:00,103375.556498
2017-12-18 23:59:00+00:00,129883.019185
2017-12-19 23:59:00+00:00,153674.063961
2017-12-20 23:59:00+00:00,162987.496797
2017-12-21 23:59:00+00:00,184121.825155
2017-12-22 23:59:00+00:00,170211.377394
2017-12-23 23:59:00+00:00,183853.168439
2017-12-24 23:59:00+00:00,218897.944558
2017-12-25 23:59:00+00:00,212987.496797
2017-12-26 23:59:00+00:00,181793.466946
2017-12-27 23:59:00+00:00,176897.944558
2017-12-28 23:59:00+00:00,184778.541573
2017-12-29 23:59:00+00:00,211883.019185
2017-12-30 23:59:00+00:00,210450.183364
2017-12-31 23:59:00+00:00,213315.855006
2018-01-01 23:59:00+00:00,221256.153513
2018-01-02 23:59:00+00:00,225703.914707
2018-01-03 23:59:00+00:00,344808.392319
2018-01-04 23:59:00+00:00,303733.765453
