,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99733.765468
2017-10-28 23:59:00+00:00,99942.6964591
2017-10-29 23:59:00+00:00,93315.8237262
2017-10-30 23:59:00+00:00,94390.4418993
2017-10-31 23:59:00+00:00,83047.2298146
2017-11-01 23:59:00+00:00,69907.0285392
2017-11-02 23:59:00+00:00,68547.4617073
2017-11-03 23:59:00+00:00,68865.8658088
2017-11-04 23:59:00+00:00,66175.6339652
2017-11-05 23:59:00+00:00,69039.3003673
2017-11-06 23:59:00+00:00,77195.3014762
2017-11-07 23:59:00+00:00,72681.1100248
2017-11-08 23:59:00+00:00,75211.9098779
2017-11-09 23:59:00+00:00,88640.1972096
2017-11-10 23:59:00+00:00,84183.423628
2017-11-11 23:59:00+00:00,86656.2830459
2017-11-12 23:59:00+00:00,88008.0576401
2017-11-13 23:59:00+00:00,85016.3229065
2017-11-14 23:59:00+00:00,81938.6216745
2017-11-15 23:59:00+00:00,76069.182479
2017-11-16 23:59:00+00:00,71580.6324119
2017-11-17 23:59:00+00:00,71551.7617366
2017-11-18 23:59:00+00:00,72443.8305314
2017-11-19 23:59:00+00:00,72645.04815
2017-11-20 23:59:00+00:00,74831.4692276
2017-11-21 23:59:00+00:00,71954.5235115
2017-11-22 23:59:00+00:00,70803.7931572
2017-11-23 23:59:00+00:00,71781.8013513
2017-11-24 23:59:00+00:00,73335.2210723
2017-11-25 23:59:00+00:00,71954.1913258
2017-11-26 23:59:00+00:00,65970.6470779
2017-11-27 23:59:00+00:00,66689.9068795
2017-11-28 23:59:00+00:00,72328.8126445
2017-11-29 23:59:00+00:00,62057.8632027
2017-11-30 23:59:00+00:00,63784.0757984
2017-12-01 23:59:00+00:00,63277.9015635
2017-12-02 23:59:00+00:00,67495.7272684
2017-12-03 23:59:00+00:00,72992.7492272
2017-12-04 23:59:00+00:00,72682.7654487
2017-12-05 23:59:00+00:00,79824.7509063
2017-12-06 23:59:00+00:00,60839.0959136
2017-12-07 23:59:00+00:00,41450.9347846
2017-12-08 23:59:00+00:00,128581.351505
2017-12-09 23:59:00+00:00,94102.9953744
2017-12-10 23:59:00+00:00,81219.7756569
2017-12-11 23:59:00+00:00,91697.1768649
2017-12-12 23:59:00+00:00,101403.511764
2017-12-13 23:59:00+00:00,107248.033138
2017-12-14 23:59:00+00:00,107898.299089
2017-12-15 23:59:00+00:00,98174.0866033
2017-12-16 23:59:00+00:00,102373.774
2017-12-17 23:59:00+00:00,124146.874472
2017-12-18 23:59:00+00:00,142129.373513
2017-12-19 23:59:00+00:00,146335.681596
2017-12-20 23:59:00+00:00,183430.432557
2017-12-21 23:59:00+00:00,201709.002599
2017-12-22 23:59:00+00:00,177972.734105
2017-12-23 23:59:00+00:00,192215.836085
2017-12-24 23:59:00+00:00,212089.969567
2017-12-25 23:59:00+00:00,218287.39578
2017-12-26 23:59:00+00:00,199075.323808
2017-12-27 23:59:00+00:00,190623.657122
2017-12-28 23:59:00+00:00,194047.155279
2017-12-29 23:59:00+00:00,221938.66019
2017-12-30 23:59:00+00:00,212114.295269
2017-12-31 23:59:00+00:00,211041.023501
2018-01-01 23:59:00+00:00,226464.639123
2018-01-02 23:59:00+00:00,222870.665074
2018-01-03 23:59:00+00:00,272741.561733
2018-01-04 23:59:00+00:00,245278.657325
