,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99740.2370019
2017-10-28 23:59:00+00:00,102595.63843
2017-10-29 23:59:00+00:00,98598.107927
2017-10-30 23:59:00+00:00,101986.134516
2017-10-31 23:59:00+00:00,85445.8839825
2017-11-01 23:59:00+00:00,69770.9910354
2017-11-02 23:59:00+00:00,66907.2658388
2017-11-03 23:59:00+00:00,71877.0140137
2017-11-04 23:59:00+00:00,66328.8321071
2017-11-05 23:59:00+00:00,64651.8583296
2017-11-06 23:59:00+00:00,70480.8582232
2017-11-07 23:59:00+00:00,69699.5757406
2017-11-08 23:59:00+00:00,73285.7568329
2017-11-09 23:59:00+00:00,85945.241463
2017-11-10 23:59:00+00:00,77200.7355659
2017-11-11 23:59:00+00:00,79193.8850979
2017-11-12 23:59:00+00:00,75043.5134238
2017-11-13 23:59:00+00:00,79446.5964122
2017-11-14 23:59:00+00:00,78242.4702227
2017-11-15 23:59:00+00:00,69104.9130746
2017-11-16 23:59:00+00:00,60442.7393364
2017-11-17 23:59:00+00:00,60704.9452368
2017-11-18 23:59:00+00:00,63584.5998303
2017-11-19 23:59:00+00:00,59777.5189584
2017-11-20 23:59:00+00:00,64642.3595232
2017-11-21 23:59:00+00:00,62251.4012947
2017-11-22 23:59:00+00:00,61561.2340374
2017-11-23 23:59:00+00:00,64876.852573
2017-11-24 23:59:00+00:00,64263.4571639
2017-11-25 23:59:00+00:00,64158.8115839
2017-11-26 23:59:00+00:00,65406.8195379
2017-11-27 23:59:00+00:00,66387.0743791
2017-11-28 23:59:00+00:00,68759.8267419
2017-11-29 23:59:00+00:00,54872.249322
2017-11-30 23:59:00+00:00,55591.8467291
2017-12-01 23:59:00+00:00,56504.1459698
2017-12-02 23:59:00+00:00,54837.827946
2017-12-03 23:59:00+00:00,56342.6140995
2017-12-04 23:59:00+00:00,84905.5429261
2017-12-05 23:59:00+00:00,86041.8095113
2017-12-06 23:59:00+00:00,60481.3497802
2017-12-07 23:59:00+00:00,43022.0666347
2017-12-08 23:59:00+00:00,54599.7198496
2017-12-09 23:59:00+00:00,57234.4859555
2017-12-10 23:59:00+00:00,56388.7103326
2017-12-11 23:59:00+00:00,57722.9721928
2017-12-12 23:59:00+00:00,62345.9261269
2017-12-13 23:59:00+00:00,69391.9340964
2017-12-14 23:59:00+00:00,67079.9562038
2017-12-15 23:59:00+00:00,58389.9988807
2017-12-16 23:59:00+00:00,58965.6453212
2017-12-17 23:59:00+00:00,70826.8415806
2017-12-18 23:59:00+00:00,76785.1658101
2017-12-19 23:59:00+00:00,74624.9484016
2017-12-20 23:59:00+00:00,83552.8499416
2017-12-21 23:59:00+00:00,90594.3317355
2017-12-22 23:59:00+00:00,79913.2827618
2017-12-23 23:59:00+00:00,97938.7103403
2017-12-24 23:59:00+00:00,116754.425857
2017-12-25 23:59:00+00:00,118014.573103
2017-12-26 23:59:00+00:00,96152.2016836
2017-12-27 23:59:00+00:00,94214.2386934
2017-12-28 23:59:00+00:00,99391.8402693
2017-12-29 23:59:00+00:00,99830.5418655
2017-12-30 23:59:00+00:00,98970.3795714
2017-12-31 23:59:00+00:00,98482.3413789
2018-01-01 23:59:00+00:00,99301.3237004
2018-01-02 23:59:00+00:00,98530.7455351
2018-01-03 23:59:00+00:00,99423.7371677
2018-01-04 23:59:00+00:00,99648.9465203
