,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99748.8943854
2017-10-28 23:59:00+00:00,108907.761756
2017-10-29 23:59:00+00:00,109248.02697
2017-10-30 23:59:00+00:00,112034.181079
2017-10-31 23:59:00+00:00,81405.8445072
2017-11-01 23:59:00+00:00,66764.7610193
2017-11-02 23:59:00+00:00,63379.2338316
2017-11-03 23:59:00+00:00,66502.6749032
2017-11-04 23:59:00+00:00,61336.8979891
2017-11-05 23:59:00+00:00,59541.7570061
2017-11-06 23:59:00+00:00,67010.4667532
2017-11-07 23:59:00+00:00,63179.6909932
2017-11-08 23:59:00+00:00,64179.6388738
2017-11-09 23:59:00+00:00,80240.6036783
2017-11-10 23:59:00+00:00,69734.822148
2017-11-11 23:59:00+00:00,71774.1797391
2017-11-12 23:59:00+00:00,66393.2241672
2017-11-13 23:59:00+00:00,76212.5187684
2017-11-14 23:59:00+00:00,72870.1762248
2017-11-15 23:59:00+00:00,65697.0579212
2017-11-16 23:59:00+00:00,55374.438847
2017-11-17 23:59:00+00:00,53704.3844195
2017-11-18 23:59:00+00:00,57754.8062143
2017-11-19 23:59:00+00:00,54130.2743582
2017-11-20 23:59:00+00:00,53221.9077057
2017-11-21 23:59:00+00:00,52304.6062992
2017-11-22 23:59:00+00:00,51711.9342866
2017-11-23 23:59:00+00:00,55894.1437023
2017-11-24 23:59:00+00:00,55551.6448005
2017-11-25 23:59:00+00:00,55673.0085418
2017-11-26 23:59:00+00:00,53132.5601661
2017-11-27 23:59:00+00:00,56340.8814003
2017-11-28 23:59:00+00:00,54874.0926253
2017-11-29 23:59:00+00:00,45462.0738921
2017-11-30 23:59:00+00:00,46269.9245626
2017-12-01 23:59:00+00:00,45935.6158519
2017-12-02 23:59:00+00:00,44951.3037908
2017-12-03 23:59:00+00:00,47371.8775509
2017-12-04 23:59:00+00:00,86941.6691477
2017-12-05 23:59:00+00:00,89925.8769701
2017-12-06 23:59:00+00:00,62781.3498792
2017-12-07 23:59:00+00:00,47108.3023091
2017-12-08 23:59:00+00:00,57428.6876948
2017-12-09 23:59:00+00:00,64677.751407
2017-12-10 23:59:00+00:00,69552.4042546
2017-12-11 23:59:00+00:00,70971.5410085
2017-12-12 23:59:00+00:00,80904.7537226
2017-12-13 23:59:00+00:00,87845.5684233
2017-12-14 23:59:00+00:00,76315.2684389
2017-12-15 23:59:00+00:00,65261.4886657
2017-12-16 23:59:00+00:00,61639.9350609
2017-12-17 23:59:00+00:00,65721.6284946
2017-12-18 23:59:00+00:00,72013.9289704
2017-12-19 23:59:00+00:00,72946.1216335
2017-12-20 23:59:00+00:00,81358.9370489
2017-12-21 23:59:00+00:00,89240.8791666
2017-12-22 23:59:00+00:00,75795.5635836
2017-12-23 23:59:00+00:00,89544.6608012
2017-12-24 23:59:00+00:00,99694.5412989
2017-12-25 23:59:00+00:00,106673.328704
2017-12-26 23:59:00+00:00,84561.3017804
2017-12-27 23:59:00+00:00,83973.8417076
2017-12-28 23:59:00+00:00,84579.1712884
2017-12-29 23:59:00+00:00,87921.5138319
2017-12-30 23:59:00+00:00,87314.6951255
2017-12-31 23:59:00+00:00,84772.0130613
2018-01-01 23:59:00+00:00,85006.5503527
2018-01-02 23:59:00+00:00,86328.1493759
2018-01-03 23:59:00+00:00,83410.2076454
2018-01-04 23:59:00+00:00,81953.0981872
