,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99731.5796183
2017-10-28 23:59:00+00:00,96301.3086335
2017-10-29 23:59:00+00:00,87695.8889375
2017-10-30 23:59:00+00:00,91681.3482898
2017-10-31 23:59:00+00:00,87421.5994464
2017-11-01 23:59:00+00:00,71013.8003718
2017-11-02 23:59:00+00:00,68855.8360624
2017-11-03 23:59:00+00:00,75815.5188119
2017-11-04 23:59:00+00:00,70032.3066507
2017-11-05 23:59:00+00:00,68581.5465714
2017-11-06 23:59:00+00:00,72064.6926388
2017-11-07 23:59:00+00:00,75237.1975958
2017-11-08 23:59:00+00:00,81763.9656064
2017-11-09 23:59:00+00:00,89305.2742647
2017-11-10 23:59:00+00:00,83677.3826586
2017-11-11 23:59:00+00:00,85544.5340135
2017-11-12 23:59:00+00:00,83221.335071
2017-11-13 23:59:00+00:00,80389.2134583
2017-11-14 23:59:00+00:00,82233.2319646
2017-11-15 23:59:00+00:00,71188.9490829
2017-11-16 23:59:00+00:00,64910.0330221
2017-11-17 23:59:00+00:00,67487.6932997
2017-11-18 23:59:00+00:00,68710.4295852
2017-11-19 23:59:00+00:00,64910.0330221
2017-11-20 23:59:00+00:00,77163.8334187
2017-11-21 23:59:00+00:00,72956.959658
2017-11-22 23:59:00+00:00,72196.8803453
2017-11-23 23:59:00+00:00,73832.7032138
2017-11-24 23:59:00+00:00,72871.0376487
2017-11-25 23:59:00+00:00,72444.7322951
2017-11-26 23:59:00+00:00,79116.9067829
2017-11-27 23:59:00+00:00,76823.4500743
2017-11-28 23:59:00+00:00,85263.6351371
2017-11-29 23:59:00+00:00,65901.4408212
2017-11-30 23:59:00+00:00,66380.6212574
2017-12-01 23:59:00+00:00,69239.1804114
2017-12-02 23:59:00+00:00,66654.9107485
2017-12-03 23:59:00+00:00,66413.6681841
2017-12-04 23:59:00+00:00,73056.1004379
2017-12-05 23:59:00+00:00,71301.3086335
2017-12-06 23:59:00+00:00,50025.6972654
2017-12-07 23:59:00+00:00,33188.2881444
2017-12-08 23:59:00+00:00,44420.9385079
2017-12-09 23:59:00+00:00,42867.732956
2017-12-10 23:59:00+00:00,37097.7395654
2017-12-11 23:59:00+00:00,38214.7256857
2017-12-12 23:59:00+00:00,38796.3515945
2017-12-13 23:59:00+00:00,44724.970233
2017-12-14 23:59:00+00:00,47867.732956
2017-12-15 23:59:00+00:00,42107.6536434
2017-12-16 23:59:00+00:00,45537.9246282
2017-12-17 23:59:00+00:00,61086.5036104
2017-12-18 23:59:00+00:00,65752.7296513
2017-12-19 23:59:00+00:00,60855.1751239
2017-12-20 23:59:00+00:00,68512.1480254
2017-12-21 23:59:00+00:00,73386.5697042
2017-12-22 23:59:00+00:00,67365.4196712
2017-12-23 23:59:00+00:00,85696.5498761
2017-12-24 23:59:00+00:00,109176.391251
2017-12-25 23:59:00+00:00,104298.664879
2017-12-26 23:59:00+00:00,87943.7408873
2017-12-27 23:59:00+00:00,85032.3066507
2017-12-28 23:59:00+00:00,94206.1334848
2017-12-29 23:59:00+00:00,91390.5353354
2017-12-30 23:59:00+00:00,90445.3932336
2017-12-31 23:59:00+00:00,92365.4196712
2018-01-01 23:59:00+00:00,93670.7732733
2018-01-02 23:59:00+00:00,90620.5419448
2018-01-03 23:59:00+00:00,95845.2610459
2018-01-04 23:59:00+00:00,97947.04558
