,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99748.8940741
2017-10-28 23:59:00+00:00,108907.535096
2017-10-29 23:59:00+00:00,109247.639468
2017-10-30 23:59:00+00:00,112033.815141
2017-10-31 23:59:00+00:00,81405.9526688
2017-11-01 23:59:00+00:00,66426.067725
2017-11-02 23:59:00+00:00,64493.8615602
2017-11-03 23:59:00+00:00,70725.3058581
2017-11-04 23:59:00+00:00,65547.1831236
2017-11-05 23:59:00+00:00,64248.2049219
2017-11-06 23:59:00+00:00,67366.2066323
2017-11-07 23:59:00+00:00,70194.0338272
2017-11-08 23:59:00+00:00,76011.7338437
2017-11-09 23:59:00+00:00,82733.813054
2017-11-10 23:59:00+00:00,77717.2978479
2017-11-11 23:59:00+00:00,79381.5735641
2017-11-12 23:59:00+00:00,77310.3257296
2017-11-13 23:59:00+00:00,74785.7242432
2017-11-14 23:59:00+00:00,76429.5838757
2017-11-15 23:59:00+00:00,66583.4772605
2017-11-16 23:59:00+00:00,60682.5458953
2017-11-17 23:59:00+00:00,58904.2591271
2017-11-18 23:59:00+00:00,63217.7849959
2017-11-19 23:59:00+00:00,59357.5943948
2017-11-20 23:59:00+00:00,58391.2379528
2017-11-21 23:59:00+00:00,57134.1386632
2017-11-22 23:59:00+00:00,56583.9051852
2017-11-23 23:59:00+00:00,57768.215419
2017-11-24 23:59:00+00:00,57072.0661632
2017-11-25 23:59:00+00:00,56763.4744516
2017-11-26 23:59:00+00:00,61588.2106227
2017-11-27 23:59:00+00:00,59874.1691421
2017-11-28 23:59:00+00:00,66182.5254225
2017-11-29 23:59:00+00:00,51710.2492502
2017-11-30 23:59:00+00:00,52068.4397915
2017-12-01 23:59:00+00:00,54204.548859
2017-12-02 23:59:00+00:00,52278.9489681
2017-12-03 23:59:00+00:00,52099.33198
2017-12-04 23:59:00+00:00,57050.8057595
2017-12-05 23:59:00+00:00,55743.4706109
2017-12-06 23:59:00+00:00,39686.2160142
2017-12-07 23:59:00+00:00,29614.5749658
2017-12-08 23:59:00+00:00,36246.5535006
2017-12-09 23:59:00+00:00,40904.4657614
2017-12-10 23:59:00+00:00,44036.4887414
2017-12-11 23:59:00+00:00,44944.7339352
2017-12-12 23:59:00+00:00,51535.0342337
2017-12-13 23:59:00+00:00,56140.0519652
2017-12-14 23:59:00+00:00,48490.1858775
2017-12-15 23:59:00+00:00,41156.380023
2017-12-16 23:59:00+00:00,38753.5292248
2017-12-17 23:59:00+00:00,41462.0079639
2017-12-18 23:59:00+00:00,45633.3818527
2017-12-19 23:59:00+00:00,46250.207479
2017-12-20 23:59:00+00:00,51827.6340522
2017-12-21 23:59:00+00:00,56760.5033142
2017-12-22 23:59:00+00:00,52426.775888
2017-12-23 23:59:00+00:00,65620.2651155
2017-12-24 23:59:00+00:00,82519.3455124
2017-12-25 23:59:00+00:00,79008.8321976
2017-12-26 23:59:00+00:00,67234.4093415
2017-12-27 23:59:00+00:00,65100.5040444
2017-12-28 23:59:00+00:00,71824.348561
2017-12-29 23:59:00+00:00,69760.7355108
2017-12-30 23:59:00+00:00,69067.9981442
2017-12-31 23:59:00+00:00,70474.6587627
2018-01-01 23:59:00+00:00,71434.3583964
2018-01-02 23:59:00+00:00,69191.8533828
2018-01-03 23:59:00+00:00,73033.0121774
2018-01-04 23:59:00+00:00,74578.2170721
