,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99761.4153768
2017-10-28 23:59:00+00:00,103815.010045
2017-10-29 23:59:00+00:00,95965.5888152
2017-10-30 23:59:00+00:00,100800.432625
2017-10-31 23:59:00+00:00,93537.2185146
2017-11-01 23:59:00+00:00,85752.030359
2017-11-02 23:59:00+00:00,81512.4023647
2017-11-03 23:59:00+00:00,85373.6096017
2017-11-04 23:59:00+00:00,82325.3784589
2017-11-05 23:59:00+00:00,81196.1757855
2017-11-06 23:59:00+00:00,85019.9083241
2017-11-07 23:59:00+00:00,84401.7800029
2017-11-08 23:59:00+00:00,88369.3051497
2017-11-09 23:59:00+00:00,97249.1057709
2017-11-10 23:59:00+00:00,106922.375925
2017-11-11 23:59:00+00:00,124719.539024
2017-11-12 23:59:00+00:00,130333.5072
2017-11-13 23:59:00+00:00,122934.08618
2017-11-14 23:59:00+00:00,120200.057107
2017-11-15 23:59:00+00:00,108068.013792
2017-11-16 23:59:00+00:00,93202.7589502
2017-11-17 23:59:00+00:00,101955.27931
2017-11-18 23:59:00+00:00,104912.083098
2017-11-19 23:59:00+00:00,99657.7740952
2017-11-20 23:59:00+00:00,99266.6526434
2017-11-21 23:59:00+00:00,97895.7047989
2017-11-22 23:59:00+00:00,103818.048734
2017-11-23 23:59:00+00:00,116576.147391
2017-11-24 23:59:00+00:00,118664.55078
2017-11-25 23:59:00+00:00,114352.719287
2017-11-26 23:59:00+00:00,113570.112549
2017-11-27 23:59:00+00:00,114872.884216
2017-11-28 23:59:00+00:00,107662.695427
2017-11-29 23:59:00+00:00,98846.5877892
2017-11-30 23:59:00+00:00,100430.091446
2017-12-01 23:59:00+00:00,100840.018167
2017-12-02 23:59:00+00:00,103980.818363
2017-12-03 23:59:00+00:00,105420.239847
2017-12-04 23:59:00+00:00,110623.467083
2017-12-05 23:59:00+00:00,116329.19034
2017-12-06 23:59:00+00:00,97124.0663969
2017-12-07 23:59:00+00:00,74844.6374894
2017-12-08 23:59:00+00:00,85730.9336523
2017-12-09 23:59:00+00:00,93058.9584263
2017-12-10 23:59:00+00:00,89210.7902235
2017-12-11 23:59:00+00:00,91622.8728626
2017-12-12 23:59:00+00:00,102131.214296
2017-12-13 23:59:00+00:00,106527.149309
2017-12-14 23:59:00+00:00,111846.788349
2017-12-15 23:59:00+00:00,104343.9744
2017-12-16 23:59:00+00:00,101510.481988
2017-12-17 23:59:00+00:00,107553.132295
2017-12-18 23:59:00+00:00,120140.669762
2017-12-19 23:59:00+00:00,135413.603813
2017-12-20 23:59:00+00:00,158943.7305
2017-12-21 23:59:00+00:00,157099.949946
2017-12-22 23:59:00+00:00,146233.327692
2017-12-23 23:59:00+00:00,165968.171644
2017-12-24 23:59:00+00:00,177180.457383
2017-12-25 23:59:00+00:00,166648.60694
2017-12-26 23:59:00+00:00,153791.410292
2017-12-27 23:59:00+00:00,149719.664338
2017-12-28 23:59:00+00:00,150752.942418
2017-12-29 23:59:00+00:00,156879.429044
2017-12-30 23:59:00+00:00,165141.630433
2017-12-31 23:59:00+00:00,160148.037128
2018-01-01 23:59:00+00:00,164256.148253
2018-01-02 23:59:00+00:00,156931.194864
2018-01-03 23:59:00+00:00,160739.67415
2018-01-04 23:59:00+00:00,165317.656627
