,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99711.0863141
2017-10-28 23:59:00+00:00,116805.346377
2017-10-29 23:59:00+00:00,117798.019919
2017-10-30 23:59:00+00:00,116616.264029
2017-10-31 23:59:00+00:00,106878.610955
2017-11-01 23:59:00+00:00,127926.803938
2017-11-02 23:59:00+00:00,131649.716249
2017-11-03 23:59:00+00:00,142520.00105
2017-11-04 23:59:00+00:00,135305.970092
2017-11-05 23:59:00+00:00,136667.619512
2017-11-06 23:59:00+00:00,137941.386576
2017-11-07 23:59:00+00:00,138609.165974
2017-11-08 23:59:00+00:00,134427.497931
2017-11-09 23:59:00+00:00,150583.672712
2017-11-10 23:59:00+00:00,256227.715792
2017-11-11 23:59:00+00:00,361151.991492
2017-11-12 23:59:00+00:00,400925.380813
2017-11-13 23:59:00+00:00,352768.854643
2017-11-14 23:59:00+00:00,321091.868857
2017-11-15 23:59:00+00:00,274596.533544
2017-11-16 23:59:00+00:00,192091.14851
2017-11-17 23:59:00+00:00,258292.037524
2017-11-18 23:59:00+00:00,271618.372362
2017-11-19 23:59:00+00:00,244589.259795
2017-11-20 23:59:00+00:00,253996.747892
2017-11-21 23:59:00+00:00,242479.556191
2017-11-22 23:59:00+00:00,266196.53003
2017-11-23 23:59:00+00:00,355099.704829
2017-11-24 23:59:00+00:00,334895.319496
2017-11-25 23:59:00+00:00,297471.966192
2017-11-26 23:59:00+00:00,313284.429955
2017-11-27 23:59:00+00:00,274806.927627
2017-11-28 23:59:00+00:00,252142.960798
2017-11-29 23:59:00+00:00,229302.491343
2017-11-30 23:59:00+00:00,222278.210372
2017-12-01 23:59:00+00:00,220166.398435
2017-12-02 23:59:00+00:00,212611.520279
2017-12-03 23:59:00+00:00,225612.908265
2017-12-04 23:59:00+00:00,222450.408485
2017-12-05 23:59:00+00:00,203123.985799
2017-12-06 23:59:00+00:00,161552.574797
2017-12-07 23:59:00+00:00,118615.262571
2017-12-08 23:59:00+00:00,141121.490938
2017-12-09 23:59:00+00:00,151831.928945
2017-12-10 23:59:00+00:00,138995.641017
2017-12-11 23:59:00+00:00,136535.831118
2017-12-12 23:59:00+00:00,155282.268913
2017-12-13 23:59:00+00:00,159903.173037
2017-12-14 23:59:00+00:00,195736.070062
2017-12-15 23:59:00+00:00,168143.329756
2017-12-16 23:59:00+00:00,150765.235338
2017-12-17 23:59:00+00:00,158725.42298
2017-12-18 23:59:00+00:00,187525.851674
2017-12-19 23:59:00+00:00,258649.294582
2017-12-20 23:59:00+00:00,383913.784981
2017-12-21 23:59:00+00:00,334719.150689
2017-12-22 23:59:00+00:00,315667.285692
2017-12-23 23:59:00+00:00,348599.010836
2017-12-24 23:59:00+00:00,348115.851147
2017-12-25 23:59:00+00:00,337345.80002
2017-12-26 23:59:00+00:00,314689.967843
2017-12-27 23:59:00+00:00,297999.01435
2017-12-28 23:59:00+00:00,292552.48695
2017-12-29 23:59:00+00:00,308364.985852
2017-12-30 23:59:00+00:00,297421.155362
2017-12-31 23:59:00+00:00,289590.313961
2018-01-01 23:59:00+00:00,292447.456819
2018-01-02 23:59:00+00:00,292552.416672
2018-01-03 23:59:00+00:00,283767.765338
2018-01-04 23:59:00+00:00,258467.960359
