,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99724.6794177
2017-10-28 23:59:00+00:00,97110.3003327
2017-10-29 23:59:00+00:00,90574.3526203
2017-10-30 23:59:00+00:00,92535.136934
2017-10-31 23:59:00+00:00,85999.1892216
2017-11-01 23:59:00+00:00,73580.888568
2017-11-02 23:59:00+00:00,66391.3460843
2017-11-03 23:59:00+00:00,74888.0781105
2017-11-04 23:59:00+00:00,68352.1303981
2017-11-05 23:59:00+00:00,68352.1303981
2017-11-06 23:59:00+00:00,73580.888568
2017-11-07 23:59:00+00:00,72273.6990255
2017-11-08 23:59:00+00:00,76195.267653
2017-11-09 23:59:00+00:00,94495.9212477
2017-11-10 23:59:00+00:00,82731.2153654
2017-11-11 23:59:00+00:00,86652.7839928
2017-11-12 23:59:00+00:00,78156.0519667
2017-11-13 23:59:00+00:00,78809.6467379
2017-11-14 23:59:00+00:00,84691.9996791
2017-11-15 23:59:00+00:00,74888.0781105
2017-11-16 23:59:00+00:00,73580.888568
2017-11-17 23:59:00+00:00,70312.9147118
2017-11-18 23:59:00+00:00,68352.1303981
2017-11-19 23:59:00+00:00,67044.9408556
2017-11-20 23:59:00+00:00,63123.3722281
2017-11-21 23:59:00+00:00,66391.3460843
2017-11-22 23:59:00+00:00,69659.3199406
2017-11-23 23:59:00+00:00,69659.3199406
2017-11-24 23:59:00+00:00,73580.888568
2017-11-25 23:59:00+00:00,70312.9147118
2017-11-26 23:59:00+00:00,69005.7251693
2017-11-27 23:59:00+00:00,73580.888568
2017-11-28 23:59:00+00:00,80770.4310517
2017-11-29 23:59:00+00:00,69005.7251693
2017-11-30 23:59:00+00:00,68352.1303981
2017-12-01 23:59:00+00:00,67044.9408556
2017-12-02 23:59:00+00:00,68352.1303981
2017-12-03 23:59:00+00:00,73580.888568
2017-12-04 23:59:00+00:00,92535.136934
2017-12-05 23:59:00+00:00,80116.8362804
2017-12-06 23:59:00+00:00,70312.9147118
2017-12-07 23:59:00+00:00,46783.5029471
2017-12-08 23:59:00+00:00,52012.261117
2017-12-09 23:59:00+00:00,56587.4245157
2017-12-10 23:59:00+00:00,48744.2872608
2017-12-11 23:59:00+00:00,48744.2872608
2017-12-12 23:59:00+00:00,53319.4506595
2017-12-13 23:59:00+00:00,55280.2349732
2017-12-14 23:59:00+00:00,77502.4571955
2017-12-15 23:59:00+00:00,69659.3199406
2017-12-16 23:59:00+00:00,101685.463731
2017-12-17 23:59:00+00:00,116064.548699
2017-12-18 23:59:00+00:00,121946.90164
2017-12-19 23:59:00+00:00,142861.93432
2017-12-20 23:59:00+00:00,194495.921248
2017-12-21 23:59:00+00:00,202339.058503
2017-12-22 23:59:00+00:00,191227.947392
2017-12-23 23:59:00+00:00,303646.248045
2017-12-24 23:59:00+00:00,389920.757849
2017-12-25 23:59:00+00:00,298417.489875
2017-12-26 23:59:00+00:00,272927.293797
2017-12-27 23:59:00+00:00,267044.940856
2017-12-28 23:59:00+00:00,262469.777457
2017-12-29 23:59:00+00:00,296456.705561
2017-12-30 23:59:00+00:00,353319.45066
2017-12-31 23:59:00+00:00,325214.875496
2018-01-01 23:59:00+00:00,335672.391836
2018-01-02 23:59:00+00:00,283384.810137
2018-01-03 23:59:00+00:00,336325.986607
2018-01-04 23:59:00+00:00,419332.522555
