,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99733.3133675
2017-10-28 23:59:00+00:00,98938.6249709
2017-10-29 23:59:00+00:00,95306.5521306
2017-10-30 23:59:00+00:00,96480.065838
2017-10-31 23:59:00+00:00,90937.7284137
2017-11-01 23:59:00+00:00,82563.465583
2017-11-02 23:59:00+00:00,77862.5172247
2017-11-03 23:59:00+00:00,82045.4547446
2017-11-04 23:59:00+00:00,78259.9510787
2017-11-05 23:59:00+00:00,76865.3662843
2017-11-06 23:59:00+00:00,82162.2462652
2017-11-07 23:59:00+00:00,78857.7156627
2017-11-08 23:59:00+00:00,79455.4204762
2017-11-09 23:59:00+00:00,86548.0049518
2017-11-10 23:59:00+00:00,87384.9710022
2017-11-11 23:59:00+00:00,95961.6166828
2017-11-12 23:59:00+00:00,100773.558825
2017-11-13 23:59:00+00:00,93423.861662
2017-11-14 23:59:00+00:00,98482.3769633
2017-11-15 23:59:00+00:00,88221.7577411
2017-11-16 23:59:00+00:00,80704.7430774
2017-11-17 23:59:00+00:00,83030.6715122
2017-11-18 23:59:00+00:00,86189.5613751
2017-11-19 23:59:00+00:00,84902.8622996
2017-11-20 23:59:00+00:00,86739.9080439
2017-11-21 23:59:00+00:00,85758.5962811
2017-11-22 23:59:00+00:00,89536.7083308
2017-11-23 23:59:00+00:00,98218.2512062
2017-11-24 23:59:00+00:00,111919.996504
2017-11-25 23:59:00+00:00,102070.418882
2017-11-26 23:59:00+00:00,97984.2696952
2017-11-27 23:59:00+00:00,94521.745787
2017-11-28 23:59:00+00:00,90592.6535014
2017-11-29 23:59:00+00:00,83470.8213369
2017-11-30 23:59:00+00:00,83948.4671769
2017-12-01 23:59:00+00:00,81676.2126343
2017-12-02 23:59:00+00:00,80451.5951654
2017-12-03 23:59:00+00:00,79105.7631603
2017-12-04 23:59:00+00:00,77374.4713209
2017-12-05 23:59:00+00:00,74873.0169059
2017-12-06 23:59:00+00:00,57589.5653598
2017-12-07 23:59:00+00:00,46404.3964086
2017-12-08 23:59:00+00:00,52885.3893955
2017-12-09 23:59:00+00:00,59332.9308364
2017-12-10 23:59:00+00:00,54320.7575817
2017-12-11 23:59:00+00:00,58376.3640529
2017-12-12 23:59:00+00:00,71804.7988632
2017-12-13 23:59:00+00:00,82244.7096059
2017-12-14 23:59:00+00:00,80650.8699502
2017-12-15 23:59:00+00:00,74136.7641166
2017-12-16 23:59:00+00:00,67901.3281906
2017-12-17 23:59:00+00:00,71585.7201255
2017-12-18 23:59:00+00:00,80073.0487835
2017-12-19 23:59:00+00:00,88988.9716397
2017-12-20 23:59:00+00:00,93601.1209862
2017-12-21 23:59:00+00:00,97785.0347573
2017-12-22 23:59:00+00:00,92604.90645
2017-12-23 23:59:00+00:00,92724.2481778
2017-12-24 23:59:00+00:00,94326.296313
2017-12-25 23:59:00+00:00,100773.558825
2017-12-26 23:59:00+00:00,92202.4717991
2017-12-27 23:59:00+00:00,92239.8681969
2017-12-28 23:59:00+00:00,96163.1826694
2017-12-29 23:59:00+00:00,99358.9907663
2017-12-30 23:59:00+00:00,107288.541292
2017-12-31 23:59:00+00:00,103945.379035
2018-01-01 23:59:00+00:00,109143.498258
2018-01-02 23:59:00+00:00,112990.645213
2018-01-03 23:59:00+00:00,121354.527904
2018-01-04 23:59:00+00:00,120617.199246
