,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99736.6128842
2017-10-28 23:59:00+00:00,98725.3897223
2017-10-29 23:59:00+00:00,96873.7329572
2017-10-30 23:59:00+00:00,95783.9785217
2017-10-31 23:59:00+00:00,89925.2049929
2017-11-01 23:59:00+00:00,81949.4922259
2017-11-02 23:59:00+00:00,80231.3811903
2017-11-03 23:59:00+00:00,81497.0329094
2017-11-04 23:59:00+00:00,77731.4689793
2017-11-05 23:59:00+00:00,76803.3527615
2017-11-06 23:59:00+00:00,81812.6477571
2017-11-07 23:59:00+00:00,88892.912465
2017-11-08 23:59:00+00:00,87828.803066
2017-11-09 23:59:00+00:00,94067.5700612
2017-11-10 23:59:00+00:00,93574.8874095
2017-11-11 23:59:00+00:00,102854.13419
2017-11-12 23:59:00+00:00,104535.32063
2017-11-13 23:59:00+00:00,98661.2239256
2017-11-14 23:59:00+00:00,98895.5408152
2017-11-15 23:59:00+00:00,91058.9071466
2017-11-16 23:59:00+00:00,94891.9356126
2017-11-17 23:59:00+00:00,91503.8112863
2017-11-18 23:59:00+00:00,93828.9967339
2017-11-19 23:59:00+00:00,92971.8566131
2017-11-20 23:59:00+00:00,91528.6050353
2017-11-21 23:59:00+00:00,90489.0765634
2017-11-22 23:59:00+00:00,91335.2563575
2017-11-23 23:59:00+00:00,95027.0775062
2017-11-24 23:59:00+00:00,98860.531616
2017-11-25 23:59:00+00:00,105908.021754
2017-11-26 23:59:00+00:00,96022.3390271
2017-11-27 23:59:00+00:00,97469.6342206
2017-11-28 23:59:00+00:00,99884.0984468
2017-11-29 23:59:00+00:00,89180.2220027
2017-11-30 23:59:00+00:00,90627.3043744
2017-12-01 23:59:00+00:00,93880.0739851
2017-12-02 23:59:00+00:00,95016.9684669
2017-12-03 23:59:00+00:00,94096.301015
2017-12-04 23:59:00+00:00,93164.6732362
2017-12-05 23:59:00+00:00,90063.4328039
2017-12-06 23:59:00+00:00,73623.6874665
2017-12-07 23:59:00+00:00,58246.561775
2017-12-08 23:59:00+00:00,80126.0343598
2017-12-09 23:59:00+00:00,106738.027086
2017-12-10 23:59:00+00:00,101311.175562
2017-12-11 23:59:00+00:00,131883.038594
2017-12-12 23:59:00+00:00,188387.141268
2017-12-13 23:59:00+00:00,192346.373108
2017-12-14 23:59:00+00:00,177213.992579
2017-12-15 23:59:00+00:00,177635.699133
2017-12-16 23:59:00+00:00,161113.910961
2017-12-17 23:59:00+00:00,174798.464243
2017-12-18 23:59:00+00:00,197870.058587
2017-12-19 23:59:00+00:00,208073.058737
2017-12-20 23:59:00+00:00,196015.528727
2017-12-21 23:59:00+00:00,206533.292437
2017-12-22 23:59:00+00:00,199442.067403
2017-12-23 23:59:00+00:00,201694.254945
2017-12-24 23:59:00+00:00,204880.836952
2017-12-25 23:59:00+00:00,201699.362671
2017-12-26 23:59:00+00:00,187465.516117
2017-12-27 23:59:00+00:00,180330.236953
2017-12-28 23:59:00+00:00,182640.950513
2017-12-29 23:59:00+00:00,176705.241875
2017-12-30 23:59:00+00:00,176544.561356
2017-12-31 23:59:00+00:00,172659.49794
2018-01-01 23:59:00+00:00,175712.108573
2018-01-02 23:59:00+00:00,179018.296475
2018-01-03 23:59:00+00:00,170084.459606
2018-01-04 23:59:00+00:00,164551.090731
