,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99738.986705
2017-10-28 23:59:00+00:00,92843.0227017
2017-10-29 23:59:00+00:00,79022.1200565
2017-10-30 23:59:00+00:00,85220.9883412
2017-10-31 23:59:00+00:00,78186.9687066
2017-11-01 23:59:00+00:00,66406.2215018
2017-11-02 23:59:00+00:00,63784.8688975
2017-11-03 23:59:00+00:00,60899.3357641
2017-11-04 23:59:00+00:00,58963.1481448
2017-11-05 23:59:00+00:00,59542.6409182
2017-11-06 23:59:00+00:00,62019.1203292
2017-11-07 23:59:00+00:00,61860.6120118
2017-11-08 23:59:00+00:00,64464.920711
2017-11-09 23:59:00+00:00,70227.4650251
2017-11-10 23:59:00+00:00,66339.7502719
2017-11-11 23:59:00+00:00,66852.7718154
2017-11-12 23:59:00+00:00,82753.0308828
2017-11-13 23:59:00+00:00,74392.9954315
2017-11-14 23:59:00+00:00,73859.5212018
2017-11-15 23:59:00+00:00,70017.8249924
2017-11-16 23:59:00+00:00,63034.9370731
2017-11-17 23:59:00+00:00,62636.1096938
2017-11-18 23:59:00+00:00,65826.7287284
2017-11-19 23:59:00+00:00,63590.5683794
2017-11-20 23:59:00+00:00,59038.1413273
2017-11-21 23:59:00+00:00,60282.3463995
2017-11-22 23:59:00+00:00,73218.6703701
2017-11-23 23:59:00+00:00,72678.3785784
2017-11-24 23:59:00+00:00,94436.6278285
2017-11-25 23:59:00+00:00,86823.1154205
2017-11-26 23:59:00+00:00,81459.3984857
2017-11-27 23:59:00+00:00,128722.147327
2017-11-28 23:59:00+00:00,95987.6231926
2017-11-29 23:59:00+00:00,88639.9957042
2017-11-30 23:59:00+00:00,103016.529656
2017-12-01 23:59:00+00:00,98522.0518809
2017-12-02 23:59:00+00:00,108951.217411
2017-12-03 23:59:00+00:00,109598.885805
2017-12-04 23:59:00+00:00,127034.800722
2017-12-05 23:59:00+00:00,199280.505658
2017-12-06 23:59:00+00:00,183122.883623
2017-12-07 23:59:00+00:00,140825.024338
2017-12-08 23:59:00+00:00,153722.147327
2017-12-09 23:59:00+00:00,149364.020793
2017-12-10 23:59:00+00:00,162453.739909
2017-12-11 23:59:00+00:00,148382.291859
2017-12-12 23:59:00+00:00,135708.444027
2017-12-13 23:59:00+00:00,146267.143236
2017-12-14 23:59:00+00:00,145479.714821
2017-12-15 23:59:00+00:00,137426.469661
2017-12-16 23:59:00+00:00,121193.854444
2017-12-17 23:59:00+00:00,119242.32731
2017-12-18 23:59:00+00:00,132141.15469
2017-12-19 23:59:00+00:00,136378.269497
2017-12-20 23:59:00+00:00,149345.272497
2017-12-21 23:59:00+00:00,150025.324311
2017-12-22 23:59:00+00:00,131478.146781
2017-12-23 23:59:00+00:00,128212.534564
2017-12-24 23:59:00+00:00,125488.918529
2017-12-25 23:59:00+00:00,135716.96598
2017-12-26 23:59:00+00:00,124631.610103
2017-12-27 23:59:00+00:00,122763.598104
2017-12-28 23:59:00+00:00,126642.790905
2017-12-29 23:59:00+00:00,123261.280133
2017-12-30 23:59:00+00:00,118604.88526
2017-12-31 23:59:00+00:00,117812.343673
2018-01-01 23:59:00+00:00,123753.84899
2018-01-02 23:59:00+00:00,115698.89944
2018-01-03 23:59:00+00:00,107753.030883
2018-01-04 23:59:00+00:00,100599.703912
