,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99741.575634
2017-10-28 23:59:00+00:00,96535.849858
2017-10-29 23:59:00+00:00,91652.9154749
2017-10-30 23:59:00+00:00,91575.1028569
2017-10-31 23:59:00+00:00,81405.5329835
2017-11-01 23:59:00+00:00,69386.9504058
2017-11-02 23:59:00+00:00,68617.2988676
2017-11-03 23:59:00+00:00,72776.8070303
2017-11-04 23:59:00+00:00,67460.1250836
2017-11-05 23:59:00+00:00,66041.778255
2017-11-06 23:59:00+00:00,72360.7791718
2017-11-07 23:59:00+00:00,69078.0111998
2017-11-08 23:59:00+00:00,79400.8950433
2017-11-09 23:59:00+00:00,87414.8242723
2017-11-10 23:59:00+00:00,82247.6041859
2017-11-11 23:59:00+00:00,89082.017394
2017-11-12 23:59:00+00:00,86826.2218948
2017-11-13 23:59:00+00:00,89824.7041635
2017-11-14 23:59:00+00:00,92807.0075711
2017-11-15 23:59:00+00:00,82294.5999254
2017-11-16 23:59:00+00:00,70541.812924
2017-11-17 23:59:00+00:00,77245.2543989
2017-11-18 23:59:00+00:00,78877.0081104
2017-11-19 23:59:00+00:00,74680.5196937
2017-11-20 23:59:00+00:00,75664.3485367
2017-11-21 23:59:00+00:00,73146.6095711
2017-11-22 23:59:00+00:00,74637.3760639
2017-11-23 23:59:00+00:00,74394.6931465
2017-11-24 23:59:00+00:00,71772.9472162
2017-11-25 23:59:00+00:00,77188.2431738
2017-11-26 23:59:00+00:00,70631.1818714
2017-11-27 23:59:00+00:00,75853.8723389
2017-11-28 23:59:00+00:00,73547.2289904
2017-11-29 23:59:00+00:00,62793.6792712
2017-11-30 23:59:00+00:00,63091.0621478
2017-12-01 23:59:00+00:00,63231.2789445
2017-12-02 23:59:00+00:00,65847.6319211
2017-12-03 23:59:00+00:00,65073.3578511
2017-12-04 23:59:00+00:00,70465.5411499
2017-12-05 23:59:00+00:00,67150.4154556
2017-12-06 23:59:00+00:00,48508.5152869
2017-12-07 23:59:00+00:00,35424.4391384
2017-12-08 23:59:00+00:00,40530.025468
2017-12-09 23:59:00+00:00,44733.4476823
2017-12-10 23:59:00+00:00,40744.9731949
2017-12-11 23:59:00+00:00,42212.6270289
2017-12-12 23:59:00+00:00,46566.2815254
2017-12-13 23:59:00+00:00,50839.0417162
2017-12-14 23:59:00+00:00,53640.2959632
2017-12-15 23:59:00+00:00,51453.8384404
2017-12-16 23:59:00+00:00,57009.3511947
2017-12-17 23:59:00+00:00,63728.2011088
2017-12-18 23:59:00+00:00,75657.4147391
2017-12-19 23:59:00+00:00,80134.3367493
2017-12-20 23:59:00+00:00,84028.8197576
2017-12-21 23:59:00+00:00,84524.9714999
2017-12-22 23:59:00+00:00,73981.7469759
2017-12-23 23:59:00+00:00,77788.4018808
2017-12-24 23:59:00+00:00,81196.7486323
2017-12-25 23:59:00+00:00,86721.4445082
2017-12-26 23:59:00+00:00,75018.7349342
2017-12-27 23:59:00+00:00,74548.7775385
2017-12-28 23:59:00+00:00,81251.4485914
2017-12-29 23:59:00+00:00,85599.7101343
2017-12-30 23:59:00+00:00,102899.535249
2017-12-31 23:59:00+00:00,109206.209414
2018-01-01 23:59:00+00:00,111197.750181
2018-01-02 23:59:00+00:00,105701.559917
2018-01-03 23:59:00+00:00,104826.360571
2018-01-04 23:59:00+00:00,100210.762608
