,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99705.0686918
2017-10-28 23:59:00+00:00,129561.546395
2017-10-29 23:59:00+00:00,96497.017363
2017-10-30 23:59:00+00:00,128191.924482
2017-10-31 23:59:00+00:00,114964.512843
2017-11-01 23:59:00+00:00,84202.4206495
2017-11-02 23:59:00+00:00,63562.0904042
2017-11-03 23:59:00+00:00,68362.1672054
2017-11-04 23:59:00+00:00,72530.2338945
2017-11-05 23:59:00+00:00,65296.518155
2017-11-06 23:59:00+00:00,70282.1979259
2017-11-07 23:59:00+00:00,65642.1236847
2017-11-08 23:59:00+00:00,85181.6363169
2017-11-09 23:59:00+00:00,94655.3878969
2017-11-10 23:59:00+00:00,86872.8633766
2017-11-11 23:59:00+00:00,95200.9966267
2017-11-12 23:59:00+00:00,88698.4925866
2017-11-13 23:59:00+00:00,95591.4028732
2017-11-14 23:59:00+00:00,91772.141765
2017-11-15 23:59:00+00:00,83466.4088733
2017-11-16 23:59:00+00:00,70776.6058364
2017-11-17 23:59:00+00:00,72621.4353537
2017-11-18 23:59:00+00:00,74603.8670726
2017-11-19 23:59:00+00:00,69482.1851257
2017-11-20 23:59:00+00:00,64042.0980843
2017-11-21 23:59:00+00:00,64618.1073005
2017-11-22 23:59:00+00:00,65960.5287792
2017-11-23 23:59:00+00:00,67531.7539188
2017-11-24 23:59:00+00:00,63850.0950123
2017-11-25 23:59:00+00:00,75047.0741639
2017-11-26 23:59:00+00:00,80173.5561876
2017-11-27 23:59:00+00:00,74027.8578565
2017-11-28 23:59:00+00:00,68376.5674358
2017-11-29 23:59:00+00:00,68379.767487
2017-11-30 23:59:00+00:00,72127.0274432
2017-12-01 23:59:00+00:00,82199.1885978
2017-12-02 23:59:00+00:00,100615.483258
2017-12-03 23:59:00+00:00,96293.8141118
2017-12-04 23:59:00+00:00,101962.704814
2017-12-05 23:59:00+00:00,116025.329816
2017-12-06 23:59:00+00:00,82282.389929
2017-12-07 23:59:00+00:00,52457.9127373
2017-12-08 23:59:00+00:00,65450.1206127
2017-12-09 23:59:00+00:00,75883.8875529
2017-12-10 23:59:00+00:00,67115.7472627
2017-12-11 23:59:00+00:00,66848.5429874
2017-12-12 23:59:00+00:00,65981.329112
2017-12-13 23:59:00+00:00,65336.518795
2017-12-14 23:59:00+00:00,64550.9062252
2017-12-15 23:59:00+00:00,56296.3741527
2017-12-16 23:59:00+00:00,52414.7120461
2017-12-17 23:59:00+00:00,56280.3738967
2017-12-18 23:59:00+00:00,65910.9279856
2017-12-19 23:59:00+00:00,68222.9649782
2017-12-20 23:59:00+00:00,70149.3958011
2017-12-21 23:59:00+00:00,80872.767375
2017-12-22 23:59:00+00:00,65464.5208431
2017-12-23 23:59:00+00:00,75080.6747015
2017-12-24 23:59:00+00:00,73514.2496387
2017-12-25 23:59:00+00:00,72514.2336385
2017-12-26 23:59:00+00:00,63395.6877417
2017-12-27 23:59:00+00:00,62830.8787048
2017-12-28 23:59:00+00:00,64302.9022572
2017-12-29 23:59:00+00:00,65288.518027
2017-12-30 23:59:00+00:00,65054.9142894
2017-12-31 23:59:00+00:00,62755.6775016
2018-01-01 23:59:00+00:00,66122.1313648
2018-01-02 23:59:00+00:00,66102.9310576
2018-01-03 23:59:00+00:00,61805.2622949
2018-01-04 23:59:00+00:00,58762.013603
