,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99854.8923635
2017-10-28 23:59:00+00:00,106024.589927
2017-10-29 23:59:00+00:00,97016.6210766
2017-10-30 23:59:00+00:00,104218.491793
2017-10-31 23:59:00+00:00,99035.3837411
2017-11-01 23:59:00+00:00,91871.4876663
2017-11-02 23:59:00+00:00,90114.5639921
2017-11-03 23:59:00+00:00,90378.4911693
2017-11-04 23:59:00+00:00,88300.3896383
2017-11-05 23:59:00+00:00,88309.2203663
2017-11-06 23:59:00+00:00,90477.2368059
2017-11-07 23:59:00+00:00,90510.7229579
2017-11-08 23:59:00+00:00,94973.5000585
2017-11-09 23:59:00+00:00,102717.321858
2017-11-10 23:59:00+00:00,104491.741825
2017-11-11 23:59:00+00:00,113394.18811
2017-11-12 23:59:00+00:00,129202.250039
2017-11-13 23:59:00+00:00,117478.603631
2017-11-14 23:59:00+00:00,115898.509271
2017-11-15 23:59:00+00:00,105931.234303
2017-11-16 23:59:00+00:00,91755.3890241
2017-11-17 23:59:00+00:00,99527.8638554
2017-11-18 23:59:00+00:00,103357.258734
2017-11-19 23:59:00+00:00,98144.5103871
2017-11-20 23:59:00+00:00,96295.0072105
2017-11-21 23:59:00+00:00,95392.6007736
2017-11-22 23:59:00+00:00,104920.317901
2017-11-23 23:59:00+00:00,114334.929746
2017-11-24 23:59:00+00:00,127221.786527
2017-11-25 23:59:00+00:00,118498.839258
2017-11-26 23:59:00+00:00,114302.716432
2017-11-27 23:59:00+00:00,108823.99599
2017-11-28 23:59:00+00:00,103194.081562
2017-11-29 23:59:00+00:00,96284.2003015
2017-11-30 23:59:00+00:00,97299.2908125
2017-12-01 23:59:00+00:00,99185.4572905
2017-12-02 23:59:00+00:00,106349.459491
2017-12-03 23:59:00+00:00,106220.077152
2017-12-04 23:59:00+00:00,108842.677194
2017-12-05 23:59:00+00:00,111542.023203
2017-12-06 23:59:00+00:00,86403.4581745
2017-12-07 23:59:00+00:00,72703.4438875
2017-12-08 23:59:00+00:00,78882.5056248
2017-12-09 23:59:00+00:00,82751.3383889
2017-12-10 23:59:00+00:00,78669.9811072
2017-12-11 23:59:00+00:00,78484.9609368
2017-12-12 23:59:00+00:00,84738.306405
2017-12-13 23:59:00+00:00,89479.7544064
2017-12-14 23:59:00+00:00,87967.5915137
2017-12-15 23:59:00+00:00,80885.1966713
2017-12-16 23:59:00+00:00,74937.2966053
2017-12-17 23:59:00+00:00,80241.0114857
2017-12-18 23:59:00+00:00,90219.404856
2017-12-19 23:59:00+00:00,98468.3358473
2017-12-20 23:59:00+00:00,107571.238663
2017-12-21 23:59:00+00:00,113458.275265
2017-12-22 23:59:00+00:00,107210.904479
2017-12-23 23:59:00+00:00,135187.531277
2017-12-24 23:59:00+00:00,156521.9634
2017-12-25 23:59:00+00:00,137210.254666
2017-12-26 23:59:00+00:00,125796.243872
2017-12-27 23:59:00+00:00,123158.845865
2017-12-28 23:59:00+00:00,126545.238641
2017-12-29 23:59:00+00:00,131162.061837
2017-12-30 23:59:00+00:00,141715.299968
2017-12-31 23:59:00+00:00,140034.25414
2018-01-01 23:59:00+00:00,142809.851797
2018-01-02 23:59:00+00:00,136249.467245
2018-01-03 23:59:00+00:00,139102.12651
2018-01-04 23:59:00+00:00,144165.46611
