,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99716.8501978
2017-10-28 23:59:00+00:00,106300.910689
2017-10-29 23:59:00+00:00,94184.8481453
2017-10-30 23:59:00+00:00,97988.6798301
2017-10-31 23:59:00+00:00,82008.9509623
2017-11-01 23:59:00+00:00,72607.1874972
2017-11-02 23:59:00+00:00,64582.2940195
2017-11-03 23:59:00+00:00,67343.6528558
2017-11-04 23:59:00+00:00,64239.6047244
2017-11-05 23:59:00+00:00,61101.6260828
2017-11-06 23:59:00+00:00,68320.8338346
2017-11-07 23:59:00+00:00,67207.9662511
2017-11-08 23:59:00+00:00,69625.041147
2017-11-09 23:59:00+00:00,78056.6223548
2017-11-10 23:59:00+00:00,80013.5534633
2017-11-11 23:59:00+00:00,80801.0070768
2017-11-12 23:59:00+00:00,77895.6517615
2017-11-13 23:59:00+00:00,79064.5091166
2017-11-14 23:59:00+00:00,78040.6050278
2017-11-15 23:59:00+00:00,73259.2734351
2017-11-16 23:59:00+00:00,72870.4988882
2017-11-17 23:59:00+00:00,70299.8419226
2017-11-18 23:59:00+00:00,69908.197014
2017-11-19 23:59:00+00:00,68395.3746476
2017-11-20 23:59:00+00:00,70094.1149486
2017-11-21 23:59:00+00:00,73509.5087339
2017-11-22 23:59:00+00:00,83485.929244
2017-11-23 23:59:00+00:00,82240.6175014
2017-11-24 23:59:00+00:00,81436.526421
2017-11-25 23:59:00+00:00,78181.4299343
2017-11-26 23:59:00+00:00,82046.354256
2017-11-27 23:59:00+00:00,79917.892458
2017-11-28 23:59:00+00:00,81337.6406883
2017-11-29 23:59:00+00:00,67745.8755788
2017-11-30 23:59:00+00:00,72448.5025622
2017-12-01 23:59:00+00:00,75214.9642638
2017-12-02 23:59:00+00:00,71536.8792274
2017-12-03 23:59:00+00:00,79676.6403283
2017-12-04 23:59:00+00:00,102190.818498
2017-12-05 23:59:00+00:00,92962.1803673
2017-12-06 23:59:00+00:00,76996.9096178
2017-12-07 23:59:00+00:00,52703.6210196
2017-12-08 23:59:00+00:00,62018.9724227
2017-12-09 23:59:00+00:00,66802.2353082
2017-12-10 23:59:00+00:00,59394.8771182
2017-12-11 23:59:00+00:00,60227.122549
2017-12-12 23:59:00+00:00,72464.7679452
2017-12-13 23:59:00+00:00,80873.6697519
2017-12-14 23:59:00+00:00,79106.1293613
2017-12-15 23:59:00+00:00,72364.9608619
2017-12-16 23:59:00+00:00,73419.8896628
2017-12-17 23:59:00+00:00,77867.1962004
2017-12-18 23:59:00+00:00,96185.9509312
2017-12-19 23:59:00+00:00,95254.1996278
2017-12-20 23:59:00+00:00,95218.3732613
2017-12-21 23:59:00+00:00,118822.084037
2017-12-22 23:59:00+00:00,150200.027752
2017-12-23 23:59:00+00:00,147236.538753
2017-12-24 23:59:00+00:00,145174.307894
2017-12-25 23:59:00+00:00,146673.699802
2017-12-26 23:59:00+00:00,123756.324404
2017-12-27 23:59:00+00:00,129573.413616
2017-12-28 23:59:00+00:00,142889.358228
2017-12-29 23:59:00+00:00,151988.74149
2017-12-30 23:59:00+00:00,194006.070678
2017-12-31 23:59:00+00:00,176602.730995
2018-01-01 23:59:00+00:00,187603.693452
2018-01-02 23:59:00+00:00,195809.331126
2018-01-03 23:59:00+00:00,210015.211895
2018-01-04 23:59:00+00:00,253320.801942
