,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99708.9711551
2017-10-28 23:59:00+00:00,109619.763148
2017-10-29 23:59:00+00:00,94182.4263335
2017-10-30 23:59:00+00:00,97881.2949149
2017-10-31 23:59:00+00:00,78625.4202412
2017-11-01 23:59:00+00:00,74154.1408679
2017-11-02 23:59:00+00:00,62013.1487008
2017-11-03 23:59:00+00:00,65581.4689793
2017-11-04 23:59:00+00:00,61327.7701107
2017-11-05 23:59:00+00:00,61240.7379088
2017-11-06 23:59:00+00:00,71118.8928261
2017-11-07 23:59:00+00:00,71173.2879523
2017-11-08 23:59:00+00:00,72424.3758548
2017-11-09 23:59:00+00:00,84075.8118862
2017-11-10 23:59:00+00:00,92224.2017904
2017-11-11 23:59:00+00:00,92496.1774214
2017-11-12 23:59:00+00:00,91571.4602761
2017-11-13 23:59:00+00:00,93257.7091882
2017-11-14 23:59:00+00:00,89906.9694144
2017-11-15 23:59:00+00:00,80344.3062291
2017-11-16 23:59:00+00:00,82498.3532264
2017-11-17 23:59:00+00:00,79637.1695885
2017-11-18 23:59:00+00:00,78853.8797713
2017-11-19 23:59:00+00:00,75176.7692404
2017-11-20 23:59:00+00:00,74665.4550541
2017-11-21 23:59:00+00:00,75307.3175432
2017-11-22 23:59:00+00:00,84510.9728957
2017-11-23 23:59:00+00:00,76808.6230263
2017-11-24 23:59:00+00:00,76177.6395624
2017-11-25 23:59:00+00:00,78462.2348627
2017-11-26 23:59:00+00:00,89123.6795972
2017-11-27 23:59:00+00:00,88775.5507895
2017-11-28 23:59:00+00:00,80540.1286834
2017-11-29 23:59:00+00:00,60522.722243
2017-11-30 23:59:00+00:00,67322.1130176
2017-12-01 23:59:00+00:00,76112.365411
2017-12-02 23:59:00+00:00,73316.4559244
2017-12-03 23:59:00+00:00,86338.6491359
2017-12-04 23:59:00+00:00,120292.086908
2017-12-05 23:59:00+00:00,109652.400224
2017-12-06 23:59:00+00:00,71858.6665424
2017-12-07 23:59:00+00:00,56171.1121472
2017-12-08 23:59:00+00:00,66658.492478
2017-12-09 23:59:00+00:00,72641.9563596
2017-12-10 23:59:00+00:00,64667.6308592
2017-12-11 23:59:00+00:00,66332.1217208
2017-12-12 23:59:00+00:00,83967.0216338
2017-12-13 23:59:00+00:00,83520.9815989
2017-12-14 23:59:00+00:00,85849.0930002
2017-12-15 23:59:00+00:00,76275.5507895
2017-12-16 23:59:00+00:00,83597.1347756
2017-12-17 23:59:00+00:00,84674.1582743
2017-12-18 23:59:00+00:00,97533.1661072
2017-12-19 23:59:00+00:00,94040.9990054
2017-12-20 23:59:00+00:00,90712.0172821
2017-12-21 23:59:00+00:00,117398.266194
2017-12-22 23:59:00+00:00,194160.668283
2017-12-23 23:59:00+00:00,161523.592565
2017-12-24 23:59:00+00:00,162285.124332
2017-12-25 23:59:00+00:00,163329.510755
2017-12-26 23:59:00+00:00,138993.131294
2017-12-27 23:59:00+00:00,147369.980729
2017-12-28 23:59:00+00:00,168464.410668
2017-12-29 23:59:00+00:00,174611.059928
2017-12-30 23:59:00+00:00,166789.040781
2017-12-31 23:59:00+00:00,162926.986821
2018-01-01 23:59:00+00:00,176134.123461
2018-01-02 23:59:00+00:00,201014.454184
2018-01-03 23:59:00+00:00,193921.329728
2018-01-04 23:59:00+00:00,171086.25575
