,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99724.7292404
2017-10-28 23:59:00+00:00,102982.058231
2017-10-29 23:59:00+00:00,94187.2699571
2017-10-30 23:59:00+00:00,98096.0647453
2017-10-31 23:59:00+00:00,85392.4816834
2017-11-01 23:59:00+00:00,71060.2341264
2017-11-02 23:59:00+00:00,67151.4393382
2017-11-03 23:59:00+00:00,69105.8367323
2017-11-04 23:59:00+00:00,67151.4393382
2017-11-05 23:59:00+00:00,60962.5142567
2017-11-06 23:59:00+00:00,65522.774843
2017-11-07 23:59:00+00:00,63242.6445499
2017-11-08 23:59:00+00:00,66825.7064391
2017-11-09 23:59:00+00:00,72037.4328235
2017-11-10 23:59:00+00:00,67802.9051362
2017-11-11 23:59:00+00:00,69105.8367323
2017-11-12 23:59:00+00:00,64219.843247
2017-11-13 23:59:00+00:00,64871.309045
2017-11-14 23:59:00+00:00,66174.2406411
2017-11-15 23:59:00+00:00,66174.2406411
2017-11-16 23:59:00+00:00,63242.6445499
2017-11-17 23:59:00+00:00,60962.5142567
2017-11-18 23:59:00+00:00,60962.5142567
2017-11-19 23:59:00+00:00,61613.9800548
2017-11-20 23:59:00+00:00,65522.774843
2017-11-21 23:59:00+00:00,71711.6999245
2017-11-22 23:59:00+00:00,82460.8855922
2017-11-23 23:59:00+00:00,87672.6119766
2017-11-24 23:59:00+00:00,86695.4132795
2017-11-25 23:59:00+00:00,77900.6250059
2017-11-26 23:59:00+00:00,74969.0289147
2017-11-27 23:59:00+00:00,71060.2341264
2017-11-28 23:59:00+00:00,82135.1526932
2017-11-29 23:59:00+00:00,74969.0289147
2017-11-30 23:59:00+00:00,77574.8921069
2017-12-01 23:59:00+00:00,74317.5631167
2017-12-02 23:59:00+00:00,69757.3025303
2017-12-03 23:59:00+00:00,73014.6315206
2017-12-04 23:59:00+00:00,84089.5500873
2017-12-05 23:59:00+00:00,76271.9605108
2017-12-06 23:59:00+00:00,82135.1526932
2017-12-07 23:59:00+00:00,49236.1298919
2017-12-08 23:59:00+00:00,57379.4523675
2017-12-09 23:59:00+00:00,60962.5142567
2017-12-10 23:59:00+00:00,54122.1233773
2017-12-11 23:59:00+00:00,54122.1233773
2017-12-12 23:59:00+00:00,60962.5142567
2017-12-13 23:59:00+00:00,78226.3579049
2017-12-14 23:59:00+00:00,72363.1657225
2017-12-15 23:59:00+00:00,68454.3709343
2017-12-16 23:59:00+00:00,63242.6445499
2017-12-17 23:59:00+00:00,71060.2341264
2017-12-18 23:59:00+00:00,94838.7357551
2017-12-19 23:59:00+00:00,96467.4002502
2017-12-20 23:59:00+00:00,99724.7292404
2017-12-21 23:59:00+00:00,120245.901879
2017-12-22 23:59:00+00:00,106239.387221
2017-12-23 23:59:00+00:00,132949.484941
2017-12-24 23:59:00+00:00,128063.491455
2017-12-25 23:59:00+00:00,130017.88885
2017-12-26 23:59:00+00:00,108519.517514
2017-12-27 23:59:00+00:00,111776.846504
2017-12-28 23:59:00+00:00,117314.305788
2017-12-29 23:59:00+00:00,129366.423052
2017-12-30 23:59:00+00:00,221223.100576
2017-12-31 23:59:00+00:00,190278.475169
2018-01-01 23:59:00+00:00,199073.263442
2018-01-02 23:59:00+00:00,190604.208068
2018-01-03 23:59:00+00:00,226109.094061
2018-01-04 23:59:00+00:00,335555.348133
