,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99724.7278301
2017-10-28 23:59:00+00:00,102982.652321
2017-10-29 23:59:00+00:00,94187.2695235
2017-10-30 23:59:00+00:00,98096.0455229
2017-10-31 23:59:00+00:00,85391.8760152
2017-11-01 23:59:00+00:00,71047.0481367
2017-11-02 23:59:00+00:00,67400.3568774
2017-11-03 23:59:00+00:00,69223.6833957
2017-11-04 23:59:00+00:00,67400.3516425
2017-11-05 23:59:00+00:00,61626.5699757
2017-11-06 23:59:00+00:00,65878.2933097
2017-11-07 23:59:00+00:00,63784.2849037
2017-11-08 23:59:00+00:00,67074.9210773
2017-11-09 23:59:00+00:00,71861.6800586
2017-11-10 23:59:00+00:00,67973.1175975
2017-11-11 23:59:00+00:00,69169.519793
2017-11-12 23:59:00+00:00,64677.9365923
2017-11-13 23:59:00+00:00,65276.8228515
2017-11-14 23:59:00+00:00,66474.5588098
2017-11-15 23:59:00+00:00,66474.5068092
2017-11-16 23:59:00+00:00,63779.5587694
2017-11-17 23:59:00+00:00,61683.5172121
2017-11-18 23:59:00+00:00,61683.4974002
2017-11-19 23:59:00+00:00,62282.2527341
2017-11-20 23:59:00+00:00,65875.3298395
2017-11-21 23:59:00+00:00,71460.1722257
2017-11-22 23:59:00+00:00,80497.6586009
2017-11-23 23:59:00+00:00,82198.2071268
2017-11-24 23:59:00+00:00,81421.9591404
2017-11-25 23:59:00+00:00,76190.9736109
2017-11-26 23:59:00+00:00,76328.5980457
2017-11-27 23:59:00+00:00,76035.8030078
2017-11-28 23:59:00+00:00,69117.4606287
2017-11-29 23:59:00+00:00,52298.7472162
2017-11-30 23:59:00+00:00,58011.6388305
2017-12-01 23:59:00+00:00,65371.2847358
2017-12-02 23:59:00+00:00,63331.9177635
2017-12-03 23:59:00+00:00,72829.1999217
2017-12-04 23:59:00+00:00,97592.1340177
2017-12-05 23:59:00+00:00,89832.0919858
2017-12-06 23:59:00+00:00,61988.9842171
2017-12-07 23:59:00+00:00,33745.292809
2017-12-08 23:59:00+00:00,42262.6482727
2017-12-09 23:59:00+00:00,46326.6817801
2017-12-10 23:59:00+00:00,39365.0993894
2017-12-11 23:59:00+00:00,39687.700874
2017-12-12 23:59:00+00:00,44156.1928372
2017-12-13 23:59:00+00:00,55433.708315
2017-12-14 23:59:00+00:00,51603.6139044
2017-12-15 23:59:00+00:00,49050.191125
2017-12-16 23:59:00+00:00,45644.8931933
2017-12-17 23:59:00+00:00,50785.0723383
2017-12-18 23:59:00+00:00,66420.3126121
2017-12-19 23:59:00+00:00,67490.9782214
2017-12-20 23:59:00+00:00,69632.5111098
2017-12-21 23:59:00+00:00,82682.7848394
2017-12-22 23:59:00+00:00,134613.11114
2017-12-23 23:59:00+00:00,112534.225437
2017-12-24 23:59:00+00:00,113049.330702
2017-12-25 23:59:00+00:00,113755.90034
2017-12-26 23:59:00+00:00,97086.4477322
2017-12-27 23:59:00+00:00,101471.958034
2017-12-28 23:59:00+00:00,111657.656456
2017-12-29 23:59:00+00:00,117985.511566
2017-12-30 23:59:00+00:00,144435.45245
2017-12-31 23:59:00+00:00,132918.977522
2018-01-01 23:59:00+00:00,141138.344519
2018-01-02 23:59:00+00:00,148975.735296
2018-01-03 23:59:00+00:00,156847.669053
2018-01-04 23:59:00+00:00,180707.039032
