,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99737.6376606
2017-10-28 23:59:00+00:00,97989.9085604
2017-10-29 23:59:00+00:00,95404.4962708
2017-10-30 23:59:00+00:00,123906.830719
2017-10-31 23:59:00+00:00,100115.603059
2017-11-01 23:59:00+00:00,84848.1011783
2017-11-02 23:59:00+00:00,77249.309904
2017-11-03 23:59:00+00:00,75995.3867333
2017-11-04 23:59:00+00:00,75872.0318712
2017-11-05 23:59:00+00:00,77729.8068822
2017-11-06 23:59:00+00:00,86599.4512678
2017-11-07 23:59:00+00:00,83631.1997699
2017-11-08 23:59:00+00:00,84445.5721923
2017-11-09 23:59:00+00:00,92393.3142616
2017-11-10 23:59:00+00:00,94408.0446328
2017-11-11 23:59:00+00:00,93585.1073776
2017-11-12 23:59:00+00:00,94251.5198487
2017-11-13 23:59:00+00:00,92256.5648517
2017-11-14 23:59:00+00:00,94433.8999489
2017-11-15 23:59:00+00:00,92246.1454291
2017-11-16 23:59:00+00:00,79502.7013392
2017-11-17 23:59:00+00:00,80079.1597211
2017-11-18 23:59:00+00:00,82771.139593
2017-11-19 23:59:00+00:00,80310.1171045
2017-11-20 23:59:00+00:00,78455.1589949
2017-11-21 23:59:00+00:00,76755.5766018
2017-11-22 23:59:00+00:00,79148.8352328
2017-11-23 23:59:00+00:00,79602.3563595
2017-11-24 23:59:00+00:00,86395.7291191
2017-11-25 23:59:00+00:00,82709.2974536
2017-11-26 23:59:00+00:00,115327.223426
2017-11-27 23:59:00+00:00,128200.659993
2017-11-28 23:59:00+00:00,100812.308892
2017-11-29 23:59:00+00:00,88361.9807727
2017-11-30 23:59:00+00:00,90891.9602814
2017-12-01 23:59:00+00:00,91845.7252284
2017-12-02 23:59:00+00:00,132530.953356
2017-12-03 23:59:00+00:00,132310.329799
2017-12-04 23:59:00+00:00,184398.055786
2017-12-05 23:59:00+00:00,176369.788207
2017-12-06 23:59:00+00:00,184388.985156
2017-12-07 23:59:00+00:00,138619.65203
2017-12-08 23:59:00+00:00,136359.635949
2017-12-09 23:59:00+00:00,148521.519589
2017-12-10 23:59:00+00:00,128219.799879
2017-12-11 23:59:00+00:00,138657.724295
2017-12-12 23:59:00+00:00,139873.647828
2017-12-13 23:59:00+00:00,150389.369043
2017-12-14 23:59:00+00:00,200712.967726
2017-12-15 23:59:00+00:00,193262.408755
2017-12-16 23:59:00+00:00,176568.851833
2017-12-17 23:59:00+00:00,185470.01387
2017-12-18 23:59:00+00:00,211386.67924
2017-12-19 23:59:00+00:00,211216.041416
2017-12-20 23:59:00+00:00,218669.360224
2017-12-21 23:59:00+00:00,259819.50937
2017-12-22 23:59:00+00:00,217304.501458
2017-12-23 23:59:00+00:00,244452.539225
2017-12-24 23:59:00+00:00,282069.904929
2017-12-25 23:59:00+00:00,349016.007697
2017-12-26 23:59:00+00:00,432266.556292
2017-12-27 23:59:00+00:00,501363.389223
2017-12-28 23:59:00+00:00,525050.534193
2017-12-29 23:59:00+00:00,464939.974703
2017-12-30 23:59:00+00:00,460072.542856
2017-12-31 23:59:00+00:00,432091.262541
2018-01-01 23:59:00+00:00,449357.527163
2018-01-02 23:59:00+00:00,426557.433785
2018-01-03 23:59:00+00:00,407986.972343
2018-01-04 23:59:00+00:00,383207.315766
