,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99752.0606743
2017-10-28 23:59:00+00:00,97177.412787
2017-10-29 23:59:00+00:00,93295.7226462
2017-10-30 23:59:00+00:00,93394.3141955
2017-10-31 23:59:00+00:00,83749.2437729
2017-11-01 23:59:00+00:00,75129.5254631
2017-11-02 23:59:00+00:00,70245.0184208
2017-11-03 23:59:00+00:00,70315.440956
2017-11-04 23:59:00+00:00,66937.9761673
2017-11-05 23:59:00+00:00,69180.2296884
2017-11-06 23:59:00+00:00,72554.8775758
2017-11-07 23:59:00+00:00,72695.7226462
2017-11-08 23:59:00+00:00,77639.384618
2017-11-09 23:59:00+00:00,82853.469125
2017-11-10 23:59:00+00:00,80805.5818011
2017-11-11 23:59:00+00:00,81737.9761673
2017-11-12 23:59:00+00:00,81045.0184208
2017-11-13 23:59:00+00:00,80185.8634912
2017-11-14 23:59:00+00:00,82146.4268715
2017-11-15 23:59:00+00:00,81822.4832096
2017-11-16 23:59:00+00:00,72357.6944772
2017-11-17 23:59:00+00:00,70932.3423645
2017-11-18 23:59:00+00:00,72264.7367307
2017-11-19 23:59:00+00:00,72867.5536321
2017-11-20 23:59:00+00:00,70630.9339138
2017-11-21 23:59:00+00:00,72940.7930687
2017-11-22 23:59:00+00:00,71281.6381391
2017-11-23 23:59:00+00:00,72188.6803927
2017-11-24 23:59:00+00:00,73436.5677166
2017-11-25 23:59:00+00:00,74535.1592659
2017-11-26 23:59:00+00:00,68684.4550405
2017-11-27 23:59:00+00:00,66070.3705335
2017-11-28 23:59:00+00:00,64332.3423645
2017-11-29 23:59:00+00:00,56374.5958856
2017-11-30 23:59:00+00:00,58856.2860265
2017-12-01 23:59:00+00:00,57264.7367307
2017-12-02 23:59:00+00:00,55946.4268715
2017-12-03 23:59:00+00:00,56794.3141955
2017-12-04 23:59:00+00:00,58391.4972941
2017-12-05 23:59:00+00:00,56515.440956
2017-12-06 23:59:00+00:00,44929.5254631
2017-12-07 23:59:00+00:00,33501.356449
2017-12-08 23:59:00+00:00,37084.4550405
2017-12-09 23:59:00+00:00,47780.2296884
2017-12-10 23:59:00+00:00,41430.9339138
2017-12-11 23:59:00+00:00,40391.4972941
2017-12-12 23:59:00+00:00,38771.7789842
2017-12-13 23:59:00+00:00,48016.8494067
2017-12-14 23:59:00+00:00,48295.7226462
2017-12-15 23:59:00+00:00,44076.0043363
2017-12-16 23:59:00+00:00,41628.1170124
2017-12-17 23:59:00+00:00,44881.6381391
2017-12-18 23:59:00+00:00,54357.6944772
2017-12-19 23:59:00+00:00,56042.2015194
2017-12-20 23:59:00+00:00,63214.0325053
2017-12-21 23:59:00+00:00,83267.5536321
2017-12-22 23:59:00+00:00,73191.4972941
2017-12-23 23:59:00+00:00,74264.7367307
2017-12-24 23:59:00+00:00,80070.3705335
2017-12-25 23:59:00+00:00,97019.6663081
2017-12-26 23:59:00+00:00,80647.8353222
2017-12-27 23:59:00+00:00,82377.412787
2017-12-28 23:59:00+00:00,84447.8353222
2017-12-29 23:59:00+00:00,91298.5395476
2017-12-30 23:59:00+00:00,90771.7789842
2017-12-31 23:59:00+00:00,86374.5958856
2018-01-01 23:59:00+00:00,90152.0606743
2018-01-02 23:59:00+00:00,94828.1170124
2018-01-03 23:59:00+00:00,86968.9620828
2018-01-04 23:59:00+00:00,86949.2437729
