,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99723.2146468
2017-10-28 23:59:00+00:00,98802.4043338
2017-10-29 23:59:00+00:00,97513.2698955
2017-10-30 23:59:00+00:00,154419.347244
2017-10-31 23:59:00+00:00,116481.962345
2017-11-01 23:59:00+00:00,94566.6768936
2017-11-02 23:59:00+00:00,84253.6013872
2017-11-03 23:59:00+00:00,81675.3325106
2017-11-04 23:59:00+00:00,84806.087575
2017-11-05 23:59:00+00:00,86279.3840759
2017-11-06 23:59:00+00:00,100644.02496
2017-11-07 23:59:00+00:00,94566.6768936
2017-11-08 23:59:00+00:00,91251.7597665
2017-11-09 23:59:00+00:00,101933.159398
2017-11-10 23:59:00+00:00,108010.507465
2017-11-11 23:59:00+00:00,105432.238588
2017-11-12 23:59:00+00:00,107458.021277
2017-11-13 23:59:00+00:00,104327.266212
2017-11-14 23:59:00+00:00,106721.373026
2017-11-15 23:59:00+00:00,102669.807649
2017-11-16 23:59:00+00:00,86647.7082012
2017-11-17 23:59:00+00:00,89225.9770778
2017-11-18 23:59:00+00:00,93277.5424553
2017-11-19 23:59:00+00:00,87752.6805769
2017-11-20 23:59:00+00:00,86279.3840759
2017-11-21 23:59:00+00:00,80570.3601349
2017-11-22 23:59:00+00:00,87016.0323264
2017-11-23 23:59:00+00:00,87016.0323264
2017-11-24 23:59:00+00:00,99354.8905216
2017-11-25 23:59:00+00:00,90883.4356413
2017-11-26 23:59:00+00:00,161969.991811
2017-11-27 23:59:00+00:00,190330.949453
2017-11-28 23:59:00+00:00,137292.27542
2017-11-29 23:59:00+00:00,120349.36566
2017-11-30 23:59:00+00:00,122927.634536
2017-12-01 23:59:00+00:00,126426.713726
2017-12-02 23:59:00+00:00,209115.47984
2017-12-03 23:59:00+00:00,207826.345402
2017-12-04 23:59:00+00:00,310404.614279
2017-12-05 23:59:00+00:00,296224.135457
2017-12-06 23:59:00+00:00,323848.444849
2017-12-07 23:59:00+00:00,243737.947612
2017-12-08 23:59:00+00:00,235634.816857
2017-12-09 23:59:00+00:00,249262.80949
2017-12-10 23:59:00+00:00,215008.665844
2017-12-11 23:59:00+00:00,236923.951295
2017-12-12 23:59:00+00:00,240975.516673
2017-12-13 23:59:00+00:00,252761.88868
2017-12-14 23:59:00+00:00,353130.212805
2017-12-15 23:59:00+00:00,342448.813174
2017-12-16 23:59:00+00:00,311509.586654
2017-12-17 23:59:00+00:00,326058.389601
2017-12-18 23:59:00+00:00,368415.664002
2017-12-19 23:59:00+00:00,366389.881313
2017-12-20 23:59:00+00:00,374124.687943
2017-12-21 23:59:00+00:00,436371.465107
2017-12-22 23:59:00+00:00,361417.505623
2017-12-23 23:59:00+00:00,414640.341719
2017-12-24 23:59:00+00:00,484069.439325
2017-12-25 23:59:00+00:00,601012.349085
2017-12-26 23:59:00+00:00,783885.277262
2017-12-27 23:59:00+00:00,920349.36566
2017-12-28 23:59:00+00:00,965653.233063
2017-12-29 23:59:00+00:00,838581.409859
2017-12-30 23:59:00+00:00,829373.306728
2017-12-31 23:59:00+00:00,777807.929196
2018-01-01 23:59:00+00:00,808562.993652
2018-01-02 23:59:00+00:00,758286.750558
2018-01-03 23:59:00+00:00,729004.982603
2018-01-04 23:59:00+00:00,679465.387759
