,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99723.2173048
2017-10-28 23:59:00+00:00,98802.2546035
2017-10-29 23:59:00+00:00,97512.8812814
2017-10-30 23:59:00+00:00,154413.724263
2017-10-31 23:59:00+00:00,116478.94628
2017-11-01 23:59:00+00:00,94031.6405453
2017-11-02 23:59:00+00:00,86861.4780324
2017-11-03 23:59:00+00:00,86964.7896938
2017-11-04 23:59:00+00:00,82007.1168389
2017-11-05 23:59:00+00:00,85298.5331342
2017-11-06 23:59:00+00:00,90225.6680436
2017-11-07 23:59:00+00:00,90410.6485948
2017-11-08 23:59:00+00:00,96919.3586058
2017-11-09 23:59:00+00:00,103785.173573
2017-11-10 23:59:00+00:00,101089.328909
2017-11-11 23:59:00+00:00,102315.435567
2017-11-12 23:59:00+00:00,101398.618761
2017-11-13 23:59:00+00:00,100261.898997
2017-11-14 23:59:00+00:00,102855.842759
2017-11-15 23:59:00+00:00,102427.235362
2017-11-16 23:59:00+00:00,89443.6698455
2017-11-17 23:59:00+00:00,91857.6887215
2017-11-18 23:59:00+00:00,95651.2470271
2017-11-19 23:59:00+00:00,90478.2807595
2017-11-20 23:59:00+00:00,89098.7559287
2017-11-21 23:59:00+00:00,83748.4784851
2017-11-22 23:59:00+00:00,89923.3983054
2017-11-23 23:59:00+00:00,89923.4333541
2017-11-24 23:59:00+00:00,101744.165098
2017-11-25 23:59:00+00:00,93628.5143822
2017-11-26 23:59:00+00:00,161086.283346
2017-11-27 23:59:00+00:00,157597.805417
2017-11-28 23:59:00+00:00,155275.60881
2017-11-29 23:59:00+00:00,144652.014004
2017-11-30 23:59:00+00:00,147964.965617
2017-12-01 23:59:00+00:00,145650.526862
2017-12-02 23:59:00+00:00,142073.96496
2017-12-03 23:59:00+00:00,144377.574949
2017-12-04 23:59:00+00:00,148723.610656
2017-12-05 23:59:00+00:00,143625.503443
2017-12-06 23:59:00+00:00,112144.414996
2017-12-07 23:59:00+00:00,80649.4318883
2017-12-08 23:59:00+00:00,90524.1202091
2017-12-09 23:59:00+00:00,120000.68814
2017-12-10 23:59:00+00:00,102502.613341
2017-12-11 23:59:00+00:00,99636.8891902
2017-12-12 23:59:00+00:00,95153.5360037
2017-12-13 23:59:00+00:00,120743.898844
2017-12-14 23:59:00+00:00,121516.28591
2017-12-15 23:59:00+00:00,109836.077331
2017-12-16 23:59:00+00:00,103060.166264
2017-12-17 23:59:00+00:00,112066.711134
2017-12-18 23:59:00+00:00,138298.76014
2017-12-19 23:59:00+00:00,142961.721087
2017-12-20 23:59:00+00:00,162814.681672
2017-12-21 23:59:00+00:00,218026.503181
2017-12-22 23:59:00+00:00,188955.534548
2017-12-23 23:59:00+00:00,197539.587133
2017-12-24 23:59:00+00:00,217472.935366
2017-12-25 23:59:00+00:00,265265.577028
2017-12-26 23:59:00+00:00,254810.102082
2017-12-27 23:59:00+00:00,282131.395939
2017-12-28 23:59:00+00:00,293731.694823
2017-12-29 23:59:00+00:00,282598.465525
2017-12-30 23:59:00+00:00,280061.535491
2017-12-31 23:59:00+00:00,263332.59855
2018-01-01 23:59:00+00:00,274702.046018
2018-01-02 23:59:00+00:00,275413.100999
2018-01-03 23:59:00+00:00,257007.891663
2018-01-04 23:59:00+00:00,249479.716176
