,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99737.1337092
2017-10-28 23:59:00+00:00,98571.8132709
2017-10-29 23:59:00+00:00,93922.3342246
2017-10-30 23:59:00+00:00,100168.785422
2017-10-31 23:59:00+00:00,92945.201984
2017-11-01 23:59:00+00:00,76307.7907293
2017-11-02 23:59:00+00:00,68268.6727036
2017-11-03 23:59:00+00:00,76226.2179154
2017-11-04 23:59:00+00:00,73255.8884371
2017-11-05 23:59:00+00:00,73301.8247441
2017-11-06 23:59:00+00:00,82133.2098415
2017-11-07 23:59:00+00:00,81346.3926851
2017-11-08 23:59:00+00:00,81050.5144479
2017-11-09 23:59:00+00:00,98481.1818669
2017-11-10 23:59:00+00:00,90201.9978142
2017-11-11 23:59:00+00:00,100384.031605
2017-11-12 23:59:00+00:00,94995.201613
2017-11-13 23:59:00+00:00,89205.2245855
2017-11-14 23:59:00+00:00,91445.7842314
2017-11-15 23:59:00+00:00,87206.8628607
2017-11-16 23:59:00+00:00,79026.0034929
2017-11-17 23:59:00+00:00,77605.2877255
2017-11-18 23:59:00+00:00,78652.30198
2017-11-19 23:59:00+00:00,78870.7039841
2017-11-20 23:59:00+00:00,79843.0272709
2017-11-21 23:59:00+00:00,81350.2208195
2017-11-22 23:59:00+00:00,87055.7920874
2017-11-23 23:59:00+00:00,88303.9657387
2017-11-24 23:59:00+00:00,87701.9588862
2017-11-25 23:59:00+00:00,86891.8176075
2017-11-26 23:59:00+00:00,80804.6934827
2017-11-27 23:59:00+00:00,78112.1170058
2017-11-28 23:59:00+00:00,76841.5819809
2017-11-29 23:59:00+00:00,63611.3094378
2017-11-30 23:59:00+00:00,71026.1448005
2017-12-01 23:59:00+00:00,66141.0969088
2017-12-02 23:59:00+00:00,64377.7360034
2017-12-03 23:59:00+00:00,65694.6660669
2017-12-04 23:59:00+00:00,71083.1046019
2017-12-05 23:59:00+00:00,72536.3731194
2017-12-06 23:59:00+00:00,54247.4134879
2017-12-07 23:59:00+00:00,36119.2568391
2017-12-08 23:59:00+00:00,39741.8189556
2017-12-09 23:59:00+00:00,45889.7220898
2017-12-10 23:59:00+00:00,40408.8061204
2017-12-11 23:59:00+00:00,44632.4452161
2017-12-12 23:59:00+00:00,48373.6104836
2017-12-13 23:59:00+00:00,49759.8867573
2017-12-14 23:59:00+00:00,62701.6714985
2017-12-15 23:59:00+00:00,55597.9568056
2017-12-16 23:59:00+00:00,49460.8929765
2017-12-17 23:59:00+00:00,60305.2499784
2017-12-18 23:59:00+00:00,70319.0833841
2017-12-19 23:59:00+00:00,75812.8159727
2017-12-20 23:59:00+00:00,86869.0099121
2017-12-21 23:59:00+00:00,92899.3982672
2017-12-22 23:59:00+00:00,81499.7066064
2017-12-23 23:59:00+00:00,90167.8829379
2017-12-24 23:59:00+00:00,101907.425109
2017-12-25 23:59:00+00:00,127904.191589
2017-12-26 23:59:00+00:00,117702.510714
2017-12-27 23:59:00+00:00,112631.055557
2017-12-28 23:59:00+00:00,113318.974124
2017-12-29 23:59:00+00:00,122369.762075
2017-12-30 23:59:00+00:00,119582.629611
2017-12-31 23:59:00+00:00,137577.121382
2018-01-01 23:59:00+00:00,154653.457
2018-01-02 23:59:00+00:00,146742.406106
2018-01-03 23:59:00+00:00,167888.942799
2018-01-04 23:59:00+00:00,157384.102981
