,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99745.4471588
2017-10-28 23:59:00+00:00,101530.490376
2017-10-29 23:59:00+00:00,100572.204017
2017-10-30 23:59:00+00:00,108952.512172
2017-10-31 23:59:00+00:00,104367.769594
2017-11-01 23:59:00+00:00,86442.1777112
2017-11-02 23:59:00+00:00,76821.7342689
2017-11-03 23:59:00+00:00,77460.5918412
2017-11-04 23:59:00+00:00,76821.7342689
2017-11-05 23:59:00+00:00,76239.2464824
2017-11-06 23:59:00+00:00,79828.1228446
2017-11-07 23:59:00+00:00,77648.4911272
2017-11-08 23:59:00+00:00,78512.8278428
2017-11-09 23:59:00+00:00,85202.0424237
2017-11-10 23:59:00+00:00,82233.2337052
2017-11-11 23:59:00+00:00,83304.2596353
2017-11-12 23:59:00+00:00,88001.7417849
2017-11-13 23:59:00+00:00,83172.7301351
2017-11-14 23:59:00+00:00,83003.6207777
2017-11-15 23:59:00+00:00,77009.6335549
2017-11-16 23:59:00+00:00,69531.2419728
2017-11-17 23:59:00+00:00,68234.7368995
2017-11-18 23:59:00+00:00,70019.7801163
2017-11-19 23:59:00+00:00,71898.7729762
2017-11-20 23:59:00+00:00,72706.7399059
2017-11-21 23:59:00+00:00,72406.1010483
2017-11-22 23:59:00+00:00,71879.9830476
2017-11-23 23:59:00+00:00,75130.6406951
2017-11-24 23:59:00+00:00,76220.4565538
2017-11-25 23:59:00+00:00,74886.3716233
2017-11-26 23:59:00+00:00,71541.7643328
2017-11-27 23:59:00+00:00,70245.2592595
2017-11-28 23:59:00+00:00,66769.1224688
2017-11-29 23:59:00+00:00,53935.6012362
2017-11-30 23:59:00+00:00,57054.7293835
2017-12-01 23:59:00+00:00,55551.5350957
2017-12-02 23:59:00+00:00,54217.4501652
2017-12-03 23:59:00+00:00,56340.7120968
2017-12-04 23:59:00+00:00,67614.6692558
2017-12-05 23:59:00+00:00,65397.4576812
2017-12-06 23:59:00+00:00,49407.228444
2017-12-07 23:59:00+00:00,34131.0164936
2017-12-08 23:59:00+00:00,35765.7402817
2017-12-09 23:59:00+00:00,39767.9950731
2017-12-10 23:59:00+00:00,36686.446783
2017-12-11 23:59:00+00:00,39204.2972152
2017-12-12 23:59:00+00:00,40669.9116458
2017-12-13 23:59:00+00:00,43056.2325778
2017-12-14 23:59:00+00:00,54649.6185229
2017-12-15 23:59:00+00:00,46757.8485117
2017-12-16 23:59:00+00:00,41891.2570047
2017-12-17 23:59:00+00:00,46945.7477977
2017-12-18 23:59:00+00:00,59591.3697443
2017-12-19 23:59:00+00:00,65171.978538
2017-12-20 23:59:00+00:00,74999.1111949
2017-12-21 23:59:00+00:00,87174.9849266
2017-12-22 23:59:00+00:00,77761.2306988
2017-12-23 23:59:00+00:00,86930.7158548
2017-12-24 23:59:00+00:00,110662.395674
2017-12-25 23:59:00+00:00,128963.786129
2017-12-26 23:59:00+00:00,121447.81469
2017-12-27 23:59:00+00:00,118779.644829
2017-12-28 23:59:00+00:00,118554.165686
2017-12-29 23:59:00+00:00,124548.152909
2017-12-30 23:59:00+00:00,116693.962754
2017-12-31 23:59:00+00:00,119813.090902
2018-01-01 23:59:00+00:00,128475.247986
2018-01-02 23:59:00+00:00,139692.835359
2018-01-03 23:59:00+00:00,171748.453547
2018-01-04 23:59:00+00:00,148467.732014
