,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99728.8202595
2017-10-28 23:59:00+00:00,95613.1361661
2017-10-29 23:59:00+00:00,87272.4644321
2017-10-30 23:59:00+00:00,91385.0586726
2017-10-31 23:59:00+00:00,81522.634374
2017-11-01 23:59:00+00:00,66173.4037474
2017-11-02 23:59:00+00:00,59715.6111383
2017-11-03 23:59:00+00:00,74991.8439896
2017-11-04 23:59:00+00:00,69690.0426053
2017-11-05 23:59:00+00:00,70364.4030058
2017-11-06 23:59:00+00:00,84438.2968384
2017-11-07 23:59:00+00:00,85044.294243
2017-11-08 23:59:00+00:00,83588.201053
2017-11-09 23:59:00+00:00,111760.32131
2017-11-10 23:59:00+00:00,98170.7619231
2017-11-11 23:59:00+00:00,117463.803574
2017-11-12 23:59:00+00:00,101988.661441
2017-11-13 23:59:00+00:00,95237.7190359
2017-11-14 23:59:00+00:00,99887.9476851
2017-11-15 23:59:00+00:00,97404.0921666
2017-11-16 23:59:00+00:00,88520.765013
2017-11-17 23:59:00+00:00,86975.8385515
2017-11-18 23:59:00+00:00,87284.8238438
2017-11-19 23:59:00+00:00,85842.6349919
2017-11-20 23:59:00+00:00,86979.314636
2017-11-21 23:59:00+00:00,90294.3405908
2017-11-22 23:59:00+00:00,102231.601127
2017-11-23 23:59:00+00:00,101477.290782
2017-11-24 23:59:00+00:00,99183.4612186
2017-11-25 23:59:00+00:00,98897.2635916
2017-11-26 23:59:00+00:00,90067.6226325
2017-11-27 23:59:00+00:00,85978.9747522
2017-11-28 23:59:00+00:00,86914.041493
2017-11-29 23:59:00+00:00,73287.0176393
2017-11-30 23:59:00+00:00,84997.5602175
2017-12-01 23:59:00+00:00,76730.658722
2017-12-02 23:59:00+00:00,74538.0218415
2017-12-03 23:59:00+00:00,75048.6200371
2017-12-04 23:59:00+00:00,74551.5399481
2017-12-05 23:59:00+00:00,79675.2885576
2017-12-06 23:59:00+00:00,59087.5985317
2017-12-07 23:59:00+00:00,38107.4971845
2017-12-08 23:59:00+00:00,43717.8976294
2017-12-09 23:59:00+00:00,52011.4491064
2017-12-10 23:59:00+00:00,44131.1654579
2017-12-11 23:59:00+00:00,50060.5932171
2017-12-12 23:59:00+00:00,56077.3093214
2017-12-13 23:59:00+00:00,56463.5409368
2017-12-14 23:59:00+00:00,70753.7244741
2017-12-15 23:59:00+00:00,64438.0650995
2017-12-16 23:59:00+00:00,57030.5289482
2017-12-17 23:59:00+00:00,73664.7521592
2017-12-18 23:59:00+00:00,81046.7970238
2017-12-19 23:59:00+00:00,86453.6534075
2017-12-20 23:59:00+00:00,98738.9086293
2017-12-21 23:59:00+00:00,98623.8116079
2017-12-22 23:59:00+00:00,85238.1825139
2017-12-23 23:59:00+00:00,93405.050021
2017-12-24 23:59:00+00:00,93152.4545445
2017-12-25 23:59:00+00:00,126844.597049
2017-12-26 23:59:00+00:00,113957.206738
2017-12-27 23:59:00+00:00,106482.466286
2017-12-28 23:59:00+00:00,108083.782563
2017-12-29 23:59:00+00:00,120191.371242
2017-12-30 23:59:00+00:00,122471.296468
2017-12-31 23:59:00+00:00,155341.151863
2018-01-01 23:59:00+00:00,180831.666014
2018-01-02 23:59:00+00:00,153791.976853
2018-01-03 23:59:00+00:00,164029.43205
2018-01-04 23:59:00+00:00,166300.473949
