,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99728.8211455
2017-10-28 23:59:00+00:00,95613.4514697
2017-10-29 23:59:00+00:00,87273.1731028
2017-10-30 23:59:00+00:00,91385.9947466
2017-10-31 23:59:00+00:00,81523.8516669
2017-11-01 23:59:00+00:00,66164.7411416
2017-11-02 23:59:00+00:00,60048.9720691
2017-11-03 23:59:00+00:00,74515.6205749
2017-11-04 23:59:00+00:00,69494.7856029
2017-11-05 23:59:00+00:00,70133.3932797
2017-11-06 23:59:00+00:00,83051.2232951
2017-11-07 23:59:00+00:00,80996.3125817
2017-11-08 23:59:00+00:00,81811.1819672
2017-11-09 23:59:00+00:00,88117.8544222
2017-11-10 23:59:00+00:00,85318.8175946
2017-11-11 23:59:00+00:00,86303.5809727
2017-11-12 23:59:00+00:00,91289.0322451
2017-11-13 23:59:00+00:00,86163.508974
2017-11-14 23:59:00+00:00,85984.1193189
2017-11-15 23:59:00+00:00,79622.2132131
2017-11-16 23:59:00+00:00,71684.3088442
2017-11-17 23:59:00+00:00,70310.827449
2017-11-18 23:59:00+00:00,72201.8374106
2017-11-19 23:59:00+00:00,74192.3594865
2017-11-20 23:59:00+00:00,75048.2986165
2017-11-21 23:59:00+00:00,74729.7946283
2017-11-22 23:59:00+00:00,74172.8166127
2017-11-23 23:59:00+00:00,77615.6613843
2017-11-24 23:59:00+00:00,78769.8675276
2017-11-25 23:59:00+00:00,77356.8957378
2017-11-26 23:59:00+00:00,73814.345315
2017-11-27 23:59:00+00:00,72441.109668
2017-11-28 23:59:00+00:00,68759.4378172
2017-11-29 23:59:00+00:00,55166.827968
2017-11-30 23:59:00+00:00,58470.5845258
2017-12-01 23:59:00+00:00,56878.3660953
2017-12-02 23:59:00+00:00,55465.359964
2017-12-03 23:59:00+00:00,57714.2105563
2017-12-04 23:59:00+00:00,69654.990431
2017-12-05 23:59:00+00:00,67306.6679646
2017-12-06 23:59:00+00:00,50370.5242914
2017-12-07 23:59:00+00:00,34190.6352135
2017-12-08 23:59:00+00:00,35922.1493724
2017-12-09 23:59:00+00:00,40161.2331371
2017-12-10 23:59:00+00:00,36897.2990547
2017-12-11 23:59:00+00:00,39564.1545788
2017-12-12 23:59:00+00:00,41116.5079401
2017-12-13 23:59:00+00:00,43643.9632403
2017-12-14 23:59:00+00:00,55923.1422652
2017-12-15 23:59:00+00:00,47564.5781292
2017-12-16 23:59:00+00:00,42189.4441053
2017-12-17 23:59:00+00:00,53656.1618108
2017-12-18 23:59:00+00:00,58745.1039239
2017-12-19 23:59:00+00:00,62472.3561833
2017-12-20 23:59:00+00:00,70941.2324965
2017-12-21 23:59:00+00:00,70462.0093557
2017-12-22 23:59:00+00:00,61332.4018354
2017-12-23 23:59:00+00:00,70225.0506318
2017-12-24 23:59:00+00:00,93239.9707929
2017-12-25 23:59:00+00:00,110989.047027
2017-12-26 23:59:00+00:00,103272.119475
2017-12-27 23:59:00+00:00,97962.8163222
2017-12-28 23:59:00+00:00,98924.8121048
2017-12-29 23:59:00+00:00,107892.808729
2017-12-30 23:59:00+00:00,107604.619032
2017-12-31 23:59:00+00:00,128970.950745
2018-01-01 23:59:00+00:00,149053.260994
2018-01-02 23:59:00+00:00,129892.578324
2018-01-03 23:59:00+00:00,140957.818426
2018-01-04 23:59:00+00:00,140222.137416
