,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99734.5301595
2017-10-28 23:59:00+00:00,95438.4498255
2017-10-29 23:59:00+00:00,89043.8885506
2017-10-30 23:59:00+00:00,89138.7617739
2017-10-31 23:59:00+00:00,76055.1105169
2017-11-01 23:59:00+00:00,65498.063474
2017-11-02 23:59:00+00:00,63306.493641
2017-11-03 23:59:00+00:00,65070.6381273
2017-11-04 23:59:00+00:00,60179.3979225
2017-11-05 23:59:00+00:00,58807.7653211
2017-11-06 23:59:00+00:00,65537.9896638
2017-11-07 23:59:00+00:00,65649.4405845
2017-11-08 23:59:00+00:00,67951.1772835
2017-11-09 23:59:00+00:00,76353.4707342
2017-11-10 23:59:00+00:00,71574.5920284
2017-11-11 23:59:00+00:00,74382.4758338
2017-11-12 23:59:00+00:00,70866.430053
2017-11-13 23:59:00+00:00,69166.2015782
2017-11-14 23:59:00+00:00,75785.758643
2017-11-15 23:59:00+00:00,69169.117704
2017-11-16 23:59:00+00:00,65174.3531013
2017-11-17 23:59:00+00:00,64065.6640849
2017-11-18 23:59:00+00:00,65259.6398801
2017-11-19 23:59:00+00:00,63272.9174403
2017-11-20 23:59:00+00:00,64666.5738925
2017-11-21 23:59:00+00:00,64029.9078338
2017-11-22 23:59:00+00:00,67488.0094407
2017-11-23 23:59:00+00:00,67494.9767681
2017-11-24 23:59:00+00:00,67329.9563647
2017-11-25 23:59:00+00:00,66389.0735347
2017-11-26 23:59:00+00:00,65503.7535323
2017-11-27 23:59:00+00:00,70164.044381
2017-11-28 23:59:00+00:00,86208.9883504
2017-11-29 23:59:00+00:00,69082.884308
2017-11-30 23:59:00+00:00,72302.3541095
2017-12-01 23:59:00+00:00,78248.7484993
2017-12-02 23:59:00+00:00,78981.5995927
2017-12-03 23:59:00+00:00,76875.4801465
2017-12-04 23:59:00+00:00,78995.3477036
2017-12-05 23:59:00+00:00,88976.1105325
2017-12-06 23:59:00+00:00,90444.1810382
2017-12-07 23:59:00+00:00,59021.7853736
2017-12-08 23:59:00+00:00,68257.5852543
2017-12-09 23:59:00+00:00,71803.3002775
2017-12-10 23:59:00+00:00,63010.9179168
2017-12-11 23:59:00+00:00,67792.9236399
2017-12-12 23:59:00+00:00,78382.1080374
2017-12-13 23:59:00+00:00,84797.4313332
2017-12-14 23:59:00+00:00,119825.676394
2017-12-15 23:59:00+00:00,109434.627278
2017-12-16 23:59:00+00:00,112730.793097
2017-12-17 23:59:00+00:00,122903.8702
2017-12-18 23:59:00+00:00,131147.553086
2017-12-19 23:59:00+00:00,136268.839205
2017-12-20 23:59:00+00:00,139614.287776
2017-12-21 23:59:00+00:00,177510.437788
2017-12-22 23:59:00+00:00,172408.72368
2017-12-23 23:59:00+00:00,171039.267457
2017-12-24 23:59:00+00:00,171216.740553
2017-12-25 23:59:00+00:00,173021.694147
2017-12-26 23:59:00+00:00,156755.578926
2017-12-27 23:59:00+00:00,168525.719556
2017-12-28 23:59:00+00:00,181155.099351
2017-12-29 23:59:00+00:00,266047.786695
2017-12-30 23:59:00+00:00,294768.483819
2017-12-31 23:59:00+00:00,294259.265129
2018-01-01 23:59:00+00:00,367804.068745
2018-01-02 23:59:00+00:00,371812.654038
2018-01-03 23:59:00+00:00,519974.040768
2018-01-04 23:59:00+00:00,466530.182463
