,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99731.6905077
2017-10-28 23:59:00+00:00,97743.7515601
2017-10-29 23:59:00+00:00,90911.3788416
2017-10-30 23:59:00+00:00,86479.2089195
2017-10-31 23:59:00+00:00,65172.2391255
2017-11-01 23:59:00+00:00,48594.2959085
2017-11-02 23:59:00+00:00,42868.6314832
2017-11-03 23:59:00+00:00,48578.9527555
2017-11-04 23:59:00+00:00,41241.5901768
2017-11-05 23:59:00+00:00,39772.6500551
2017-11-06 23:59:00+00:00,44449.6433308
2017-11-07 23:59:00+00:00,42939.3434055
2017-11-08 23:59:00+00:00,45242.1505354
2017-11-09 23:59:00+00:00,47559.6337247
2017-11-10 23:59:00+00:00,42621.8068488
2017-11-11 23:59:00+00:00,42258.2408332
2017-11-12 23:59:00+00:00,40142.8870068
2017-11-13 23:59:00+00:00,40342.3479951
2017-11-14 23:59:00+00:00,43308.9132636
2017-11-15 23:59:00+00:00,40308.9933148
2017-11-16 23:59:00+00:00,33765.4721279
2017-11-17 23:59:00+00:00,32901.5859074
2017-11-18 23:59:00+00:00,33595.3632582
2017-11-19 23:59:00+00:00,31327.2449959
2017-11-20 23:59:00+00:00,33149.7447291
2017-11-21 23:59:00+00:00,32884.9085672
2017-11-22 23:59:00+00:00,33035.0046287
2017-11-23 23:59:00+00:00,33069.0264027
2017-11-24 23:59:00+00:00,36399.1576867
2017-11-25 23:59:00+00:00,34689.396773
2017-11-26 23:59:00+00:00,33202.445124
2017-11-27 23:59:00+00:00,35274.437866
2017-11-28 23:59:00+00:00,34236.4402142
2017-11-29 23:59:00+00:00,27231.9573451
2017-11-30 23:59:00+00:00,27797.6527235
2017-12-01 23:59:00+00:00,29035.1113637
2017-12-02 23:59:00+00:00,29572.7888106
2017-12-03 23:59:00+00:00,34317.1585406
2017-12-04 23:59:00+00:00,35102.9948091
2017-12-05 23:59:00+00:00,33029.0007863
2017-12-06 23:59:00+00:00,26991.8036468
2017-12-07 23:59:00+00:00,17225.5532465
2017-12-08 23:59:00+00:00,19014.0312057
2017-12-09 23:59:00+00:00,19881.9199879
2017-12-10 23:59:00+00:00,17107.4776781
2017-12-11 23:59:00+00:00,17979.3690219
2017-12-12 23:59:00+00:00,20102.7279717
2017-12-13 23:59:00+00:00,20227.4744761
2017-12-14 23:59:00+00:00,21340.8537055
2017-12-15 23:59:00+00:00,20120.739499
2017-12-16 23:59:00+00:00,19825.8841249
2017-12-17 23:59:00+00:00,25598.2451026
2017-12-18 23:59:00+00:00,33468.615473
2017-12-19 23:59:00+00:00,32035.6984061
2017-12-20 23:59:00+00:00,34019.634792
2017-12-21 23:59:00+00:00,45348.2184189
2017-12-22 23:59:00+00:00,34932.2188458
2017-12-23 23:59:00+00:00,36231.0500978
2017-12-24 23:59:00+00:00,36257.7338421
2017-12-25 23:59:00+00:00,38419.784221
2017-12-26 23:59:00+00:00,32935.6076813
2017-12-27 23:59:00+00:00,31901.6125912
2017-12-28 23:59:00+00:00,31095.0964208
2017-12-29 23:59:00+00:00,33369.2185256
2017-12-30 23:59:00+00:00,32201.1376205
2017-12-31 23:59:00+00:00,34962.9051517
2018-01-01 23:59:00+00:00,43222.8581883
2018-01-02 23:59:00+00:00,39579.1929092
2018-01-03 23:59:00+00:00,38866.0698438
2018-01-04 23:59:00+00:00,41883.3342263
