,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99736.8741965
2017-10-28 23:59:00+00:00,89685.7668711
2017-10-29 23:59:00+00:00,82019.6680636
2017-10-30 23:59:00+00:00,86619.3273481
2017-10-31 23:59:00+00:00,75205.3580125
2017-11-01 23:59:00+00:00,67198.5437024
2017-11-02 23:59:00+00:00,65324.6084384
2017-11-03 23:59:00+00:00,64643.1774333
2017-11-04 23:59:00+00:00,61406.380159
2017-11-05 23:59:00+00:00,59873.1603975
2017-11-06 23:59:00+00:00,69413.194469
2017-11-07 23:59:00+00:00,71287.1297331
2017-11-08 23:59:00+00:00,74864.6425099
2017-11-09 23:59:00+00:00,94796.4994094
2017-11-10 23:59:00+00:00,83552.8878251
2017-11-11 23:59:00+00:00,86278.6118455
2017-11-12 23:59:00+00:00,78782.8707893
2017-11-13 23:59:00+00:00,78782.8707893
2017-11-14 23:59:00+00:00,94796.4994094
2017-11-15 23:59:00+00:00,84915.7498353
2017-11-16 23:59:00+00:00,79123.5862919
2017-11-17 23:59:00+00:00,76397.8622714
2017-11-18 23:59:00+00:00,78612.513038
2017-11-19 23:59:00+00:00,75886.7890176
2017-11-20 23:59:00+00:00,77249.6510278
2017-11-21 23:59:00+00:00,77420.0087791
2017-11-22 23:59:00+00:00,86619.3273481
2017-11-23 23:59:00+00:00,84234.3188302
2017-11-24 23:59:00+00:00,82019.6680636
2017-11-25 23:59:00+00:00,83893.6033276
2017-11-26 23:59:00+00:00,88493.2626121
2017-11-27 23:59:00+00:00,102803.313719
2017-11-28 23:59:00+00:00,143689.174026
2017-11-29 23:59:00+00:00,111321.201283
2017-11-30 23:59:00+00:00,122053.739614
2017-12-01 23:59:00+00:00,140793.092254
2017-12-02 23:59:00+00:00,143859.531777
2017-12-03 23:59:00+00:00,134319.497706
2017-12-04 23:59:00+00:00,141474.523259
2017-12-05 23:59:00+00:00,177590.36653
2017-12-06 23:59:00+00:00,200418.305202
2017-12-07 23:59:00+00:00,126312.683396
2017-12-08 23:59:00+00:00,144881.678285
2017-12-09 23:59:00+00:00,150844.19958
2017-12-10 23:59:00+00:00,129379.122919
2017-12-11 23:59:00+00:00,144200.24728
2017-12-12 23:59:00+00:00,149481.33757
2017-12-13 23:59:00+00:00,153229.208098
2017-12-14 23:59:00+00:00,191900.417638
2017-12-15 23:59:00+00:00,187130.400602
2017-12-16 23:59:00+00:00,207914.046258
2017-12-17 23:59:00+00:00,235852.717467
2017-12-18 23:59:00+00:00,245392.751539
2017-12-19 23:59:00+00:00,255103.143362
2017-12-20 23:59:00+00:00,258851.01389
2017-12-21 23:59:00+00:00,276057.146769
2017-12-22 23:59:00+00:00,262939.59992
2017-12-23 23:59:00+00:00,270094.625474
2017-12-24 23:59:00+00:00,270776.056479
2017-12-25 23:59:00+00:00,273501.7805
2017-12-26 23:59:00+00:00,239089.514742
2017-12-27 23:59:00+00:00,246414.898047
2017-12-28 23:59:00+00:00,258169.582885
2017-12-29 23:59:00+00:00,373501.7805
2017-12-30 23:59:00+00:00,420861.235355
2017-12-31 23:59:00+00:00,431593.773685
2018-01-01 23:59:00+00:00,616091.218319
2018-01-02 23:59:00+00:00,642155.954265
2018-01-03 23:59:00+00:00,996840.792425
2018-01-04 23:59:00+00:00,829890.196173
