,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99735.0257744
2017-10-28 23:59:00+00:00,98885.8310452
2017-10-29 23:59:00+00:00,94200.6187465
2017-10-30 23:59:00+00:00,94317.749054
2017-10-31 23:59:00+00:00,87787.7344127
2017-11-01 23:59:00+00:00,80701.350811
2017-11-02 23:59:00+00:00,81726.2410013
2017-11-03 23:59:00+00:00,81989.7841931
2017-11-04 23:59:00+00:00,77890.2234318
2017-11-05 23:59:00+00:00,76777.4855108
2017-11-06 23:59:00+00:00,82751.1311916
2017-11-07 23:59:00+00:00,82721.8486148
2017-11-08 23:59:00+00:00,83746.7388051
2017-11-09 23:59:00+00:00,86704.2790687
2017-11-10 23:59:00+00:00,88549.0814113
2017-11-11 23:59:00+00:00,94610.5748227
2017-11-12 23:59:00+00:00,93673.5323629
2017-11-13 23:59:00+00:00,88373.3859501
2017-11-14 23:59:00+00:00,89251.8632561
2017-11-15 23:59:00+00:00,82282.6099618
2017-11-16 23:59:00+00:00,82634.0008842
2017-11-17 23:59:00+00:00,82897.544076
2017-11-18 23:59:00+00:00,83571.0433439
2017-11-19 23:59:00+00:00,82604.7183073
2017-11-20 23:59:00+00:00,83600.3259208
2017-11-21 23:59:00+00:00,81784.806155
2017-11-22 23:59:00+00:00,82809.6963454
2017-11-23 23:59:00+00:00,85181.5850716
2017-11-24 23:59:00+00:00,83571.0433439
2017-11-25 23:59:00+00:00,80584.2205035
2017-11-26 23:59:00+00:00,74815.5528607
2017-11-27 23:59:00+00:00,72414.3815577
2017-11-28 23:59:00+00:00,80701.350811
2017-11-29 23:59:00+00:00,68695.4942956
2017-11-30 23:59:00+00:00,67055.6699911
2017-12-01 23:59:00+00:00,64918.0418798
2017-12-02 23:59:00+00:00,63512.4781902
2017-12-03 23:59:00+00:00,61989.7841931
2017-12-04 23:59:00+00:00,60408.5250423
2017-12-05 23:59:00+00:00,56308.964281
2017-12-06 23:59:00+00:00,43922.4342663
2017-12-07 23:59:00+00:00,33527.1194786
2017-12-08 23:59:00+00:00,40877.0462722
2017-12-09 23:59:00+00:00,44683.7812648
2017-12-10 23:59:00+00:00,42546.1531536
2017-12-11 23:59:00+00:00,41199.1546177
2017-12-12 23:59:00+00:00,65562.2585708
2017-12-13 23:59:00+00:00,80935.6114259
2017-12-14 23:59:00+00:00,146235.757839
2017-12-15 23:59:00+00:00,121052.741733
2017-12-16 23:59:00+00:00,110452.448908
2017-12-17 23:59:00+00:00,107260.648029
2017-12-18 23:59:00+00:00,114581.292246
2017-12-19 23:59:00+00:00,121667.675848
2017-12-20 23:59:00+00:00,125972.214647
2017-12-21 23:59:00+00:00,211125.948176
2017-12-22 23:59:00+00:00,219354.352275
2017-12-23 23:59:00+00:00,206792.126799
2017-12-24 23:59:00+00:00,206616.431338
2017-12-25 23:59:00+00:00,207143.517722
2017-12-26 23:59:00+00:00,198241.614354
2017-12-27 23:59:00+00:00,227260.648029
2017-12-28 23:59:00+00:00,254200.618747
2017-12-29 23:59:00+00:00,391272.36106
2017-12-30 23:59:00+00:00,431243.078483
2017-12-31 23:59:00+00:00,416221.11655
2018-01-01 23:59:00+00:00,444098.129728
2018-01-02 23:59:00+00:00,433702.81494
2018-01-03 23:59:00+00:00,524215.260035
2018-01-04 23:59:00+00:00,527817.01699
