,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99736.8525396
2017-10-28 23:59:00+00:00,89789.5108048
2017-10-29 23:59:00+00:00,82156.6203288
2017-10-30 23:59:00+00:00,86704.567801
2017-10-31 23:59:00+00:00,75342.4390731
2017-11-01 23:59:00+00:00,67337.1015823
2017-11-02 23:59:00+00:00,65509.4293905
2017-11-03 23:59:00+00:00,64902.35108
2017-11-04 23:59:00+00:00,61683.4055884
2017-11-05 23:59:00+00:00,60185.3444106
2017-11-06 23:59:00+00:00,69118.5892307
2017-11-07 23:59:00+00:00,69096.5150277
2017-11-08 23:59:00+00:00,69892.917415
2017-11-09 23:59:00+00:00,72204.4881002
2017-11-10 23:59:00+00:00,73549.6729473
2017-11-11 23:59:00+00:00,77764.2054694
2017-11-12 23:59:00+00:00,71347.1283485
2017-11-13 23:59:00+00:00,71352.8490992
2017-11-14 23:59:00+00:00,85008.5869748
2017-11-15 23:59:00+00:00,76541.2508494
2017-11-16 23:59:00+00:00,71403.6717079
2017-11-17 23:59:00+00:00,69003.9410325
2017-11-18 23:59:00+00:00,70957.8176208
2017-11-19 23:59:00+00:00,68546.5327695
2017-11-20 23:59:00+00:00,69757.4187061
2017-11-21 23:59:00+00:00,69683.0622088
2017-11-22 23:59:00+00:00,73150.8385277
2017-11-23 23:59:00+00:00,72335.048923
2017-11-24 23:59:00+00:00,75319.2891305
2017-11-25 23:59:00+00:00,74050.4962248
2017-11-26 23:59:00+00:00,73787.0597512
2017-11-27 23:59:00+00:00,86089.5668339
2017-11-28 23:59:00+00:00,121167.027105
2017-11-29 23:59:00+00:00,93256.1882024
2017-11-30 23:59:00+00:00,102467.488501
2017-12-01 23:59:00+00:00,118540.43953
2017-12-02 23:59:00+00:00,121042.792855
2017-12-03 23:59:00+00:00,113240.171902
2017-12-04 23:59:00+00:00,119096.323556
2017-12-05 23:59:00+00:00,148651.331178
2017-12-06 23:59:00+00:00,167164.23853
2017-12-07 23:59:00+00:00,106056.267225
2017-12-08 23:59:00+00:00,121490.342149
2017-12-09 23:59:00+00:00,126487.693456
2017-12-10 23:59:00+00:00,108811.420784
2017-12-11 23:59:00+00:00,120929.140067
2017-12-12 23:59:00+00:00,125793.204988
2017-12-13 23:59:00+00:00,129197.218503
2017-12-14 23:59:00+00:00,162399.779379
2017-12-15 23:59:00+00:00,157945.351139
2017-12-16 23:59:00+00:00,174583.260748
2017-12-17 23:59:00+00:00,202621.504238
2017-12-18 23:59:00+00:00,224274.790472
2017-12-19 23:59:00+00:00,226993.262178
2017-12-20 23:59:00+00:00,233234.751654
2017-12-21 23:59:00+00:00,266357.00402
2017-12-22 23:59:00+00:00,231043.815756
2017-12-23 23:59:00+00:00,238178.065788
2017-12-24 23:59:00+00:00,238590.540367
2017-12-25 23:59:00+00:00,245924.706983
2017-12-26 23:59:00+00:00,213168.710734
2017-12-27 23:59:00+00:00,222522.486213
2017-12-28 23:59:00+00:00,234941.823281
2017-12-29 23:59:00+00:00,341203.437088
2017-12-30 23:59:00+00:00,381958.853735
2017-12-31 23:59:00+00:00,387883.160431
2018-01-01 23:59:00+00:00,520878.61872
2018-01-02 23:59:00+00:00,521934.406815
2018-01-03 23:59:00+00:00,720712.015779
2018-01-04 23:59:00+00:00,638919.935345
