,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99756.5544724
2017-10-28 23:59:00+00:00,99655.0232687
2017-10-29 23:59:00+00:00,96597.1843632
2017-10-30 23:59:00+00:00,103205.918049
2017-10-31 23:59:00+00:00,94980.9541003
2017-11-01 23:59:00+00:00,84346.4053457
2017-11-02 23:59:00+00:00,83776.2918827
2017-11-03 23:59:00+00:00,84549.2150364
2017-11-04 23:59:00+00:00,81496.5985664
2017-11-05 23:59:00+00:00,84359.2447531
2017-11-06 23:59:00+00:00,90305.2689782
2017-11-07 23:59:00+00:00,91278.5896819
2017-11-08 23:59:00+00:00,94786.2187961
2017-11-09 23:59:00+00:00,100521.404144
2017-11-10 23:59:00+00:00,96009.6669241
2017-11-11 23:59:00+00:00,102011.548348
2017-11-12 23:59:00+00:00,111526.604369
2017-11-13 23:59:00+00:00,105372.55476
2017-11-14 23:59:00+00:00,107312.417034
2017-11-15 23:59:00+00:00,99322.5395627
2017-11-16 23:59:00+00:00,91209.1303062
2017-11-17 23:59:00+00:00,92212.8253383
2017-11-18 23:59:00+00:00,95758.4232382
2017-11-19 23:59:00+00:00,91798.7171664
2017-11-20 23:59:00+00:00,95132.2817857
2017-11-21 23:59:00+00:00,98295.8176575
2017-11-22 23:59:00+00:00,105839.633017
2017-11-23 23:59:00+00:00,104764.544195
2017-11-24 23:59:00+00:00,105515.031898
2017-11-25 23:59:00+00:00,104558.472345
2017-11-26 23:59:00+00:00,101863.365082
2017-11-27 23:59:00+00:00,101882.938538
2017-11-28 23:59:00+00:00,103299.808129
2017-11-29 23:59:00+00:00,92536.0485794
2017-11-30 23:59:00+00:00,94117.4063595
2017-12-01 23:59:00+00:00,92797.8623299
2017-12-02 23:59:00+00:00,93020.0844163
2017-12-03 23:59:00+00:00,93241.3150859
2017-12-04 23:59:00+00:00,97392.1561531
2017-12-05 23:59:00+00:00,103458.810876
2017-12-06 23:59:00+00:00,85929.8943701
2017-12-07 23:59:00+00:00,68182.3235249
2017-12-08 23:59:00+00:00,72403.6652393
2017-12-09 23:59:00+00:00,78116.7823958
2017-12-10 23:59:00+00:00,70758.552361
2017-12-11 23:59:00+00:00,74331.4231737
2017-12-12 23:59:00+00:00,80674.4614589
2017-12-13 23:59:00+00:00,89813.4082416
2017-12-14 23:59:00+00:00,96362.9957644
2017-12-15 23:59:00+00:00,87716.2811847
2017-12-16 23:59:00+00:00,84022.3410196
2017-12-17 23:59:00+00:00,91426.03649
2017-12-18 23:59:00+00:00,102193.159067
2017-12-19 23:59:00+00:00,109755.85724
2017-12-20 23:59:00+00:00,133048.478076
2017-12-21 23:59:00+00:00,149811.771505
2017-12-22 23:59:00+00:00,145998.781122
2017-12-23 23:59:00+00:00,158443.558456
2017-12-24 23:59:00+00:00,162482.520976
2017-12-25 23:59:00+00:00,182702.701727
2017-12-26 23:59:00+00:00,178897.865967
2017-12-27 23:59:00+00:00,240486.325984
2017-12-28 23:59:00+00:00,267788.154627
2017-12-29 23:59:00+00:00,339939.161343
2017-12-30 23:59:00+00:00,351940.357551
2017-12-31 23:59:00+00:00,405526.44922
2018-01-01 23:59:00+00:00,410326.038966
2018-01-02 23:59:00+00:00,363618.966286
2018-01-03 23:59:00+00:00,384107.204891
2018-01-04 23:59:00+00:00,360299.390726
