,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99721.6374172
2017-10-28 23:59:00+00:00,101556.59546
2017-10-29 23:59:00+00:00,103074.824348
2017-10-30 23:59:00+00:00,112647.972
2017-10-31 23:59:00+00:00,108160.630454
2017-11-01 23:59:00+00:00,92822.86934
2017-11-02 23:59:00+00:00,100842.722938
2017-11-03 23:59:00+00:00,101073.895942
2017-11-04 23:59:00+00:00,95748.1326859
2017-11-05 23:59:00+00:00,102410.371572
2017-11-06 23:59:00+00:00,113362.130186
2017-11-07 23:59:00+00:00,124608.193389
2017-11-08 23:59:00+00:00,119789.553861
2017-11-09 23:59:00+00:00,121284.715439
2017-11-10 23:59:00+00:00,110354.238738
2017-11-11 23:59:00+00:00,119138.955753
2017-11-12 23:59:00+00:00,115918.959324
2017-11-13 23:59:00+00:00,112612.264091
2017-11-14 23:59:00+00:00,112451.721331
2017-11-15 23:59:00+00:00,98816.8704113
2017-11-16 23:59:00+00:00,89143.3121181
2017-11-17 23:59:00+00:00,91877.3239017
2017-11-18 23:59:00+00:00,97325.0653765
2017-11-19 23:59:00+00:00,89345.1332215
2017-11-20 23:59:00+00:00,89939.8841588
2017-11-21 23:59:00+00:00,91019.0485938
2017-11-22 23:59:00+00:00,89723.4942285
2017-11-23 23:59:00+00:00,94009.2289187
2017-11-24 23:59:00+00:00,95801.3374707
2017-11-25 23:59:00+00:00,92012.2997989
2017-11-26 23:59:00+00:00,98219.8341678
2017-11-27 23:59:00+00:00,95960.309083
2017-11-28 23:59:00+00:00,90381.0196703
2017-11-29 23:59:00+00:00,75342.1337571
2017-11-30 23:59:00+00:00,72021.4410237
2017-12-01 23:59:00+00:00,78456.5061906
2017-12-02 23:59:00+00:00,77102.8907648
2017-12-03 23:59:00+00:00,75087.2507005
2017-12-04 23:59:00+00:00,84438.7236518
2017-12-05 23:59:00+00:00,83457.9702149
2017-12-06 23:59:00+00:00,63371.0571637
2017-12-07 23:59:00+00:00,64085.2867655
2017-12-08 23:59:00+00:00,54095.4278117
2017-12-09 23:59:00+00:00,65647.6506291
2017-12-10 23:59:00+00:00,53602.3730001
2017-12-11 23:59:00+00:00,52043.7227591
2017-12-12 23:59:00+00:00,52763.8798739
2017-12-13 23:59:00+00:00,56943.6334893
2017-12-14 23:59:00+00:00,59493.9637875
2017-12-15 23:59:00+00:00,60048.5790347
2017-12-16 23:59:00+00:00,59809.121795
2017-12-17 23:59:00+00:00,61798.9093329
2017-12-18 23:59:00+00:00,74107.7113325
2017-12-19 23:59:00+00:00,79536.0277046
2017-12-20 23:59:00+00:00,117297.713118
2017-12-21 23:59:00+00:00,113517.388176
2017-12-22 23:59:00+00:00,150566.272304
2017-12-23 23:59:00+00:00,160641.044666
2017-12-24 23:59:00+00:00,149977.805959
2017-12-25 23:59:00+00:00,151217.727401
2017-12-26 23:59:00+00:00,122312.5319
2017-12-27 23:59:00+00:00,123304.211957
2017-12-28 23:59:00+00:00,149784.554753
2017-12-29 23:59:00+00:00,148040.223384
2017-12-30 23:59:00+00:00,141214.299442
2017-12-31 23:59:00+00:00,158452.649736
2018-01-01 23:59:00+00:00,160496.570465
2018-01-02 23:59:00+00:00,163984.44763
2018-01-03 23:59:00+00:00,171071.967715
2018-01-04 23:59:00+00:00,164067.361395
