,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99737.825497
2017-10-28 23:59:00+00:00,97236.1054521
2017-10-29 23:59:00+00:00,93985.1689833
2017-10-30 23:59:00+00:00,95037.3819011
2017-10-31 23:59:00+00:00,87319.473393
2017-11-01 23:59:00+00:00,81555.9697494
2017-11-02 23:59:00+00:00,76409.5334964
2017-11-03 23:59:00+00:00,79489.4985377
2017-11-04 23:59:00+00:00,75830.7099864
2017-11-05 23:59:00+00:00,74941.0180656
2017-11-06 23:59:00+00:00,80316.2771054
2017-11-07 23:59:00+00:00,82943.6792281
2017-11-08 23:59:00+00:00,86226.5579117
2017-11-09 23:59:00+00:00,93285.5600998
2017-11-10 23:59:00+00:00,102174.318134
2017-11-11 23:59:00+00:00,111787.209897
2017-11-12 23:59:00+00:00,177130.299448
2017-11-13 23:59:00+00:00,133235.828592
2017-11-14 23:59:00+00:00,131782.995012
2017-11-15 23:59:00+00:00,118344.868074
2017-11-16 23:59:00+00:00,109412.184328
2017-11-17 23:59:00+00:00,112849.670769
2017-11-18 23:59:00+00:00,119544.147411
2017-11-19 23:59:00+00:00,112752.873049
2017-11-20 23:59:00+00:00,142630.765358
2017-11-21 23:59:00+00:00,124490.211349
2017-11-22 23:59:00+00:00,143539.527567
2017-11-23 23:59:00+00:00,143167.687955
2017-11-24 23:59:00+00:00,140604.624809
2017-11-25 23:59:00+00:00,148704.848156
2017-11-26 23:59:00+00:00,135631.412054
2017-11-27 23:59:00+00:00,131328.779197
2017-11-28 23:59:00+00:00,126694.45144
2017-11-29 23:59:00+00:00,138560.219758
2017-11-30 23:59:00+00:00,155936.288717
2017-12-01 23:59:00+00:00,148740.90195
2017-12-02 23:59:00+00:00,143711.325442
2017-12-03 23:59:00+00:00,139324.684148
2017-12-04 23:59:00+00:00,136129.388289
2017-12-05 23:59:00+00:00,129097.390289
2017-12-06 23:59:00+00:00,99359.4156243
2017-12-07 23:59:00+00:00,80376.3185517
2017-12-08 23:59:00+00:00,89671.6063519
2017-12-09 23:59:00+00:00,97365.1346443
2017-12-10 23:59:00+00:00,92244.5662134
2017-12-11 23:59:00+00:00,92901.0345119
2017-12-12 23:59:00+00:00,112068.491469
2017-12-13 23:59:00+00:00,110806.83597
2017-12-14 23:59:00+00:00,116680.009262
2017-12-15 23:59:00+00:00,104758.476366
2017-12-16 23:59:00+00:00,105494.531606
2017-12-17 23:59:00+00:00,116886.621259
2017-12-18 23:59:00+00:00,123622.77154
2017-12-19 23:59:00+00:00,134109.694034
2017-12-20 23:59:00+00:00,177515.258921
2017-12-21 23:59:00+00:00,177650.507135
2017-12-22 23:59:00+00:00,167866.933202
2017-12-23 23:59:00+00:00,169545.67634
2017-12-24 23:59:00+00:00,166953.604868
2017-12-25 23:59:00+00:00,165385.729728
2017-12-26 23:59:00+00:00,154490.087382
2017-12-27 23:59:00+00:00,151595.59793
2017-12-28 23:59:00+00:00,157155.588757
2017-12-29 23:59:00+00:00,156127.384153
2017-12-30 23:59:00+00:00,156349.430066
2017-12-31 23:59:00+00:00,150169.871844
2018-01-01 23:59:00+00:00,156878.294795
2018-01-02 23:59:00+00:00,162233.533133
2018-01-03 23:59:00+00:00,152915.951898
2018-01-04 23:59:00+00:00,150358.219341
