,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99739.7166474
2017-10-28 23:59:00+00:00,108935.229468
2017-10-29 23:59:00+00:00,109098.691006
2017-10-30 23:59:00+00:00,119156.383314
2017-10-31 23:59:00+00:00,109415.998699
2017-11-01 23:59:00+00:00,99948.0499808
2017-11-02 23:59:00+00:00,110220.485878
2017-11-03 23:59:00+00:00,107826.255109
2017-11-04 23:59:00+00:00,101730.101263
2017-11-05 23:59:00+00:00,110214.075622
2017-11-06 23:59:00+00:00,120361.511519
2017-11-07 23:59:00+00:00,125114.716647
2017-11-08 23:59:00+00:00,121114.716647
2017-11-09 23:59:00+00:00,121121.126904
2017-11-10 23:59:00+00:00,107178.819212
2017-11-11 23:59:00+00:00,104951.255109
2017-11-12 23:59:00+00:00,102204.460237
2017-11-13 23:59:00+00:00,101307.02434
2017-11-14 23:59:00+00:00,103948.049981
2017-11-15 23:59:00+00:00,103605.101263
2017-11-16 23:59:00+00:00,95169.2038269
2017-11-17 23:59:00+00:00,89383.9474167
2017-11-18 23:59:00+00:00,94512.1525449
2017-11-19 23:59:00+00:00,92589.0756218
2017-11-20 23:59:00+00:00,94829.4602372
2017-11-21 23:59:00+00:00,94290.9986987
2017-11-22 23:59:00+00:00,94832.6653654
2017-11-23 23:59:00+00:00,97999.332032
2017-11-24 23:59:00+00:00,95255.7422884
2017-11-25 23:59:00+00:00,95476.8961346
2017-11-26 23:59:00+00:00,101210.870494
2017-11-27 23:59:00+00:00,103188.434596
2017-11-28 23:59:00+00:00,100880.742288
2017-11-29 23:59:00+00:00,80028.1781859
2017-11-30 23:59:00+00:00,82810.2294679
2017-12-01 23:59:00+00:00,80079.4602372
2017-12-02 23:59:00+00:00,80053.8192115
2017-12-03 23:59:00+00:00,81021.7679295
2017-12-04 23:59:00+00:00,90986.5115192
2017-12-05 23:59:00+00:00,91755.7422884
2017-12-06 23:59:00+00:00,66903.1781859
2017-12-07 23:59:00+00:00,60284.5884423
2017-12-08 23:59:00+00:00,66470.4858782
2017-12-09 23:59:00+00:00,67906.3833141
2017-12-10 23:59:00+00:00,59765.3576731
2017-12-11 23:59:00+00:00,62557.0243397
2017-12-12 23:59:00+00:00,68230.1012628
2017-12-13 23:59:00+00:00,68448.0499808
2017-12-14 23:59:00+00:00,71592.28075
2017-12-15 23:59:00+00:00,83057.0243397
2017-12-16 23:59:00+00:00,73335.8704936
2017-12-17 23:59:00+00:00,79130.7422884
2017-12-18 23:59:00+00:00,95784.5884423
2017-12-19 23:59:00+00:00,106230.101263
2017-12-20 23:59:00+00:00,150310.229468
2017-12-21 23:59:00+00:00,228486.511519
2017-12-22 23:59:00+00:00,271448.049981
2017-12-23 23:59:00+00:00,257178.819212
2017-12-24 23:59:00+00:00,242659.588442
2017-12-25 23:59:00+00:00,243540.998699
2017-12-26 23:59:00+00:00,206262.152545
2017-12-27 23:59:00+00:00,201768.562801
2017-12-28 23:59:00+00:00,201880.742288
2017-12-29 23:59:00+00:00,216691.639724
2017-12-30 23:59:00+00:00,228082.665365
2017-12-31 23:59:00+00:00,227281.383314
2018-01-01 23:59:00+00:00,228573.049981
2018-01-02 23:59:00+00:00,226948.049981
2018-01-03 23:59:00+00:00,209794.203827
2018-01-04 23:59:00+00:00,193082.665365
