,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99730.0840166
2017-10-28 23:59:00+00:00,100300.255883
2017-10-29 23:59:00+00:00,101359.146491
2017-10-30 23:59:00+00:00,129509.346051
2017-10-31 23:59:00+00:00,104698.724564
2017-11-01 23:59:00+00:00,95747.0262663
2017-11-02 23:59:00+00:00,82747.1077194
2017-11-03 23:59:00+00:00,85760.8732973
2017-11-04 23:59:00+00:00,85386.1889282
2017-11-05 23:59:00+00:00,83773.4170784
2017-11-06 23:59:00+00:00,87194.4482749
2017-11-07 23:59:00+00:00,87039.6873398
2017-11-08 23:59:00+00:00,97661.1746739
2017-11-09 23:59:00+00:00,102222.549603
2017-11-10 23:59:00+00:00,93726.9887979
2017-11-11 23:59:00+00:00,94297.1606639
2017-11-12 23:59:00+00:00,90819.1122808
2017-11-13 23:59:00+00:00,98052.1496678
2017-11-14 23:59:00+00:00,97636.7387368
2017-11-15 23:59:00+00:00,90794.6763437
2017-11-16 23:59:00+00:00,77770.3218597
2017-11-17 23:59:00+00:00,82967.0311535
2017-11-18 23:59:00+00:00,83830.434265
2017-11-19 23:59:00+00:00,81061.0280583
2017-11-20 23:59:00+00:00,76027.2250119
2017-11-21 23:59:00+00:00,84050.357699
2017-11-22 23:59:00+00:00,80230.2061962
2017-11-23 23:59:00+00:00,83081.0655267
2017-11-24 23:59:00+00:00,80906.2671232
2017-11-25 23:59:00+00:00,81834.8327337
2017-11-26 23:59:00+00:00,95372.3418971
2017-11-27 23:59:00+00:00,96032.1121993
2017-11-28 23:59:00+00:00,84612.3842528
2017-11-29 23:59:00+00:00,74846.1547179
2017-11-30 23:59:00+00:00,75587.3781438
2017-12-01 23:59:00+00:00,74691.3937828
2017-12-02 23:59:00+00:00,74202.6750404
2017-12-03 23:59:00+00:00,78022.8265432
2017-12-04 23:59:00+00:00,92456.3200677
2017-12-05 23:59:00+00:00,130275.005414
2017-12-06 23:59:00+00:00,111182.393213
2017-12-07 23:59:00+00:00,78193.8781031
2017-12-08 23:59:00+00:00,80906.2671232
2017-12-09 23:59:00+00:00,83643.0920804
2017-12-10 23:59:00+00:00,74984.6250282
2017-12-11 23:59:00+00:00,93653.6809865
2017-12-12 23:59:00+00:00,98931.843404
2017-12-13 23:59:00+00:00,102955.627716
2017-12-14 23:59:00+00:00,113218.721306
2017-12-15 23:59:00+00:00,101929.318357
2017-12-16 23:59:00+00:00,95290.8887734
2017-12-17 23:59:00+00:00,104405.493318
2017-12-18 23:59:00+00:00,130519.364785
2017-12-19 23:59:00+00:00,126674.777346
2017-12-20 23:59:00+00:00,134852.670968
2017-12-21 23:59:00+00:00,140081.961511
2017-12-22 23:59:00+00:00,117275.086867
2017-12-23 23:59:00+00:00,129509.346051
2017-12-24 23:59:00+00:00,135903.416264
2017-12-25 23:59:00+00:00,176744.012501
2017-12-26 23:59:00+00:00,169421.376678
2017-12-27 23:59:00+00:00,220818.29775
2017-12-28 23:59:00+00:00,208983.158872
2017-12-29 23:59:00+00:00,195828.47939
2017-12-30 23:59:00+00:00,182274.679602
2017-12-31 23:59:00+00:00,182462.021786
2018-01-01 23:59:00+00:00,221551.375863
2018-01-02 23:59:00+00:00,191861.712264
2018-01-03 23:59:00+00:00,180824.813999
2018-01-04 23:59:00+00:00,197115.438745
