,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99731.1714782
2017-10-28 23:59:00+00:00,94848.2006139
2017-10-29 23:59:00+00:00,93691.4230143
2017-10-30 23:59:00+00:00,92595.9077798
2017-10-31 23:59:00+00:00,79262.3342019
2017-11-01 23:59:00+00:00,68418.8955814
2017-11-02 23:59:00+00:00,65716.1441804
2017-11-03 23:59:00+00:00,68409.88641
2017-11-04 23:59:00+00:00,63606.1962535
2017-11-05 23:59:00+00:00,70966.6892353
2017-11-06 23:59:00+00:00,72020.7622817
2017-11-07 23:59:00+00:00,67880.1471355
2017-11-08 23:59:00+00:00,78584.8445174
2017-11-09 23:59:00+00:00,82447.9771864
2017-11-10 23:59:00+00:00,87246.2618402
2017-11-11 23:59:00+00:00,91480.5723683
2017-11-12 23:59:00+00:00,87166.9811325
2017-11-13 23:59:00+00:00,84377.7416867
2017-11-14 23:59:00+00:00,82112.8360127
2017-11-15 23:59:00+00:00,76112.7279027
2017-11-16 23:59:00+00:00,66878.3272828
2017-11-17 23:59:00+00:00,65173.792066
2017-11-18 23:59:00+00:00,65775.6047113
2017-11-19 23:59:00+00:00,63743.1356578
2017-11-20 23:59:00+00:00,59409.724245
2017-11-21 23:59:00+00:00,62472.8424993
2017-11-22 23:59:00+00:00,64357.5611429
2017-11-23 23:59:00+00:00,64514.3207242
2017-11-24 23:59:00+00:00,63552.1412254
2017-11-25 23:59:00+00:00,63211.5945489
2017-11-26 23:59:00+00:00,64352.1556401
2017-11-27 23:59:00+00:00,66422.4632132
2017-11-28 23:59:00+00:00,74671.2604888
2017-11-29 23:59:00+00:00,60680.0174034
2017-11-30 23:59:00+00:00,63914.3099132
2017-12-01 23:59:00+00:00,63979.1759468
2017-12-02 23:59:00+00:00,69674.7740657
2017-12-03 23:59:00+00:00,81539.8527157
2017-12-04 23:59:00+00:00,80849.7501914
2017-12-05 23:59:00+00:00,76273.0911525
2017-12-06 23:59:00+00:00,58006.0953507
2017-12-07 23:59:00+00:00,39162.5125835
2017-12-08 23:59:00+00:00,49501.4376092
2017-12-09 23:59:00+00:00,53155.5575032
2017-12-10 23:59:00+00:00,47160.854896
2017-12-11 23:59:00+00:00,46014.888302
2017-12-12 23:59:00+00:00,48007.7170016
2017-12-13 23:59:00+00:00,51119.4847812
2017-12-14 23:59:00+00:00,59589.9076717
2017-12-15 23:59:00+00:00,51427.5984409
2017-12-16 23:59:00+00:00,52634.8274
2017-12-17 23:59:00+00:00,66799.0465751
2017-12-18 23:59:00+00:00,72867.6243873
2017-12-19 23:59:00+00:00,75260.4602943
2017-12-20 23:59:00+00:00,84810.1819109
2017-12-21 23:59:00+00:00,115648.575395
2017-12-22 23:59:00+00:00,99053.6817937
2017-12-23 23:59:00+00:00,133666.918068
2017-12-24 23:59:00+00:00,150742.901419
2017-12-25 23:59:00+00:00,160498.032142
2017-12-26 23:59:00+00:00,142294.10054
2017-12-27 23:59:00+00:00,142513.924321
2017-12-28 23:59:00+00:00,140526.501124
2017-12-29 23:59:00+00:00,141400.390743
2017-12-30 23:59:00+00:00,131203.810625
2017-12-31 23:59:00+00:00,130753.352058
2018-01-01 23:59:00+00:00,139200.351103
2018-01-02 23:59:00+00:00,136904.814247
2018-01-03 23:59:00+00:00,128573.132595
2018-01-04 23:59:00+00:00,117068.420798
