,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99740.0594383
2017-10-28 23:59:00+00:00,99585.8388756
2017-10-29 23:59:00+00:00,95518.6299144
2017-10-30 23:59:00+00:00,96452.0877087
2017-10-31 23:59:00+00:00,89784.5320346
2017-11-01 23:59:00+00:00,84015.829541
2017-11-02 23:59:00+00:00,78795.7335282
2017-11-03 23:59:00+00:00,81136.1122453
2017-11-04 23:59:00+00:00,78420.0167659
2017-11-05 23:59:00+00:00,78258.3285408
2017-11-06 23:59:00+00:00,96927.4177527
2017-11-07 23:59:00+00:00,92783.2651991
2017-11-08 23:59:00+00:00,100945.753531
2017-11-09 23:59:00+00:00,112837.605778
2017-11-10 23:59:00+00:00,106133.378548
2017-11-11 23:59:00+00:00,125678.717926
2017-11-12 23:59:00+00:00,141147.913819
2017-11-13 23:59:00+00:00,125883.94529
2017-11-14 23:59:00+00:00,122302.534435
2017-11-15 23:59:00+00:00,110498.093843
2017-11-16 23:59:00+00:00,102057.901817
2017-11-17 23:59:00+00:00,109249.927421
2017-11-18 23:59:00+00:00,111913.815939
2017-11-19 23:59:00+00:00,107306.334942
2017-11-20 23:59:00+00:00,110387.079041
2017-11-21 23:59:00+00:00,116648.780601
2017-11-22 23:59:00+00:00,134009.295336
2017-11-23 23:59:00+00:00,130463.289202
2017-11-24 23:59:00+00:00,129048.900617
2017-11-25 23:59:00+00:00,126930.151451
2017-11-26 23:59:00+00:00,116454.754731
2017-11-27 23:59:00+00:00,117568.169853
2017-11-28 23:59:00+00:00,132093.706591
2017-11-29 23:59:00+00:00,113234.32534
2017-11-30 23:59:00+00:00,117022.030368
2017-12-01 23:59:00+00:00,115725.190789
2017-12-02 23:59:00+00:00,122363.409218
2017-12-03 23:59:00+00:00,116920.950224
2017-12-04 23:59:00+00:00,119655.181455
2017-12-05 23:59:00+00:00,141458.155184
2017-12-06 23:59:00+00:00,123789.065972
2017-12-07 23:59:00+00:00,103079.237995
2017-12-08 23:59:00+00:00,109426.417619
2017-12-09 23:59:00+00:00,115542.566439
2017-12-10 23:59:00+00:00,106326.337609
2017-12-11 23:59:00+00:00,110184.452024
2017-12-12 23:59:00+00:00,119721.857011
2017-12-13 23:59:00+00:00,123501.89435
2017-12-14 23:59:00+00:00,133943.086509
2017-12-15 23:59:00+00:00,117788.265866
2017-12-16 23:59:00+00:00,111477.357745
2017-12-17 23:59:00+00:00,121255.461492
2017-12-18 23:59:00+00:00,131120.510165
2017-12-19 23:59:00+00:00,136112.442423
2017-12-20 23:59:00+00:00,191460.0221
2017-12-21 23:59:00+00:00,179875.610845
2017-12-22 23:59:00+00:00,159793.733261
2017-12-23 23:59:00+00:00,161928.084508
2017-12-24 23:59:00+00:00,161853.47456
2017-12-25 23:59:00+00:00,163127.64445
2017-12-26 23:59:00+00:00,150942.419753
2017-12-27 23:59:00+00:00,161288.132515
2017-12-28 23:59:00+00:00,163652.84781
2017-12-29 23:59:00+00:00,163262.862479
2017-12-30 23:59:00+00:00,161521.09691
2017-12-31 23:59:00+00:00,159792.799804
2018-01-01 23:59:00+00:00,168461.355611
2018-01-02 23:59:00+00:00,165127.777801
2018-01-03 23:59:00+00:00,168995.093443
2018-01-04 23:59:00+00:00,162139.04597
