,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99703.8203831
2017-10-28 23:59:00+00:00,96291.6613056
2017-10-29 23:59:00+00:00,83625.194638
2017-10-30 23:59:00+00:00,95367.7522791
2017-10-31 23:59:00+00:00,95015.5798972
2017-11-01 23:59:00+00:00,65514.4038154
2017-11-02 23:59:00+00:00,77103.4838628
2017-11-03 23:59:00+00:00,75215.2312031
2017-11-04 23:59:00+00:00,68896.1282427
2017-11-05 23:59:00+00:00,79799.1243166
2017-11-06 23:59:00+00:00,80656.0771124
2017-11-07 23:59:00+00:00,77681.3074375
2017-11-08 23:59:00+00:00,86572.5731277
2017-11-09 23:59:00+00:00,95588.620884
2017-11-10 23:59:00+00:00,84847.798018
2017-11-11 23:59:00+00:00,85233.8832959
2017-11-12 23:59:00+00:00,89256.0397213
2017-11-13 23:59:00+00:00,111885.94133
2017-11-14 23:59:00+00:00,135801.489524
2017-11-15 23:59:00+00:00,117766.350546
2017-11-16 23:59:00+00:00,113762.454911
2017-11-17 23:59:00+00:00,109772.472259
2017-11-18 23:59:00+00:00,122755.459289
2017-11-19 23:59:00+00:00,112950.284529
2017-11-20 23:59:00+00:00,124928.9281
2017-11-21 23:59:00+00:00,159711.820348
2017-11-22 23:59:00+00:00,188408.217321
2017-11-23 23:59:00+00:00,173624.803335
2017-11-24 23:59:00+00:00,176663.485776
2017-11-25 23:59:00+00:00,172146.548893
2017-11-26 23:59:00+00:00,152131.418524
2017-11-27 23:59:00+00:00,157752.263651
2017-11-28 23:59:00+00:00,171450.899744
2017-11-29 23:59:00+00:00,148293.609123
2017-11-30 23:59:00+00:00,142318.417711
2017-12-01 23:59:00+00:00,135036.71024
2017-12-02 23:59:00+00:00,135220.187703
2017-12-03 23:59:00+00:00,131770.637484
2017-12-04 23:59:00+00:00,137937.567193
2017-12-05 23:59:00+00:00,157030.092878
2017-12-06 23:59:00+00:00,131016.292938
2017-12-07 23:59:00+00:00,83979.1061428
2017-12-08 23:59:00+00:00,92329.5046193
2017-12-09 23:59:00+00:00,111802.898213
2017-12-10 23:59:00+00:00,95408.6216666
2017-12-11 23:59:00+00:00,107059.875357
2017-12-12 23:59:00+00:00,99082.9535173
2017-12-13 23:59:00+00:00,122320.678571
2017-12-14 23:59:00+00:00,150657.94667
2017-12-15 23:59:00+00:00,122372.417476
2017-12-16 23:59:00+00:00,117669.394446
2017-12-17 23:59:00+00:00,127861.958826
2017-12-18 23:59:00+00:00,142320.591615
2017-12-19 23:59:00+00:00,153624.02073
2017-12-20 23:59:00+00:00,179654.342337
2017-12-21 23:59:00+00:00,244599.277359
2017-12-22 23:59:00+00:00,214287.235238
2017-12-23 23:59:00+00:00,230150.209747
2017-12-24 23:59:00+00:00,246581.007874
2017-12-25 23:59:00+00:00,351752.289738
2017-12-26 23:59:00+00:00,367966.132286
2017-12-27 23:59:00+00:00,324935.01503
2017-12-28 23:59:00+00:00,323624.151164
2017-12-29 23:59:00+00:00,338622.781605
2017-12-30 23:59:00+00:00,349700.994308
2017-12-31 23:59:00+00:00,327076.310068
2018-01-01 23:59:00+00:00,380444.773683
2018-01-02 23:59:00+00:00,342467.982278
2018-01-03 23:59:00+00:00,331334.117643
2018-01-04 23:59:00+00:00,314272.017913
