,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99739.2639072
2017-10-28 23:59:00+00:00,103320.459375
2017-10-29 23:59:00+00:00,97134.7581121
2017-10-30 23:59:00+00:00,100393.645988
2017-10-31 23:59:00+00:00,92729.8876863
2017-11-01 23:59:00+00:00,79121.3449073
2017-11-02 23:59:00+00:00,75390.3903559
2017-11-03 23:59:00+00:00,72190.1038603
2017-11-04 23:59:00+00:00,73674.6721634
2017-11-05 23:59:00+00:00,73329.5751456
2017-11-06 23:59:00+00:00,76523.3503767
2017-11-07 23:59:00+00:00,77246.1007349
2017-11-08 23:59:00+00:00,79297.1490484
2017-11-09 23:59:00+00:00,90724.4182241
2017-11-10 23:59:00+00:00,83711.786371
2017-11-11 23:59:00+00:00,93879.1258683
2017-11-12 23:59:00+00:00,95832.5052146
2017-11-13 23:59:00+00:00,91437.4016855
2017-11-14 23:59:00+00:00,91017.4251261
2017-11-15 23:59:00+00:00,84170.8305174
2017-11-16 23:59:00+00:00,70861.8059048
2017-11-17 23:59:00+00:00,72873.7866315
2017-11-18 23:59:00+00:00,72717.5162838
2017-11-19 23:59:00+00:00,71613.8569531
2017-11-20 23:59:00+00:00,67114.5731922
2017-11-21 23:59:00+00:00,67150.3851469
2017-11-22 23:59:00+00:00,72287.7728276
2017-11-23 23:59:00+00:00,70438.5737131
2017-11-24 23:59:00+00:00,72346.374208
2017-11-25 23:59:00+00:00,73368.6427325
2017-11-26 23:59:00+00:00,70187.8900303
2017-11-27 23:59:00+00:00,67707.0982606
2017-11-28 23:59:00+00:00,67140.6182502
2017-11-29 23:59:00+00:00,63412.919331
2017-11-30 23:59:00+00:00,62039.0425242
2017-12-01 23:59:00+00:00,60893.0599743
2017-12-02 23:59:00+00:00,59737.3105278
2017-12-03 23:59:00+00:00,63927.3092256
2017-12-04 23:59:00+00:00,67176.4302048
2017-12-05 23:59:00+00:00,62309.2600004
2017-12-06 23:59:00+00:00,54323.1941064
2017-12-07 23:59:00+00:00,35596.7974402
2017-12-08 23:59:00+00:00,38334.7841572
2017-12-09 23:59:00+00:00,40470.4789091
2017-12-10 23:59:00+00:00,37618.5450636
2017-12-11 23:59:00+00:00,37901.7850688
2017-12-12 23:59:00+00:00,60180.076513
2017-12-13 23:59:00+00:00,104622.712273
2017-12-14 23:59:00+00:00,88018.9878295
2017-12-15 23:59:00+00:00,76298.7117519
2017-12-16 23:59:00+00:00,70585.0771641
2017-12-17 23:59:00+00:00,72645.8923744
2017-12-18 23:59:00+00:00,80420.3421726
2017-12-19 23:59:00+00:00,107230.4737
2017-12-20 23:59:00+00:00,98196.0942236
2017-12-21 23:59:00+00:00,99742.5195394
2017-12-22 23:59:00+00:00,95285.5589977
2017-12-23 23:59:00+00:00,155736.1385
2017-12-24 23:59:00+00:00,180195.703548
2017-12-25 23:59:00+00:00,226380.102558
2017-12-26 23:59:00+00:00,294540.019214
2017-12-27 23:59:00+00:00,901282.433591
2017-12-28 23:59:00+00:00,1155215.23734
2017-12-29 23:59:00+00:00,1854850.60653
2017-12-30 23:59:00+00:00,1985404.71514
2017-12-31 23:59:00+00:00,2538829.64026
2018-01-01 23:59:00+00:00,2457464.87922
2018-01-02 23:59:00+00:00,2060486.10594
2018-01-03 23:59:00+00:00,2310971.19515
2018-01-04 23:59:00+00:00,2120497.17509
