,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99721.9659394
2017-10-28 23:59:00+00:00,94475.8862531
2017-10-29 23:59:00+00:00,88484.0071242
2017-10-30 23:59:00+00:00,90898.7034688
2017-10-31 23:59:00+00:00,83422.380073
2017-11-01 23:59:00+00:00,76319.6642759
2017-11-02 23:59:00+00:00,70537.3168683
2017-11-03 23:59:00+00:00,74390.2937584
2017-11-04 23:59:00+00:00,71673.8393749
2017-11-05 23:59:00+00:00,69899.8479549
2017-11-06 23:59:00+00:00,75690.715173
2017-11-07 23:59:00+00:00,77488.7997073
2017-11-08 23:59:00+00:00,77669.8646431
2017-11-09 23:59:00+00:00,85701.4673257
2017-11-10 23:59:00+00:00,84723.0795823
2017-11-11 23:59:00+00:00,93668.6025988
2017-11-12 23:59:00+00:00,115789.772508
2017-11-13 23:59:00+00:00,94933.2509215
2017-11-14 23:59:00+00:00,96070.3801801
2017-11-15 23:59:00+00:00,93115.8767271
2017-11-16 23:59:00+00:00,87035.7910133
2017-11-17 23:59:00+00:00,87980.301765
2017-11-18 23:59:00+00:00,89210.0365613
2017-11-19 23:59:00+00:00,86625.4496318
2017-11-20 23:59:00+00:00,86055.1785122
2017-11-21 23:59:00+00:00,83123.7316385
2017-11-22 23:59:00+00:00,91007.5901874
2017-11-23 23:59:00+00:00,90347.1405386
2017-11-24 23:59:00+00:00,100971.44546
2017-11-25 23:59:00+00:00,91898.9090061
2017-11-26 23:59:00+00:00,85072.9732869
2017-11-27 23:59:00+00:00,82869.7553266
2017-11-28 23:59:00+00:00,85072.9985682
2017-11-29 23:59:00+00:00,70962.9281774
2017-11-30 23:59:00+00:00,69524.9257266
2017-12-01 23:59:00+00:00,70376.2241887
2017-12-02 23:59:00+00:00,68134.4521895
2017-12-03 23:59:00+00:00,64797.8718898
2017-12-04 23:59:00+00:00,64291.6889596
2017-12-05 23:59:00+00:00,62931.4013389
2017-12-06 23:59:00+00:00,51348.2511477
2017-12-07 23:59:00+00:00,37065.5092249
2017-12-08 23:59:00+00:00,43300.7212229
2017-12-09 23:59:00+00:00,45634.0622249
2017-12-10 23:59:00+00:00,40474.2424606
2017-12-11 23:59:00+00:00,40997.768388
2017-12-12 23:59:00+00:00,47757.6945361
2017-12-13 23:59:00+00:00,57415.165285
2017-12-14 23:59:00+00:00,70435.05386
2017-12-15 23:59:00+00:00,59482.4202147
2017-12-16 23:59:00+00:00,53926.3407736
2017-12-17 23:59:00+00:00,63476.2394334
2017-12-18 23:59:00+00:00,71168.0862275
2017-12-19 23:59:00+00:00,78780.5749046
2017-12-20 23:59:00+00:00,96388.2677121
2017-12-21 23:59:00+00:00,98515.3635665
2017-12-22 23:59:00+00:00,84411.2595712
2017-12-23 23:59:00+00:00,86079.3474704
2017-12-24 23:59:00+00:00,89957.7068229
2017-12-25 23:59:00+00:00,88380.480049
2017-12-26 23:59:00+00:00,80749.8393719
2017-12-27 23:59:00+00:00,77357.0839413
2017-12-28 23:59:00+00:00,77058.7641642
2017-12-29 23:59:00+00:00,84567.2454208
2017-12-30 23:59:00+00:00,83651.8840506
2017-12-31 23:59:00+00:00,80446.4633274
2018-01-01 23:59:00+00:00,90189.7389342
2018-01-02 23:59:00+00:00,86175.2395818
2018-01-03 23:59:00+00:00,86591.5726401
2018-01-04 23:59:00+00:00,84393.5626353
