,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99735.880869
2017-10-28 23:59:00+00:00,98909.5692574
2017-10-29 23:59:00+00:00,97022.4851935
2017-10-30 23:59:00+00:00,107141.253132
2017-10-31 23:59:00+00:00,94739.0419096
2017-11-01 23:59:00+00:00,85917.7087315
2017-11-02 23:59:00+00:00,82322.919964
2017-11-03 23:59:00+00:00,85434.0933897
2017-11-04 23:59:00+00:00,83217.6875597
2017-11-05 23:59:00+00:00,85047.169276
2017-11-06 23:59:00+00:00,91323.6064308
2017-11-07 23:59:00+00:00,91453.2691816
2017-11-08 23:59:00+00:00,93558.5571186
2017-11-09 23:59:00+00:00,98232.3440627
2017-11-10 23:59:00+00:00,98136.2842678
2017-11-11 23:59:00+00:00,103562.653681
2017-11-12 23:59:00+00:00,113047.251698
2017-11-13 23:59:00+00:00,103941.110872
2017-11-14 23:59:00+00:00,104667.049064
2017-11-15 23:59:00+00:00,100690.275383
2017-11-16 23:59:00+00:00,92534.683604
2017-11-17 23:59:00+00:00,93620.5373799
2017-11-18 23:59:00+00:00,96211.2527882
2017-11-19 23:59:00+00:00,92700.3010876
2017-11-20 23:59:00+00:00,96644.299592
2017-11-21 23:59:00+00:00,94976.9635063
2017-11-22 23:59:00+00:00,102874.87883
2017-11-23 23:59:00+00:00,102358.909587
2017-11-24 23:59:00+00:00,102206.548987
2017-11-25 23:59:00+00:00,103333.196749
2017-11-26 23:59:00+00:00,99780.7468649
2017-11-27 23:59:00+00:00,99439.2268497
2017-11-28 23:59:00+00:00,101039.377834
2017-11-29 23:59:00+00:00,93246.3685259
2017-11-30 23:59:00+00:00,97392.4106735
2017-12-01 23:59:00+00:00,96166.1512898
2017-12-02 23:59:00+00:00,96183.3027633
2017-12-03 23:59:00+00:00,100609.719136
2017-12-04 23:59:00+00:00,105684.449567
2017-12-05 23:59:00+00:00,110379.78326
2017-12-06 23:59:00+00:00,90914.789768
2017-12-07 23:59:00+00:00,65547.138991
2017-12-08 23:59:00+00:00,70616.5923799
2017-12-09 23:59:00+00:00,75591.9728104
2017-12-10 23:59:00+00:00,68422.8651386
2017-12-11 23:59:00+00:00,74691.4635365
2017-12-12 23:59:00+00:00,78758.4566889
2017-12-13 23:59:00+00:00,91278.2258112
2017-12-14 23:59:00+00:00,100635.335899
2017-12-15 23:59:00+00:00,88132.8355511
2017-12-16 23:59:00+00:00,83814.0100001
2017-12-17 23:59:00+00:00,101598.589128
2017-12-18 23:59:00+00:00,113940.422265
2017-12-19 23:59:00+00:00,136462.933075
2017-12-20 23:59:00+00:00,201176.234269
2017-12-21 23:59:00+00:00,204640.757433
2017-12-22 23:59:00+00:00,191907.229975
2017-12-23 23:59:00+00:00,238249.187591
2017-12-24 23:59:00+00:00,263537.040281
2017-12-25 23:59:00+00:00,249574.994582
2017-12-26 23:59:00+00:00,237802.710508
2017-12-27 23:59:00+00:00,273128.749362
2017-12-28 23:59:00+00:00,294824.893042
2017-12-29 23:59:00+00:00,333208.392123
2017-12-30 23:59:00+00:00,337164.413024
2017-12-31 23:59:00+00:00,381668.282494
2018-01-01 23:59:00+00:00,379061.033133
2018-01-02 23:59:00+00:00,367516.343712
2018-01-03 23:59:00+00:00,361874.740369
2018-01-04 23:59:00+00:00,356726.943545
