,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99730.3048808
2017-10-28 23:59:00+00:00,97505.9597844
2017-10-29 23:59:00+00:00,90750.3034196
2017-10-30 23:59:00+00:00,88721.0432821
2017-10-31 23:59:00+00:00,81326.7299111
2017-11-01 23:59:00+00:00,75495.6538592
2017-11-02 23:59:00+00:00,67327.5178161
2017-11-03 23:59:00+00:00,63293.1243608
2017-11-04 23:59:00+00:00,65627.4794271
2017-11-05 23:59:00+00:00,62990.9656979
2017-11-06 23:59:00+00:00,67000.7156418
2017-11-07 23:59:00+00:00,66321.5810824
2017-11-08 23:59:00+00:00,70392.1342444
2017-11-09 23:59:00+00:00,76403.1293486
2017-11-10 23:59:00+00:00,72571.5774468
2017-11-11 23:59:00+00:00,76502.076565
2017-11-12 23:59:00+00:00,72546.0239971
2017-11-13 23:59:00+00:00,74067.7168112
2017-11-14 23:59:00+00:00,73077.2340912
2017-11-15 23:59:00+00:00,68683.6586217
2017-11-16 23:59:00+00:00,61024.3692865
2017-11-17 23:59:00+00:00,67084.8073286
2017-11-18 23:59:00+00:00,67297.8894229
2017-11-19 23:59:00+00:00,64761.9264013
2017-11-20 23:59:00+00:00,63492.7155633
2017-11-21 23:59:00+00:00,65627.2904467
2017-11-22 23:59:00+00:00,75544.4069064
2017-11-23 23:59:00+00:00,86860.1443894
2017-11-24 23:59:00+00:00,88866.4736037
2017-11-25 23:59:00+00:00,89473.6386758
2017-11-26 23:59:00+00:00,90279.7355822
2017-11-27 23:59:00+00:00,85326.3480459
2017-11-28 23:59:00+00:00,77377.203133
2017-11-29 23:59:00+00:00,70152.8897257
2017-11-30 23:59:00+00:00,76769.6455356
2017-12-01 23:59:00+00:00,76954.6860791
2017-12-02 23:59:00+00:00,72704.421727
2017-12-03 23:59:00+00:00,73509.0339874
2017-12-04 23:59:00+00:00,79362.9162278
2017-12-05 23:59:00+00:00,84815.3318352
2017-12-06 23:59:00+00:00,71897.1698677
2017-12-07 23:59:00+00:00,52655.0951291
2017-12-08 23:59:00+00:00,57780.9066777
2017-12-09 23:59:00+00:00,72287.7952147
2017-12-10 23:59:00+00:00,66202.3457074
2017-12-11 23:59:00+00:00,64127.4139909
2017-12-12 23:59:00+00:00,65175.3770368
2017-12-13 23:59:00+00:00,72514.1222843
2017-12-14 23:59:00+00:00,78635.6455073
2017-12-15 23:59:00+00:00,91505.9546393
2017-12-16 23:59:00+00:00,80464.9164026
2017-12-17 23:59:00+00:00,84275.4056732
2017-12-18 23:59:00+00:00,95745.5253577
2017-12-19 23:59:00+00:00,94231.0175547
2017-12-20 23:59:00+00:00,99329.4660962
2017-12-21 23:59:00+00:00,110472.501947
2017-12-22 23:59:00+00:00,107545.930264
2017-12-23 23:59:00+00:00,110902.454852
2017-12-24 23:59:00+00:00,111523.129522
2017-12-25 23:59:00+00:00,126189.751708
2017-12-26 23:59:00+00:00,112748.290133
2017-12-27 23:59:00+00:00,121526.421898
2017-12-28 23:59:00+00:00,127609.639098
2017-12-29 23:59:00+00:00,121661.324876
2017-12-30 23:59:00+00:00,124017.790845
2017-12-31 23:59:00+00:00,130740.401873
2018-01-01 23:59:00+00:00,135623.940141
2018-01-02 23:59:00+00:00,125052.743815
2018-01-03 23:59:00+00:00,137760.935112
2018-01-04 23:59:00+00:00,228148.998287
