,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99739.9230966
2017-10-28 23:59:00+00:00,96500.9152611
2017-10-29 23:59:00+00:00,92588.1538697
2017-10-30 23:59:00+00:00,89558.7582516
2017-10-31 23:59:00+00:00,78030.0862947
2017-11-01 23:59:00+00:00,78534.1537699
2017-11-02 23:59:00+00:00,65168.8795272
2017-11-03 23:59:00+00:00,64599.93208
2017-11-04 23:59:00+00:00,68642.4534155
2017-11-05 23:59:00+00:00,65742.8177415
2017-11-06 23:59:00+00:00,68268.1458845
2017-11-07 23:59:00+00:00,67873.8752851
2017-11-08 23:59:00+00:00,72375.547192
2017-11-09 23:59:00+00:00,80765.026655
2017-11-10 23:59:00+00:00,77371.30504
2017-11-11 23:59:00+00:00,81508.6509501
2017-11-12 23:59:00+00:00,72964.4577076
2017-11-13 23:59:00+00:00,73084.2361175
2017-11-14 23:59:00+00:00,72799.7623939
2017-11-15 23:59:00+00:00,67319.9001391
2017-11-16 23:59:00+00:00,58960.3652786
2017-11-17 23:59:00+00:00,68592.5457447
2017-11-18 23:59:00+00:00,68642.4534155
2017-11-19 23:59:00+00:00,63347.2495427
2017-11-20 23:59:00+00:00,61091.4228221
2017-11-21 23:59:00+00:00,62573.6806452
2017-11-22 23:59:00+00:00,61860.0009526
2017-11-23 23:59:00+00:00,91794.6219038
2017-11-24 23:59:00+00:00,97898.3300438
2017-11-25 23:59:00+00:00,88400.9002888
2017-11-26 23:59:00+00:00,75724.3519033
2017-11-27 23:59:00+00:00,73084.2361175
2017-11-28 23:59:00+00:00,65103.9995552
2017-11-29 23:59:00+00:00,58431.343968
2017-11-30 23:59:00+00:00,69460.9392168
2017-12-01 23:59:00+00:00,69381.0869435
2017-12-02 23:59:00+00:00,66416.5712974
2017-12-03 23:59:00+00:00,63741.5201421
2017-12-04 23:59:00+00:00,72270.7410833
2017-12-05 23:59:00+00:00,77625.8341612
2017-12-06 23:59:00+00:00,65383.4825117
2017-12-07 23:59:00+00:00,50625.7842535
2017-12-08 23:59:00+00:00,54313.9611263
2017-12-09 23:59:00+00:00,79148.0181208
2017-12-10 23:59:00+00:00,70464.0834001
2017-12-11 23:59:00+00:00,68592.5457447
2017-12-12 23:59:00+00:00,70678.6863845
2017-12-13 23:59:00+00:00,84548.0281024
2017-12-14 23:59:00+00:00,95233.2604226
2017-12-15 23:59:00+00:00,114487.639821
2017-12-16 23:59:00+00:00,97044.9088729
2017-12-17 23:59:00+00:00,97129.7519133
2017-12-18 23:59:00+00:00,111318.502724
2017-12-19 23:59:00+00:00,111034.029001
2017-12-20 23:59:00+00:00,123186.546843
2017-12-21 23:59:00+00:00,122767.322408
2017-12-22 23:59:00+00:00,119443.471532
2017-12-23 23:59:00+00:00,125851.616464
2017-12-24 23:59:00+00:00,122243.291864
2017-12-25 23:59:00+00:00,130043.860812
2017-12-26 23:59:00+00:00,110010.921749
2017-12-27 23:59:00+00:00,109686.521889
2017-12-28 23:59:00+00:00,123386.177526
2017-12-29 23:59:00+00:00,114607.418231
2017-12-30 23:59:00+00:00,112092.071622
2017-12-31 23:59:00+00:00,111293.548889
2018-01-01 23:59:00+00:00,112541.240659
2018-01-02 23:59:00+00:00,107939.753411
2018-01-03 23:59:00+00:00,131885.453865
2018-01-04 23:59:00+00:00,294175.217801
