,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99720.686665
2017-10-28 23:59:00+00:00,98531.4974759
2017-10-29 23:59:00+00:00,88186.3831307
2017-10-30 23:59:00+00:00,87105.3020497
2017-10-31 23:59:00+00:00,83388.0463324
2017-11-01 23:59:00+00:00,70415.0733594
2017-11-02 23:59:00+00:00,67695.7386401
2017-11-03 23:59:00+00:00,59936.9028813
2017-11-04 23:59:00+00:00,60527.3394717
2017-11-05 23:59:00+00:00,57924.4288688
2017-11-06 23:59:00+00:00,63762.2667066
2017-11-07 23:59:00+00:00,62747.7136921
2017-11-08 23:59:00+00:00,66739.3976838
2017-11-09 23:59:00+00:00,70839.1897835
2017-11-10 23:59:00+00:00,66223.8051682
2017-11-11 23:59:00+00:00,70298.649243
2017-11-12 23:59:00+00:00,70373.4933179
2017-11-13 23:59:00+00:00,73383.8883282
2017-11-14 23:59:00+00:00,71562.682507
2017-11-15 23:59:00+00:00,68003.4309478
2017-11-16 23:59:00+00:00,60460.8114052
2017-11-17 23:59:00+00:00,63038.7739831
2017-11-18 23:59:00+00:00,63479.5224239
2017-11-19 23:59:00+00:00,63570.9985154
2017-11-20 23:59:00+00:00,63230.0421744
2017-11-21 23:59:00+00:00,66273.7012181
2017-11-22 23:59:00+00:00,89259.1482035
2017-11-23 23:59:00+00:00,79612.5785569
2017-11-24 23:59:00+00:00,75388.0463324
2017-11-25 23:59:00+00:00,85641.684586
2017-11-26 23:59:00+00:00,97924.4288688
2017-11-27 23:59:00+00:00,90431.7053761
2017-11-28 23:59:00+00:00,82930.665875
2017-11-29 23:59:00+00:00,75246.674191
2017-11-30 23:59:00+00:00,75462.8904073
2017-12-01 23:59:00+00:00,76053.3269977
2017-12-02 23:59:00+00:00,70381.8093262
2017-12-03 23:59:00+00:00,75354.7822991
2017-12-04 23:59:00+00:00,77966.0089104
2017-12-05 23:59:00+00:00,83363.0983075
2017-12-06 23:59:00+00:00,69932.7448771
2017-12-07 23:59:00+00:00,45866.2168106
2017-12-08 23:59:00+00:00,52593.8675382
2017-12-09 23:59:00+00:00,55986.7989312
2017-12-10 23:59:00+00:00,52934.8238792
2017-12-11 23:59:00+00:00,50789.2937337
2017-12-12 23:59:00+00:00,50922.3498667
2017-12-13 23:59:00+00:00,52535.65548
2017-12-14 23:59:00+00:00,54747.7136921
2017-12-15 23:59:00+00:00,62473.2854176
2017-12-16 23:59:00+00:00,56352.7032971
2017-12-17 23:59:00+00:00,62157.2771016
2017-12-18 23:59:00+00:00,71096.9860413
2017-12-19 23:59:00+00:00,68793.4517378
2017-12-20 23:59:00+00:00,68610.4995549
2017-12-21 23:59:00+00:00,87013.8259582
2017-12-22 23:59:00+00:00,84618.8155632
2017-12-23 23:59:00+00:00,85442.1003865
2017-12-24 23:59:00+00:00,89300.7282451
2017-12-25 23:59:00+00:00,108194.699139
2017-12-26 23:59:00+00:00,100701.975646
2017-12-27 23:59:00+00:00,117142.724087
2017-12-28 23:59:00+00:00,115421.310366
2017-12-29 23:59:00+00:00,113209.252154
2017-12-30 23:59:00+00:00,120277.859222
2017-12-31 23:59:00+00:00,134506.549451
2018-01-01 23:59:00+00:00,143205.094149
2018-01-02 23:59:00+00:00,126090.749035
2018-01-03 23:59:00+00:00,122373.493318
2018-01-04 23:59:00+00:00,115279.938224
