,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99720.6870871
2017-10-28 23:59:00+00:00,98531.4529254
2017-10-29 23:59:00+00:00,88186.4797045
2017-10-30 23:59:00+00:00,87105.3558779
2017-10-31 23:59:00+00:00,83387.92878
2017-11-01 23:59:00+00:00,70398.0839956
2017-11-02 23:59:00+00:00,67908.1015046
2017-11-03 23:59:00+00:00,60805.1879509
2017-11-04 23:59:00+00:00,61345.872864
2017-11-05 23:59:00+00:00,58962.8985823
2017-11-06 23:59:00+00:00,64304.1459066
2017-11-07 23:59:00+00:00,63392.5525245
2017-11-08 23:59:00+00:00,66979.2033001
2017-11-09 23:59:00+00:00,70663.061283
2017-11-10 23:59:00+00:00,66516.0293908
2017-11-11 23:59:00+00:00,69813.0366145
2017-11-12 23:59:00+00:00,62494.1611982
2017-11-13 23:59:00+00:00,62596.7872425
2017-11-14 23:59:00+00:00,62353.0945997
2017-11-15 23:59:00+00:00,57659.0663004
2017-11-16 23:59:00+00:00,50497.7345348
2017-11-17 23:59:00+00:00,58713.2280242
2017-11-18 23:59:00+00:00,58755.807413
2017-11-19 23:59:00+00:00,54239.4569493
2017-11-20 23:59:00+00:00,52315.421333
2017-11-21 23:59:00+00:00,53298.5133029
2017-11-22 23:59:00+00:00,70252.258894
2017-11-23 23:59:00+00:00,63137.307505
2017-11-24 23:59:00+00:00,60021.396521
2017-11-25 23:59:00+00:00,67584.267907
2017-11-26 23:59:00+00:00,76526.7335308
2017-11-27 23:59:00+00:00,72208.2696911
2017-11-28 23:59:00+00:00,66566.028519
2017-11-29 23:59:00+00:00,61157.4168125
2017-11-30 23:59:00+00:00,63988.959308
2017-12-01 23:59:00+00:00,64242.3495172
2017-12-02 23:59:00+00:00,60466.9806321
2017-12-03 23:59:00+00:00,62044.5029307
2017-12-04 23:59:00+00:00,66136.4660323
2017-12-05 23:59:00+00:00,70561.6746261
2017-12-06 23:59:00+00:00,59898.8791432
2017-12-07 23:59:00+00:00,43282.4837521
2017-12-08 23:59:00+00:00,47775.1163085
2017-12-09 23:59:00+00:00,58047.2296306
2017-12-10 23:59:00+00:00,53565.9219927
2017-12-11 23:59:00+00:00,51745.1978336
2017-12-12 23:59:00+00:00,53324.6189826
2017-12-13 23:59:00+00:00,63825.1948836
2017-12-14 23:59:00+00:00,71915.152618
2017-12-15 23:59:00+00:00,86493.306981
2017-12-16 23:59:00+00:00,73285.9813849
2017-12-17 23:59:00+00:00,73350.9707727
2017-12-18 23:59:00+00:00,84044.2035243
2017-12-19 23:59:00+00:00,83829.4251397
2017-12-20 23:59:00+00:00,92986.639242
2017-12-21 23:59:00+00:00,92673.9304557
2017-12-22 23:59:00+00:00,90170.5955506
2017-12-23 23:59:00+00:00,94996.4395067
2017-12-24 23:59:00+00:00,92279.5451822
2017-12-25 23:59:00+00:00,98155.9067723
2017-12-26 23:59:00+00:00,82811.0154578
2017-12-27 23:59:00+00:00,90607.3549951
2017-12-28 23:59:00+00:00,94242.7580921
2017-12-29 23:59:00+00:00,90319.8096124
2017-12-30 23:59:00+00:00,92897.841575
2017-12-31 23:59:00+00:00,99291.3678613
2018-01-01 23:59:00+00:00,105605.548449
2018-01-02 23:59:00+00:00,93182.3799257
2018-01-03 23:59:00+00:00,90484.6156571
2018-01-04 23:59:00+00:00,85339.161847
