,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99736.4603124
2017-10-28 23:59:00+00:00,97864.6838117
2017-10-29 23:59:00+00:00,93079.4137443
2017-10-30 23:59:00+00:00,92957.7862157
2017-10-31 23:59:00+00:00,86220.7304481
2017-11-01 23:59:00+00:00,76366.4713752
2017-11-02 23:59:00+00:00,73735.3549035
2017-11-03 23:59:00+00:00,76863.2190733
2017-11-04 23:59:00+00:00,72741.7684131
2017-11-05 23:59:00+00:00,73032.9722996
2017-11-06 23:59:00+00:00,78655.6140728
2017-11-07 23:59:00+00:00,79579.8713307
2017-11-08 23:59:00+00:00,85559.0010207
2017-11-09 23:59:00+00:00,96036.0361443
2017-11-10 23:59:00+00:00,93155.1834193
2017-11-11 23:59:00+00:00,103011.061831
2017-11-12 23:59:00+00:00,98582.9873796
2017-11-13 23:59:00+00:00,97154.555216
2017-11-14 23:59:00+00:00,103752.073093
2017-11-15 23:59:00+00:00,96812.0093023
2017-11-16 23:59:00+00:00,88438.3094841
2017-11-17 23:59:00+00:00,93262.3337426
2017-11-18 23:59:00+00:00,98368.364178
2017-11-19 23:59:00+00:00,95816.8006115
2017-11-20 23:59:00+00:00,95946.3665687
2017-11-21 23:59:00+00:00,100101.052511
2017-11-22 23:59:00+00:00,100961.930672
2017-11-23 23:59:00+00:00,99470.8864078
2017-11-24 23:59:00+00:00,103462.978239
2017-11-25 23:59:00+00:00,101820.761273
2017-11-26 23:59:00+00:00,104073.366076
2017-11-27 23:59:00+00:00,109298.69068
2017-11-28 23:59:00+00:00,128099.124707
2017-11-29 23:59:00+00:00,104859.205455
2017-11-30 23:59:00+00:00,114219.079006
2017-12-01 23:59:00+00:00,118525.507575
2017-12-02 23:59:00+00:00,132628.29254
2017-12-03 23:59:00+00:00,135174.481439
2017-12-04 23:59:00+00:00,141400.468187
2017-12-05 23:59:00+00:00,134952.474502
2017-12-06 23:59:00+00:00,113831.584321
2017-12-07 23:59:00+00:00,102064.089822
2017-12-08 23:59:00+00:00,110956.692005
2017-12-09 23:59:00+00:00,117058.86787
2017-12-10 23:59:00+00:00,108748.522744
2017-12-11 23:59:00+00:00,112230.718297
2017-12-12 23:59:00+00:00,128551.717538
2017-12-13 23:59:00+00:00,133697.244462
2017-12-14 23:59:00+00:00,148052.778294
2017-12-15 23:59:00+00:00,137067.92177
2017-12-16 23:59:00+00:00,148733.877717
2017-12-17 23:59:00+00:00,173273.859459
2017-12-18 23:59:00+00:00,203894.665851
2017-12-19 23:59:00+00:00,219108.959361
2017-12-20 23:59:00+00:00,243636.12285
2017-12-21 23:59:00+00:00,263501.462243
2017-12-22 23:59:00+00:00,262310.169309
2017-12-23 23:59:00+00:00,311429.111638
2017-12-24 23:59:00+00:00,317421.04433
2017-12-25 23:59:00+00:00,323491.825507
2017-12-26 23:59:00+00:00,274709.229919
2017-12-27 23:59:00+00:00,260062.449576
2017-12-28 23:59:00+00:00,241892.006119
2017-12-29 23:59:00+00:00,253742.692237
2017-12-30 23:59:00+00:00,281958.035775
2017-12-31 23:59:00+00:00,295104.308313
2018-01-01 23:59:00+00:00,304378.619647
2018-01-02 23:59:00+00:00,292700.706526
2018-01-03 23:59:00+00:00,338763.443204
2018-01-04 23:59:00+00:00,336666.573209
