,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99741.6671422
2017-10-28 23:59:00+00:00,98223.2289643
2017-10-29 23:59:00+00:00,100392.426361
2017-10-30 23:59:00+00:00,101477.02506
2017-10-31 23:59:00+00:00,103212.382977
2017-11-01 23:59:00+00:00,74578.9773374
2017-11-02 23:59:00+00:00,66119.1074893
2017-11-03 23:59:00+00:00,68071.3851465
2017-11-04 23:59:00+00:00,65034.5087908
2017-11-05 23:59:00+00:00,61129.9534763
2017-11-06 23:59:00+00:00,68505.2246259
2017-11-07 23:59:00+00:00,67854.4654069
2017-11-08 23:59:00+00:00,73494.378639
2017-11-09 23:59:00+00:00,98223.2289643
2017-11-10 23:59:00+00:00,88028.0011986
2017-11-11 23:59:00+00:00,93017.1552116
2017-11-12 23:59:00+00:00,89112.5998971
2017-11-13 23:59:00+00:00,85641.884062
2017-11-14 23:59:00+00:00,86292.643281
2017-11-15 23:59:00+00:00,79568.1313505
2017-11-16 23:59:00+00:00,76097.4155153
2017-11-17 23:59:00+00:00,72843.6194199
2017-11-18 23:59:00+00:00,73711.2983787
2017-11-19 23:59:00+00:00,76314.335255
2017-11-20 23:59:00+00:00,78049.6931726
2017-11-21 23:59:00+00:00,76314.335255
2017-11-22 23:59:00+00:00,75663.5760359
2017-11-23 23:59:00+00:00,74578.9773374
2017-11-24 23:59:00+00:00,74795.8970771
2017-11-25 23:59:00+00:00,75663.5760359
2017-11-26 23:59:00+00:00,85641.884062
2017-11-27 23:59:00+00:00,112106.092305
2017-11-28 23:59:00+00:00,266336.027229
2017-11-29 23:59:00+00:00,197138.630266
2017-11-30 23:59:00+00:00,259611.515298
2017-12-01 23:59:00+00:00,263732.990353
2017-12-02 23:59:00+00:00,262648.391654
2017-12-03 23:59:00+00:00,254839.281025
2017-12-04 23:59:00+00:00,252236.244149
2017-12-05 23:59:00+00:00,233147.307055
2017-12-06 23:59:00+00:00,184991.124843
2017-12-07 23:59:00+00:00,131845.788617
2017-12-08 23:59:00+00:00,154188.521806
2017-12-09 23:59:00+00:00,172626.69968
2017-12-10 23:59:00+00:00,156791.558682
2017-12-11 23:59:00+00:00,155056.200765
2017-12-12 23:59:00+00:00,170457.502283
2017-12-13 23:59:00+00:00,176314.335255
2017-12-14 23:59:00+00:00,302561.623758
2017-12-15 23:59:00+00:00,261346.873216
2017-12-16 23:59:00+00:00,447247.090136
2017-12-17 23:59:00+00:00,547680.929615
2017-12-18 23:59:00+00:00,606683.098812
2017-12-19 23:59:00+00:00,645294.812478
2017-12-20 23:59:00+00:00,640305.658465
2017-12-21 23:59:00+00:00,657659.237641
2017-12-22 23:59:00+00:00,640305.658465
2017-12-23 23:59:00+00:00,615359.8884
2017-12-24 23:59:00+00:00,600392.426361
2017-12-25 23:59:00+00:00,643342.534821
2017-12-26 23:59:00+00:00,584774.205103
2017-12-27 23:59:00+00:00,570457.502283
2017-12-28 23:59:00+00:00,614275.289702
2017-12-29 23:59:00+00:00,780218.89057
2017-12-30 23:59:00+00:00,1038353.38081
2017-12-31 23:59:00+00:00,1106683.09881
2018-01-01 23:59:00+00:00,1140739.49794
2018-01-02 23:59:00+00:00,1125121.27669
2018-01-03 23:59:00+00:00,1599741.66714
2018-01-04 23:59:00+00:00,1638787.22029
