,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99725.9985634
2017-10-28 23:59:00+00:00,95140.5142027
2017-10-29 23:59:00+00:00,93045.1604219
2017-10-30 23:59:00+00:00,92589.6487305
2017-10-31 23:59:00+00:00,88793.7179682
2017-11-01 23:59:00+00:00,87184.2433251
2017-11-02 23:59:00+00:00,101517.677883
2017-11-03 23:59:00+00:00,84876.3174216
2017-11-04 23:59:00+00:00,76616.372083
2017-11-05 23:59:00+00:00,75917.9208228
2017-11-06 23:59:00+00:00,78954.6654326
2017-11-07 23:59:00+00:00,81961.0425962
2017-11-08 23:59:00+00:00,88854.4528604
2017-11-09 23:59:00+00:00,96992.9284146
2017-11-10 23:59:00+00:00,93773.9791283
2017-11-11 23:59:00+00:00,99088.2821954
2017-11-12 23:59:00+00:00,93622.1418978
2017-11-13 23:59:00+00:00,90463.9275036
2017-11-14 23:59:00+00:00,97478.8075522
2017-11-15 23:59:00+00:00,90494.2949497
2017-11-16 23:59:00+00:00,83054.2706558
2017-11-17 23:59:00+00:00,83631.2521316
2017-11-18 23:59:00+00:00,86880.5688641
2017-11-19 23:59:00+00:00,85726.6059124
2017-11-20 23:59:00+00:00,91678.6253475
2017-11-21 23:59:00+00:00,94411.6954963
2017-11-22 23:59:00+00:00,103430.826987
2017-11-23 23:59:00+00:00,99968.9381322
2017-11-24 23:59:00+00:00,92377.0766078
2017-11-25 23:59:00+00:00,91344.5834404
2017-11-26 23:59:00+00:00,102125.026805
2017-11-27 23:59:00+00:00,101851.71979
2017-11-28 23:59:00+00:00,106558.673935
2017-11-29 23:59:00+00:00,87184.2433251
2017-11-30 23:59:00+00:00,87244.9782172
2017-12-01 23:59:00+00:00,91496.4206709
2017-12-02 23:59:00+00:00,116306.624133
2017-12-03 23:59:00+00:00,123048.197167
2017-12-04 23:59:00+00:00,142392.260331
2017-12-05 23:59:00+00:00,141936.748639
2017-12-06 23:59:00+00:00,107530.432211
2017-12-07 23:59:00+00:00,91526.788117
2017-12-08 23:59:00+00:00,99422.3241025
2017-12-09 23:59:00+00:00,106285.366921
2017-12-10 23:59:00+00:00,92437.8115
2017-12-11 23:59:00+00:00,106254.999474
2017-12-12 23:59:00+00:00,178985.032879
2017-12-13 23:59:00+00:00,176343.065068
2017-12-14 23:59:00+00:00,162859.919001
2017-12-15 23:59:00+00:00,147949.502967
2017-12-16 23:59:00+00:00,140448.743781
2017-12-17 23:59:00+00:00,149194.568257
2017-12-18 23:59:00+00:00,175310.571901
2017-12-19 23:59:00+00:00,184724.480191
2017-12-20 23:59:00+00:00,204068.543355
2017-12-21 23:59:00+00:00,238049.715539
2017-12-22 23:59:00+00:00,232887.249702
2017-12-23 23:59:00+00:00,326540.453468
2017-12-24 23:59:00+00:00,369054.878005
2017-12-25 23:59:00+00:00,368265.324406
2017-12-26 23:59:00+00:00,311265.628081
2017-12-27 23:59:00+00:00,311204.893188
2017-12-28 23:59:00+00:00,347372.521491
2017-12-29 23:59:00+00:00,347372.521491
2017-12-30 23:59:00+00:00,347372.521491
2017-12-31 23:59:00+00:00,347372.521491
2018-01-01 23:59:00+00:00,347372.521491
2018-01-02 23:59:00+00:00,347372.521491
2018-01-03 23:59:00+00:00,347372.521491
2018-01-04 23:59:00+00:00,347372.521491
