,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99739.1782364
2017-10-28 23:59:00+00:00,104832.174345
2017-10-29 23:59:00+00:00,91845.4039173
2017-10-30 23:59:00+00:00,94813.4973025
2017-10-31 23:59:00+00:00,85246.9603376
2017-11-01 23:59:00+00:00,77253.7696761
2017-11-02 23:59:00+00:00,68086.0653959
2017-11-03 23:59:00+00:00,74891.5128667
2017-11-04 23:59:00+00:00,75697.3494426
2017-11-05 23:59:00+00:00,75904.1587811
2017-11-06 23:59:00+00:00,80171.4739562
2017-11-07 23:59:00+00:00,78817.7774582
2017-11-08 23:59:00+00:00,81670.1120885
2017-11-09 23:59:00+00:00,89827.3105321
2017-11-10 23:59:00+00:00,88580.6179251
2017-11-11 23:59:00+00:00,92952.6023609
2017-11-12 23:59:00+00:00,97300.8513881
2017-11-13 23:59:00+00:00,94347.3494426
2017-11-14 23:59:00+00:00,100875.754112
2017-11-15 23:59:00+00:00,91283.3416605
2017-11-16 23:59:00+00:00,79865.8319329
2017-11-17 23:59:00+00:00,80192.6801819
2017-11-18 23:59:00+00:00,86499.4895204
2017-11-19 23:59:00+00:00,84001.6295983
2017-11-20 23:59:00+00:00,79587.4272636
2017-11-21 23:59:00+00:00,81531.2015827
2017-11-22 23:59:00+00:00,95152.6023609
2017-11-23 23:59:00+00:00,104487.816369
2017-11-24 23:59:00+00:00,113593.069287
2017-11-25 23:59:00+00:00,111300.462283
2017-11-26 23:59:00+00:00,126345.209365
2017-11-27 23:59:00+00:00,116995.403917
2017-11-28 23:59:00+00:00,109686.649054
2017-11-29 23:59:00+00:00,97699.1004154
2017-11-30 23:59:00+00:00,109067.193801
2017-12-01 23:59:00+00:00,103710.384462
2017-12-02 23:59:00+00:00,98189.9564465
2017-12-03 23:59:00+00:00,93258.8280418
2017-12-04 23:59:00+00:00,97031.3961352
2017-12-05 23:59:00+00:00,92691.1237617
2017-12-06 23:59:00+00:00,70444.4311547
2017-12-07 23:59:00+00:00,55854.3533337
2017-12-08 23:59:00+00:00,67374.1976916
2017-12-09 23:59:00+00:00,69004.7424387
2017-12-10 23:59:00+00:00,71417.1938006
2017-12-11 23:59:00+00:00,67542.6801819
2017-12-12 23:59:00+00:00,79200.8513881
2017-12-13 23:59:00+00:00,85707.4661741
2017-12-14 23:59:00+00:00,85666.610143
2017-12-15 23:59:00+00:00,77838.5945788
2017-12-16 23:59:00+00:00,82818.3611158
2017-12-17 23:59:00+00:00,86592.2910769
2017-12-18 23:59:00+00:00,94553.1860185
2017-12-19 23:59:00+00:00,99926.7268745
2017-12-20 23:59:00+00:00,112599.48952
2017-12-21 23:59:00+00:00,116356.882517
2017-12-22 23:59:00+00:00,110222.446719
2017-12-23 23:59:00+00:00,114802.991466
2017-12-24 23:59:00+00:00,125698.71131
2017-12-25 23:59:00+00:00,125891.901972
2017-12-26 23:59:00+00:00,115779.061505
2017-12-27 23:59:00+00:00,119897.9331
2017-12-28 23:59:00+00:00,120405.909754
2017-12-29 23:59:00+00:00,133113.497303
2017-12-30 23:59:00+00:00,128460.18991
2017-12-31 23:59:00+00:00,134647.543995
2018-01-01 23:59:00+00:00,158569.722983
2018-01-02 23:59:00+00:00,140690.150999
2018-01-03 23:59:00+00:00,137565.053723
2018-01-04 23:59:00+00:00,145541.512867
