,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99735.2048162
2017-10-28 23:59:00+00:00,100831.806094
2017-10-29 23:59:00+00:00,98368.8726994
2017-10-30 23:59:00+00:00,97747.8644878
2017-10-31 23:59:00+00:00,90291.2039038
2017-11-01 23:59:00+00:00,83440.1546337
2017-11-02 23:59:00+00:00,79081.121787
2017-11-03 23:59:00+00:00,96772.157371
2017-11-04 23:59:00+00:00,88393.3936848
2017-11-05 23:59:00+00:00,99121.0396702
2017-11-06 23:59:00+00:00,111606.213028
2017-11-07 23:59:00+00:00,106342.184743
2017-11-08 23:59:00+00:00,104624.004999
2017-11-09 23:59:00+00:00,111153.430181
2017-11-10 23:59:00+00:00,123837.622699
2017-11-11 23:59:00+00:00,171798.959378
2017-11-12 23:59:00+00:00,140236.459378
2017-11-13 23:59:00+00:00,138011.892772
2017-11-14 23:59:00+00:00,147536.869962
2017-11-15 23:59:00+00:00,132537.440218
2017-11-16 23:59:00+00:00,120037.440218
2017-11-17 23:59:00+00:00,124925.099889
2017-11-18 23:59:00+00:00,127285.957553
2017-11-19 23:59:00+00:00,124897.727626
2017-11-20 23:59:00+00:00,125625.943867
2017-11-21 23:59:00+00:00,123068.91832
2017-11-22 23:59:00+00:00,121646.130911
2017-11-23 23:59:00+00:00,125774.210291
2017-11-24 23:59:00+00:00,142746.723977
2017-11-25 23:59:00+00:00,136150.008648
2017-11-26 23:59:00+00:00,132147.385473
2017-11-27 23:59:00+00:00,142175.327991
2017-11-28 23:59:00+00:00,178956.235838
2017-11-29 23:59:00+00:00,140388.71759
2017-11-30 23:59:00+00:00,146999.689305
2017-12-01 23:59:00+00:00,154555.574342
2017-12-02 23:59:00+00:00,148337.508648
2017-12-03 23:59:00+00:00,145815.83894
2017-12-04 23:59:00+00:00,141615.337115
2017-12-05 23:59:00+00:00,135585.455729
2017-12-06 23:59:00+00:00,102257.44478
2017-12-07 23:59:00+00:00,77231.7832834
2017-12-08 23:59:00+00:00,98196.6555462
2017-12-09 23:59:00+00:00,104950.761386
2017-12-10 23:59:00+00:00,94181.4867505
2017-12-11 23:59:00+00:00,89537.3261666
2017-12-12 23:59:00+00:00,97265.4283564
2017-12-13 23:59:00+00:00,101059.338028
2017-12-14 23:59:00+00:00,106594.237663
2017-12-15 23:59:00+00:00,100546.678356
2017-12-16 23:59:00+00:00,97476.9931374
2017-12-17 23:59:00+00:00,100426.354451
2017-12-18 23:59:00+00:00,112352.677444
2017-12-19 23:59:00+00:00,121351.879086
2017-12-20 23:59:00+00:00,133619.785108
2017-12-21 23:59:00+00:00,134089.675619
2017-12-22 23:59:00+00:00,115938.443867
2017-12-23 23:59:00+00:00,114143.849889
2017-12-24 23:59:00+00:00,114792.800619
2017-12-25 23:59:00+00:00,117839.675619
2017-12-26 23:59:00+00:00,106812.64551
2017-12-27 23:59:00+00:00,104594.92197
2017-12-28 23:59:00+00:00,104645.104451
2017-12-29 23:59:00+00:00,106604.502261
2017-12-30 23:59:00+00:00,106819.488575
2017-12-31 23:59:00+00:00,105946.427444
2018-01-01 23:59:00+00:00,123001.057918
2018-01-02 23:59:00+00:00,121075.875437
2018-01-03 23:59:00+00:00,121650.692955
2018-01-04 23:59:00+00:00,123587.850802
