,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99744.1375432
2017-10-28 23:59:00+00:00,94785.2428184
2017-10-29 23:59:00+00:00,91477.4099798
2017-10-30 23:59:00+00:00,93208.39879
2017-10-31 23:59:00+00:00,84571.7237501
2017-11-01 23:59:00+00:00,76363.2286599
2017-11-02 23:59:00+00:00,70975.0121721
2017-11-03 23:59:00+00:00,73445.8959355
2017-11-04 23:59:00+00:00,72677.4556523
2017-11-05 23:59:00+00:00,70135.7794706
2017-11-06 23:59:00+00:00,76419.1775066
2017-11-07 23:59:00+00:00,84354.7792422
2017-11-08 23:59:00+00:00,93831.8287969
2017-11-09 23:59:00+00:00,104059.049624
2017-11-10 23:59:00+00:00,97965.1925786
2017-11-11 23:59:00+00:00,104531.760288
2017-11-12 23:59:00+00:00,106976.382348
2017-11-13 23:59:00+00:00,111880.470039
2017-11-14 23:59:00+00:00,124660.78518
2017-11-15 23:59:00+00:00,134720.159466
2017-11-16 23:59:00+00:00,125003.329139
2017-11-17 23:59:00+00:00,124677.912378
2017-11-18 23:59:00+00:00,136783.415917
2017-11-19 23:59:00+00:00,139252.016054
2017-11-20 23:59:00+00:00,135639.319091
2017-11-21 23:59:00+00:00,137358.88977
2017-11-22 23:59:00+00:00,119175.51457
2017-11-23 23:59:00+00:00,106495.678991
2017-11-24 23:59:00+00:00,110568.526673
2017-11-25 23:59:00+00:00,105879.099863
2017-11-26 23:59:00+00:00,92320.0681209
2017-11-27 23:59:00+00:00,93951.7191828
2017-11-28 23:59:00+00:00,90583.3702447
2017-11-29 23:59:00+00:00,82575.8342776
2017-11-30 23:59:00+00:00,86472.842727
2017-12-01 23:59:00+00:00,82906.9601054
2017-12-02 23:59:00+00:00,82411.4131769
2017-12-03 23:59:00+00:00,80095.8160086
2017-12-04 23:59:00+00:00,88008.5814802
2017-12-05 23:59:00+00:00,97485.6310348
2017-12-06 23:59:00+00:00,72137.378009
2017-12-07 23:59:00+00:00,49872.0206215
2017-12-08 23:59:00+00:00,57742.5390047
2017-12-09 23:59:00+00:00,63573.7790138
2017-12-10 23:59:00+00:00,59979.3510622
2017-12-11 23:59:00+00:00,56744.5942685
2017-12-12 23:59:00+00:00,63914.0393472
2017-12-13 23:59:00+00:00,67888.6910942
2017-12-14 23:59:00+00:00,75613.0573879
2017-12-15 23:59:00+00:00,67646.626696
2017-12-16 23:59:00+00:00,62885.2656546
2017-12-17 23:59:00+00:00,83174.1443941
2017-12-18 23:59:00+00:00,103597.757091
2017-12-19 23:59:00+00:00,109930.253095
2017-12-20 23:59:00+00:00,137197.894109
2017-12-21 23:59:00+00:00,175381.269308
2017-12-22 23:59:00+00:00,160393.829254
2017-12-23 23:59:00+00:00,163209.540603
2017-12-24 23:59:00+00:00,166414.610254
2017-12-25 23:59:00+00:00,197183.050537
2017-12-26 23:59:00+00:00,183000.588788
2017-12-27 23:59:00+00:00,177698.00829
2017-12-28 23:59:00+00:00,183073.664833
2017-12-29 23:59:00+00:00,179679.054191
2017-12-30 23:59:00+00:00,173300.885659
2017-12-31 23:59:00+00:00,168193.555218
2018-01-01 23:59:00+00:00,179754.413862
2018-01-02 23:59:00+00:00,170367.56755
2018-01-03 23:59:00+00:00,159514.63309
2018-01-04 23:59:00+00:00,161549.344211
