,portfolio_value
2017-10-26 23:59:00+00:00,100000.0
2017-10-27 23:59:00+00:00,99724.8510773
2017-10-28 23:59:00+00:00,93773.1536156
2017-10-29 23:59:00+00:00,88272.5899603
2017-10-30 23:59:00+00:00,92076.739637
2017-10-31 23:59:00+00:00,86037.8746586
2017-11-01 23:59:00+00:00,77262.4525457
2017-11-02 23:59:00+00:00,67281.7718848
2017-11-03 23:59:00+00:00,72379.3953127
2017-11-04 23:59:00+00:00,68714.5879403
2017-11-05 23:59:00+00:00,69132.1957787
2017-11-06 23:59:00+00:00,73008.8453611
2017-11-07 23:59:00+00:00,71175.3939884
2017-11-08 23:59:00+00:00,79968.6267718
2017-11-09 23:59:00+00:00,88046.7087512
2017-11-10 23:59:00+00:00,83632.3864577
2017-11-11 23:59:00+00:00,87779.1296194
2017-11-12 23:59:00+00:00,90839.6314193
2017-11-13 23:59:00+00:00,85226.546234
2017-11-14 23:59:00+00:00,88276.3616317
2017-11-15 23:59:00+00:00,78686.8871093
2017-11-16 23:59:00+00:00,70448.9281702
2017-11-17 23:59:00+00:00,104484.909915
2017-11-18 23:59:00+00:00,109360.214268
2017-11-19 23:59:00+00:00,98258.0899791
2017-11-20 23:59:00+00:00,84743.1436835
2017-11-21 23:59:00+00:00,82867.156239
2017-11-22 23:59:00+00:00,85556.7770184
2017-11-23 23:59:00+00:00,84428.8377339
2017-11-24 23:59:00+00:00,82639.8082688
2017-11-25 23:59:00+00:00,84742.7246089
2017-11-26 23:59:00+00:00,80261.1408422
2017-11-27 23:59:00+00:00,80026.8781411
2017-11-28 23:59:00+00:00,73851.185306
2017-11-29 23:59:00+00:00,64946.8977538
2017-11-30 23:59:00+00:00,62888.1937839
2017-12-01 23:59:00+00:00,63003.2297615
2017-12-02 23:59:00+00:00,61105.0313632
2017-12-03 23:59:00+00:00,62205.3117241
2017-12-04 23:59:00+00:00,70170.8721735
2017-12-05 23:59:00+00:00,63474.8982232
2017-12-06 23:59:00+00:00,47344.0882777
2017-12-07 23:59:00+00:00,35816.6032701
2017-12-08 23:59:00+00:00,40404.4224478
2017-12-09 23:59:00+00:00,44197.047573
2017-12-10 23:59:00+00:00,39900.6947792
2017-12-11 23:59:00+00:00,39042.8490741
2017-12-12 23:59:00+00:00,43600.2853433
2017-12-13 23:59:00+00:00,51845.7876252
2017-12-14 23:59:00+00:00,58131.4875426
2017-12-15 23:59:00+00:00,50881.4969718
2017-12-16 23:59:00+00:00,47581.284501
2017-12-17 23:59:00+00:00,68267.8544173
2017-12-18 23:59:00+00:00,79197.7390461
2017-12-19 23:59:00+00:00,78351.6274297
2017-12-20 23:59:00+00:00,91522.7230165
2017-12-21 23:59:00+00:00,89824.4232021
2017-12-22 23:59:00+00:00,80192.2030706
2017-12-23 23:59:00+00:00,81559.0148768
2017-12-24 23:59:00+00:00,84514.3289522
2017-12-25 23:59:00+00:00,94687.783929
2017-12-26 23:59:00+00:00,80866.4941012
2017-12-27 23:59:00+00:00,83650.4066654
2017-12-28 23:59:00+00:00,88854.6845789
2017-12-29 23:59:00+00:00,101820.014537
2017-12-30 23:59:00+00:00,114141.017299
2017-12-31 23:59:00+00:00,107714.298779
2018-01-01 23:59:00+00:00,116110.667917
2018-01-02 23:59:00+00:00,121643.081241
2018-01-03 23:59:00+00:00,138497.842557
2018-01-04 23:59:00+00:00,132624.302509
